;Unnamed: 0_x;Unnamed: 0.1;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;"N.º médio de indivíduos por Km²	
	";% cidadãos estrangeiros,em relacao total da população;qtd Hospitais particulares e publicos;qtd Farmacias;Quantidade construçoes novas;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;Unnamed: 0_y;Clima_Ranking
0;0;4;Município;Norte;Arcos de Valdevez;1988;12099;6770;9,5;58,0;32,5;46,6;1,4;0;6;20;10;4;3;3;23;1;891,9;4,5;68,6;29,2;6;41,8471981;-8,417882;Arcos de Valdevez, Viana do Castelo, Portugal;353,91829216765433;79,15045837351244;3,8;408,6;1,1;99,7;34,0;18,0
1;1;5;Município;Norte;Caminha;1736;9981;4115;11,0;63,0;26,0;116,0;3,2;0;5;20;11;10;2;2;40;0;920,4;4,1;79,3;29,2;8;41,8757598;-8,8388375;Caminha, Viana do Castelo, Portugal;352,6858309049128;82,88253154438746;3,9;411,5;1,1;98,9;68,0;13,0
2;2;6;Município;Norte;Melgaco;630;4505;2908;7,8;56,0;36,2;33,8;1,5;0;3;1;3;2;1;1;0;0;880,9;2,9;62,1;26,4;5;42,11290885;-8,258067279809108;Melgaço, Viana do Castelo, Portugal;385,3936523898649;110,97021956461158;4,5;464,8;1,8;155,8;168,0;12,0
3;3;7;Município;Norte;Moncao;1693;10844;5262;9,5;60,9;29,6;84,2;4,1;0;6;10;6;4;2;4;18;1;891,6;3,9;71,3;17,8;6;42,027944700000006;-8,417367176526596;Monção, Viana do Castelo, Portugal;373,70217738699057;98,89401010552307;4,2;442,6;1,5;133,6;178,0;13,0
4;4;8;Município;Norte;Paredes de Coura;942;5186;2376;11,1;61,0;27,9;61,5;1,8;0;3;9;5;1;1;1;31;1;954,2;5,9;67,3;24,9;3;41,9133898;-8,56396258432304;Paredes de Coura, Viana do Castelo, Portugal;359,26637863291734;84,93616957048665;4,0;424,6;1,3;115,6;213,0;18,0
5;5;9;Município;Norte;Ponte da Barca;1127;7259;2754;10,1;65,2;24,7;61,2;1,1;0;3;11;4;3;1;1;0;0;854,2;3,7;65,5;22,9;4;41,807647700000004;-8,416428;Ponte da Barca, Viana do Castelo, 4980-619, Portugal;349,61707049915293;74,88215093915612;3,8;408,8;1,1;99,8;227,0;18,0
6;6;10;Município;Norte;Ponte de Lima;4914;27130;9143;11,9;65,9;22,2;128,6;1,1;1;10;39;19;14;4;7;110;0;922,3;3,3;72,2;19,9;8;41,7675021;-8,5830992;Ponte de Lima, Viana do Castelo, 4990-062, Portugal;342,9993570363953;68,68142369736546;3,7;393,6;0,9;84,6;228,0;18,0
7;7;11;Município;Norte;Valenca;1468;8443;3331;11,1;63,8;25,2;113,0;6,4;0;3;29;9;7;1;1;4;0;973,4;6,6;83,2;34,3;9;42,0270455;-8,642883099999999;Valença, Viana do Castelo, 4930-014, Portugal;370,95586165139764;97,50700096613615;3,9;425,2;1,2;116,3;303,0;15,0
8;8;12;Município;Norte;Viana do Castelo;10050;54487;19700;11,9;64,7;23,4;264,0;2,9;2;27;52;43;37;10;12;121;5;1114,7;4,2;93,8;26,4;24;41,88032570000001;-8,523255293554344;Viana do Castelo, Portugal;356,11974453242124;81,50195246145461;3,7;387,0;0,9;74,5;309,0;13,0
9;9;13;Município;Norte;Vila Nova de Cerveira;1028;5775;2103;11,5;64,8;23,6;82,1;5,2;0;3;15;4;3;1;1;80;0;1086,1;4,5;85,9;30,5;1;41,9403912;-8,743606800000002;Vila Nova de Cerveira, Viana do Castelo, 4920-278, Portugal;360,50455162355314;88,54156254884235;3,9;415,1;1,1;102,6;316,0;18,0
