;Cidades;YEAR_MONTH;YEAR;MONTH;QUARTER;Temp_Median_Max;Temp_Median_Min;Temp_Mean_Max;Temp_Mean_Min
0;Abrantes;202101;2021;01;1;12,0;3,0;12,45;4,35
1;Abrantes;202102;2021;02;1;16,0;8,0;15,0;8,0
2;Abrantes;202103;2021;03;1;19,0;7,0;19,35;7,52
3;Abrantes;202104;2021;04;2;20,0;10,0;20,33;10,1
4;Abrantes;202105;2021;05;2;25,0;11,0;24,42;10,61
5;Abrantes;202106;2021;06;2;30,0;13,0;28,73;13,07
6;Abrantes;202107;2021;07;3;31,0;14,0;31,97;14,71
7;Abrantes;202108;2021;08;3;33,0;14,0;34,19;14,55
8;Abrantes;202109;2021;09;3;29,0;15,0;28,6;15,43
9;Abrantes;202110;2021;10;4;27,0;14,0;26,16;14,26
10;Abrantes;202111;2021;11;4;18,0;9,0;17,7;8,2
11;Abrantes;202112;2021;12;4;17,0;9,0;16,63;9,17
12;Agueda;202101;2021;01;1;13,0;5,0;12,87;5,39
13;Agueda;202102;2021;02;1;14,0;9,0;14,75;7,96
14;Agueda;202103;2021;03;1;18,0;7,0;18,65;7,94
15;Agueda;202104;2021;04;2;21,0;10,0;20,1;10,13
16;Agueda;202105;2021;05;2;22,0;10,0;21,23;10,03
17;Agueda;202106;2021;06;2;26,0;12,0;24,77;12,87
18;Agueda;202107;2021;07;3;27,0;14,0;27,71;14,74
19;Agueda;202108;2021;08;3;30,0;15,0;29,97;14,97
20;Agueda;202109;2021;09;3;28,0;15,0;27,6;14,97
21;Agueda;202110;2021;10;4;23,0;14,0;24,29;13,52
22;Agueda;202111;2021;11;4;18,5;8,5;18,13;8,43
23;Agueda;202112;2021;12;4;16,0;10,0;16,37;9,63
24;Aguiar da Beira;202101;2021;01;1;10,0;1,0;10,23;2,84
25;Aguiar da Beira;202102;2021;02;1;12,0;6,0;12,04;5,43
26;Aguiar da Beira;202103;2021;03;1;16,0;6,0;16,68;5,87
27;Aguiar da Beira;202104;2021;04;2;19,0;8,5;18,03;8,2
28;Aguiar da Beira;202105;2021;05;2;21,0;9,0;20,84;9,23
29;Aguiar da Beira;202106;2021;06;2;27,0;13,0;25,33;13,17
30;Aguiar da Beira;202107;2021;07;3;30,0;14,0;29,65;14,39
31;Aguiar da Beira;202108;2021;08;3;32,0;15,0;32,23;14,74
32;Aguiar da Beira;202109;2021;09;3;26,0;14,0;26,07;13,97
33;Aguiar da Beira;202110;2021;10;4;22,0;12,0;22,26;11,84
34;Aguiar da Beira;202111;2021;11;4;15,0;6,0;15,03;5,83
35;Aguiar da Beira;202112;2021;12;4;13,5;7,0;13,4;7,0
36;Alandroal;202101;2021;01;1;12,0;3,0;11,9;4,48
37;Alandroal;202102;2021;02;1;15,5;8,0;14,61;7,86
38;Alandroal;202103;2021;03;1;17,0;7,0;17,52;7,03
39;Alandroal;202104;2021;04;2;20,5;10,0;19,97;9,5
40;Alandroal;202105;2021;05;2;25,0;10,0;25,39;10,68
41;Alandroal;202106;2021;06;2;30,5;14,0;29,67;13,93
42;Alandroal;202107;2021;07;3;34,0;15,0;34,1;15,55
43;Alandroal;202108;2021;08;3;34,0;16,0;35,26;16,1
44;Alandroal;202109;2021;09;3;29,5;16,0;29,4;16,47
45;Alandroal;202110;2021;10;4;27,0;15,0;26,9;15,0
46;Alandroal;202111;2021;11;4;18,0;9,0;17,6;8,13
47;Alandroal;202112;2021;12;4;16,5;9,0;16,9;8,73
48;Albergaria-a-Velha;202101;2021;01;1;13,0;5,0;12,87;5,39
49;Albergaria-a-Velha;202102;2021;02;1;14,0;9,0;14,75;7,96
50;Albergaria-a-Velha;202103;2021;03;1;18,0;7,0;18,65;7,94
51;Albergaria-a-Velha;202104;2021;04;2;21,0;10,0;20,1;10,13
52;Albergaria-a-Velha;202105;2021;05;2;22,0;10,0;21,23;10,03
53;Albergaria-a-Velha;202106;2021;06;2;26,0;12,0;24,77;12,87
54;Albergaria-a-Velha;202107;2021;07;3;27,0;14,0;27,71;14,74
55;Albergaria-a-Velha;202108;2021;08;3;30,0;15,0;29,97;14,97
56;Albergaria-a-Velha;202109;2021;09;3;28,0;15,0;27,6;14,97
57;Albergaria-a-Velha;202110;2021;10;4;23,0;14,0;24,29;13,52
58;Albergaria-a-Velha;202111;2021;11;4;18,5;8,5;18,13;8,43
59;Albergaria-a-Velha;202112;2021;12;4;16,0;10,0;16,37;9,63
60;Albufeira;202101;2021;01;1;14,0;9,0;13,84;8,84
61;Albufeira;202102;2021;02;1;16,0;12,0;15,75;11,82
62;Albufeira;202103;2021;03;1;17,0;11,0;17,48;11,06
63;Albufeira;202104;2021;04;2;19,0;14,0;18,83;13,4
64;Albufeira;202105;2021;05;2;24,0;14,0;22,9;14,19
65;Albufeira;202106;2021;06;2;25,0;16,5;24,67;16,33
66;Albufeira;202107;2021;07;3;28,0;18,0;27,81;17,77
67;Albufeira;202108;2021;08;3;29,0;18,0;28,84;18,94
68;Albufeira;202109;2021;09;3;28,5;19,0;27,6;18,93
69;Albufeira;202110;2021;10;4;25,0;18,0;25,45;17,45
70;Albufeira;202111;2021;11;4;19,0;12,0;19,23;11,97
71;Albufeira;202112;2021;12;4;18,0;13,0;18,27;12,17
72;Alcacer do Sal;202101;2021;01;1;13,0;7,0;12,77;7,61
73;Alcacer do Sal;202102;2021;02;1;15,5;11,0;15,25;10,71
74;Alcacer do Sal;202103;2021;03;1;17,0;9,0;17,68;9,77
75;Alcacer do Sal;202104;2021;04;2;19,0;13,0;19,0;12,23
76;Alcacer do Sal;202105;2021;05;2;23,0;13,0;22,61;13,1
77;Alcacer do Sal;202106;2021;06;2;25,0;15,0;24,77;15,0
78;Alcacer do Sal;202107;2021;07;3;28,0;16,0;28,0;16,26
79;Alcacer do Sal;202108;2021;08;3;28,0;17,0;28,87;16,61
80;Alcacer do Sal;202109;2021;09;3;27,5;17,0;27,0;17,37
81;Alcacer do Sal;202110;2021;10;4;26,0;16,0;25,84;16,13
82;Alcacer do Sal;202111;2021;11;4;20,0;11,0;19,13;10,83
83;Alcacer do Sal;202112;2021;12;4;18,0;11,0;17,57;11,53
84;Alcanena;202101;2021;01;1;13,0;3,0;12,58;4,94
85;Alcanena;202102;2021;02;1;16,0;8,0;15,18;7,82
86;Alcanena;202103;2021;03;1;18,0;7,0;19,1;7,48
87;Alcanena;202104;2021;04;2;20,5;10,0;20,27;10,17
88;Alcanena;202105;2021;05;2;23,0;11,0;23,48;10,58
89;Alcanena;202106;2021;06;2;28,0;12,5;27,3;12,9
90;Alcanena;202107;2021;07;3;30,0;14,0;30,19;14,84
91;Alcanena;202108;2021;08;3;32,0;15,0;32,35;15,06
92;Alcanena;202109;2021;09;3;30,0;15,0;28,93;15,43
93;Alcanena;202110;2021;10;4;25,0;14,0;26,16;13,97
94;Alcanena;202111;2021;11;4;19,0;8,0;18,27;8,2
95;Alcanena;202112;2021;12;4;17,0;9,5;16,8;9,57
96;Alcobaca;202101;2021;01;1;12,0;6,0;12,19;6,26
97;Alcobaca;202102;2021;02;1;14,5;10,0;14,64;9,21
98;Alcobaca;202103;2021;03;1;16,0;8,0;16,65;8,81
99;Alcobaca;202104;2021;04;2;18,5;11,0;18,53;11,33
100;Alcobaca;202105;2021;05;2;19,0;12,0;19,0;12,1
101;Alcobaca;202106;2021;06;2;21,0;14,0;21,23;14,33
102;Alcobaca;202107;2021;07;3;22,0;16,0;22,84;15,77
103;Alcobaca;202108;2021;08;3;24,0;16,0;24,13;16,06
104;Alcobaca;202109;2021;09;3;24,0;17,0;24,8;16,53
105;Alcobaca;202110;2021;10;4;22,0;15,0;23,0;15,06
106;Alcobaca;202111;2021;11;4;18,0;10,0;17,47;9,9
107;Alcobaca;202112;2021;12;4;16,0;11,0;16,2;11,1
108;Alcochete;202101;2021;01;1;14,0;8,0;13,19;7,84
109;Alcochete;202102;2021;02;1;16,0;11,0;15,61;10,71
110;Alcochete;202103;2021;03;1;17,0;10,0;17,74;10,23
111;Alcochete;202104;2021;04;2;19,5;13,0;19,33;13,13
112;Alcochete;202105;2021;05;2;23,0;14,0;22,29;13,74
113;Alcochete;202106;2021;06;2;25,0;16,0;24,63;15,8
114;Alcochete;202107;2021;07;3;27,0;17,0;26,84;17,1
115;Alcochete;202108;2021;08;3;28,0;17,0;28,29;17,19
116;Alcochete;202109;2021;09;3;28,0;18,0;27,33;17,83
117;Alcochete;202110;2021;10;4;25,0;17,0;24,81;16,48
118;Alcochete;202111;2021;11;4;20,0;12,0;18,77;11,4
119;Alcochete;202112;2021;12;4;18,0;12,0;17,73;12,13
120;Alcoutim;202101;2021;01;1;14,0;8,0;13,84;8,65
121;Alcoutim;202102;2021;02;1;16,0;12,0;16,0;11,79
122;Alcoutim;202103;2021;03;1;18,0;11,0;17,61;10,74
123;Alcoutim;202104;2021;04;2;19,0;13,0;19,4;13,47
124;Alcoutim;202105;2021;05;2;24,0;15,0;23,71;14,77
125;Alcoutim;202106;2021;06;2;26,0;17,0;25,23;17,1
126;Alcoutim;202107;2021;07;3;29,0;19,0;28,61;18,9
127;Alcoutim;202108;2021;08;3;29,0;20,0;29,32;20,03
128;Alcoutim;202109;2021;09;3;29,0;19,0;28,23;19,37
129;Alcoutim;202110;2021;10;4;26,0;18,0;25,84;17,45
130;Alcoutim;202111;2021;11;4;20,0;12,0;19,6;11,6
131;Alcoutim;202112;2021;12;4;18,0;12,0;18,33;11,8
132;Alenquer;202101;2021;01;1;13,0;5,0;12,61;6,23
133;Alenquer;202102;2021;02;1;16,0;9,0;15,14;8,93
134;Alenquer;202103;2021;03;1;17,0;8,0;17,58;8,52
135;Alenquer;202104;2021;04;2;20,0;11,0;19,6;11,3
136;Alenquer;202105;2021;05;2;22,0;12,0;22,13;12,32
137;Alenquer;202106;2021;06;2;26,0;14,0;25,17;14,57
138;Alenquer;202107;2021;07;3;27,0;16,0;27,61;16,29
139;Alenquer;202108;2021;08;3;29,0;16,0;29,45;16,52
140;Alenquer;202109;2021;09;3;28,5;17,0;27,77;16,93
141;Alenquer;202110;2021;10;4;25,0;16,0;25,68;15,48
142;Alenquer;202111;2021;11;4;19,0;10,0;18,53;9,67
143;Alenquer;202112;2021;12;4;17,0;11,0;17,23;10,63
144;Alentejo Central;202101;2021;01;1;10,0;-2,0;9,61;-0,03
145;Alentejo Central;202102;2021;02;1;12,0;6,0;11,5;4,86
146;Alentejo Central;202103;2021;03;1;16,0;6,0;16,9;6,16
147;Alentejo Central;202104;2021;04;2;17,5;6,0;17,3;6,1
148;Alentejo Central;202105;2021;05;2;21,0;7,0;21,03;7,39
149;Alentejo Central;202106;2021;06;2;26,5;14,5;25,23;14,07
150;Alentejo Central;202107;2021;07;3;29,0;16,0;28,71;15,61
151;Alentejo Central;202108;2021;08;3;33,0;14,0;33,0;14,23
152;Alentejo Central;202109;2021;09;3;25,0;14,0;25,8;14,07
153;Alentejo Central;202110;2021;10;4;23,0;11,0;22,9;10,55
154;Alentejo Central;202111;2021;11;4;13,5;5,0;13,47;5,13
155;Alentejo Central;202112;2021;12;4;12,5;6,0;12,23;6,03
156;Alentejo Litoral;202101;2021;01;1;10,0;1,0;9,55;2,48
157;Alentejo Litoral;202102;2021;02;1;12,0;6,0;11,5;4,86
158;Alentejo Litoral;202103;2021;03;1;16,0;6,0;16,9;6,16
159;Alentejo Litoral;202104;2021;04;2;17,5;6,0;17,3;6,1
160;Alentejo Litoral;202105;2021;05;2;21,0;9,0;20,65;9,52
161;Alentejo Litoral;202106;2021;06;2;26,5;11,5;26,07;11,53
162;Alentejo Litoral;202107;2021;07;3;29,0;16,0;28,71;15,61
163;Alentejo Litoral;202108;2021;08;3;33,0;14,0;33,0;14,23
164;Alentejo Litoral;202109;2021;09;3;25,0;14,0;25,8;14,07
165;Alentejo Litoral;202110;2021;10;4;23,0;11,0;22,9;10,55
166;Alentejo Litoral;202111;2021;11;4;15,0;4,0;14,5;3,4
167;Alentejo Litoral;202112;2021;12;4;12,5;6,0;12,23;6,03
168;Alfandega da Fe;202101;2021;01;1;8,0;-1,0;8,19;1,19
169;Alfandega da Fe;202102;2021;02;1;11,5;5,0;11,21;4,61
170;Alfandega da Fe;202103;2021;03;1;15,0;4,0;15,61;3,74
171;Alfandega da Fe;202104;2021;04;2;17,0;7,0;16,93;6,23
172;Alfandega da Fe;202105;2021;05;2;21,0;8,0;20,19;8,35
173;Alfandega da Fe;202106;2021;06;2;25,5;13,0;25,9;12,8
174;Alfandega da Fe;202107;2021;07;3;30,0;15,0;30,32;14,87
175;Alfandega da Fe;202108;2021;08;3;32,0;15,0;32,26;15,06
176;Alfandega da Fe;202109;2021;09;3;24,0;14,0;24,77;14,4
177;Alfandega da Fe;202110;2021;10;4;21,0;10,0;20,68;10,65
178;Alfandega da Fe;202111;2021;11;4;14,0;4,0;13,23;4,57
179;Alfandega da Fe;202112;2021;12;4;12,0;5,5;11,57;5,53
180;Algarve;202101;2021;01;1;13,0;9,0;13,55;9,87
181;Algarve;202102;2021;02;1;16,0;13,0;15,39;12,75
182;Algarve;202103;2021;03;1;16,0;13,0;16,42;12,55
183;Algarve;202104;2021;04;2;18,0;14,0;17,83;13,67
184;Algarve;202105;2021;05;2;21,0;15,0;21,42;14,97
185;Algarve;202106;2021;06;2;22,5;17,0;22,43;16,37
186;Algarve;202107;2021;07;3;25,0;19,0;25,0;18,45
187;Algarve;202108;2021;08;3;25,0;19,0;25,68;19,39
188;Algarve;202109;2021;09;3;25,5;20,0;25,73;19,83
189;Algarve;202110;2021;10;4;24,0;19,0;23,87;18,84
190;Algarve;202111;2021;11;4;19,0;13,5;19,17;13,27
191;Algarve;202112;2021;12;4;18,0;13,5;18,03;13,17
192;Alijo;202101;2021;01;1;9,0;2,0;8,77;3,03
193;Alijo;202102;2021;02;1;12,0;7,0;11,43;6,11
194;Alijo;202103;2021;03;1;16,0;6,0;16,13;6,39
195;Alijo;202104;2021;04;2;17,0;9,0;17,47;8,67
196;Alijo;202105;2021;05;2;20,0;9,0;20,03;9,68
197;Alijo;202106;2021;06;2;26,0;14,0;25,07;13,97
198;Alijo;202107;2021;07;3;29,0;16,0;28,9;15,81
199;Alijo;202108;2021;08;3;31,0;16,0;30,9;16,61
200;Alijo;202109;2021;09;3;25,0;15,0;25,0;15,17
201;Alijo;202110;2021;10;4;20,0;13,0;21,06;12,55
202;Alijo;202111;2021;11;4;14,0;6,0;13,77;6,4
203;Alijo;202112;2021;12;4;12,0;7,0;11,9;6,97
204;Aljezur;202101;2021;01;1;12,0;6,0;11,52;6,16
205;Aljezur;202102;2021;02;1;14,5;10,0;13,89;9,39
206;Aljezur;202103;2021;03;1;16,0;10,0;16,39;9,42
207;Aljezur;202104;2021;04;2;18,0;12,0;18,2;11,87
208;Aljezur;202105;2021;05;2;22,0;12,0;22,61;12,16
209;Aljezur;202106;2021;06;2;24,5;14,5;24,6;14,33
210;Aljezur;202107;2021;07;3;28,0;16,0;28,71;16,71
211;Aljezur;202108;2021;08;3;29,0;17,0;29,94;17,61
212;Aljezur;202109;2021;09;3;28,0;17,0;27,07;16,63
213;Aljezur;202110;2021;10;4;25,0;17,0;24,77;15,84
214;Aljezur;202111;2021;11;4;18,0;11,0;17,63;9,8
215;Aljezur;202112;2021;12;4;16,0;10,5;16,3;10,47
216;Aljustrel;202101;2021;01;1;12,0;4,0;12,32;5,35
217;Aljustrel;202102;2021;02;1;15,0;8,5;14,61;8,21
218;Aljustrel;202103;2021;03;1;18,0;7,0;18,55;7,94
219;Aljustrel;202104;2021;04;2;20,0;10,5;19,4;10,3
220;Aljustrel;202105;2021;05;2;22,0;11,0;22,06;10,61
221;Aljustrel;202106;2021;06;2;26,0;13,0;25,5;13,13
222;Aljustrel;202107;2021;07;3;28,0;15,0;28,06;15,16
223;Aljustrel;202108;2021;08;3;30,0;15,0;30,26;14,87
224;Aljustrel;202109;2021;09;3;29,0;15,0;27,87;15,17
225;Aljustrel;202110;2021;10;4;24,0;14,0;24,97;14,06
226;Aljustrel;202111;2021;11;4;18,0;8,0;17,6;8,13
227;Aljustrel;202112;2021;12;4;16,0;9,5;16,1;9,47
228;Almada;202101;2021;01;1;13,0;5,0;12,61;6,23
229;Almada;202102;2021;02;1;16,0;9,0;15,14;8,93
230;Almada;202103;2021;03;1;17,0;8,0;17,58;8,52
231;Almada;202104;2021;04;2;20,0;11,0;19,6;11,3
232;Almada;202105;2021;05;2;22,0;12,0;22,13;12,32
233;Almada;202106;2021;06;2;26,0;14,0;25,17;14,57
234;Almada;202107;2021;07;3;27,0;16,0;27,61;16,29
235;Almada;202108;2021;08;3;29,0;16,0;29,45;16,52
236;Almada;202109;2021;09;3;28,5;17,0;27,77;16,93
237;Almada;202110;2021;10;4;25,0;16,0;25,68;15,48
238;Almada;202111;2021;11;4;19,0;10,0;18,53;9,67
239;Almada;202112;2021;12;4;17,0;11,0;17,23;10,63
240;Almeida;202101;2021;01;1;7,0;-1,0;6,81;-0,1
241;Almeida;202102;2021;02;1;10,0;4,0;9,79;3,39
242;Almeida;202103;2021;03;1;14,0;4,0;13,81;3,9
243;Almeida;202104;2021;04;2;15,5;6,5;15,27;5,87
244;Almeida;202105;2021;05;2;19,0;7,0;18,87;7,29
245;Almeida;202106;2021;06;2;25,0;11,5;23,8;11,63
246;Almeida;202107;2021;07;3;28,0;13,0;28,87;12,94
247;Almeida;202108;2021;08;3;31,0;13,0;30,87;14,0
248;Almeida;202109;2021;09;3;24,0;13,0;23,77;13,43
249;Almeida;202110;2021;10;4;21,0;10,0;19,97;10,03
250;Almeida;202111;2021;11;4;12,5;3,0;11,4;3,5
251;Almeida;202112;2021;12;4;10,0;5,5;11,03;5,27
252;Almeirim;202101;2021;01;1;13,0;4,0;12,52;5,26
253;Almeirim;202102;2021;02;1;16,5;9,0;15,43;9,04
254;Almeirim;202103;2021;03;1;18,0;8,0;18,23;7,81
255;Almeirim;202104;2021;04;2;21,0;11,0;20,93;10,9
256;Almeirim;202105;2021;05;2;27,0;12,0;26,74;12,23
257;Almeirim;202106;2021;06;2;31,0;15,5;30,2;15,27
258;Almeirim;202107;2021;07;3;34,0;16,0;34,19;17,03
259;Almeirim;202108;2021;08;3;35,0;18,0;35,13;18,0
260;Almeirim;202109;2021;09;3;30,0;18,0;29,87;18,03
261;Almeirim;202110;2021;10;4;28,0;16,0;27,58;16,32
262;Almeirim;202111;2021;11;4;19,0;10,0;18,5;9,33
263;Almeirim;202112;2021;12;4;17,0;10,0;17,7;9,77
264;Almodovar;202101;2021;01;1;13,0;7,0;12,87;8,06
265;Almodovar;202102;2021;02;1;15,5;11,5;15,07;11,07
266;Almodovar;202103;2021;03;1;17,0;11,0;17,06;10,65
267;Almodovar;202104;2021;04;2;19,0;13,0;18,57;12,33
268;Almodovar;202105;2021;05;2;24,0;14,0;23,13;13,97
269;Almodovar;202106;2021;06;2;26,0;16,0;25,13;16,23
270;Almodovar;202107;2021;07;3;29,0;17,0;28,9;17,77
271;Almodovar;202108;2021;08;3;30,0;19,0;29,81;19,42
272;Almodovar;202109;2021;09;3;29,0;19,0;27,9;18,5
273;Almodovar;202110;2021;10;4;25,0;18,0;25,45;17,13
274;Almodovar;202111;2021;11;4;19,0;12,0;18,63;11,07
275;Almodovar;202112;2021;12;4;17,0;11,5;17,5;11,33
276;Alpiarca;202101;2021;01;1;13,0;3,0;12,81;5,23
277;Alpiarca;202102;2021;02;1;17,0;9,0;15,54;8,43
278;Alpiarca;202103;2021;03;1;18,0;8,0;18,58;8,06
279;Alpiarca;202104;2021;04;2;20,5;11,0;20,2;10,63
280;Alpiarca;202105;2021;05;2;23,0;12,0;23,16;11,48
281;Alpiarca;202106;2021;06;2;28,0;14,0;26,67;13,87
282;Alpiarca;202107;2021;07;3;29,0;15,0;30,06;15,26
283;Alpiarca;202108;2021;08;3;31,0;15,0;32,03;15,29
284;Alpiarca;202109;2021;09;3;29,0;16,0;28,77;16,2
285;Alpiarca;202110;2021;10;4;26,0;15,0;26,52;14,65
286;Alpiarca;202111;2021;11;4;19,0;9,0;18,7;8,8
287;Alpiarca;202112;2021;12;4;18,0;10,0;17,7;10,1
288;Alter do Chao;202101;2021;01;1;10,0;3,0;9,29;3,39
289;Alter do Chao;202102;2021;02;1;12,5;7,0;12,11;6,46
290;Alter do Chao;202103;2021;03;1;15,0;7,0;15,81;7,13
291;Alter do Chao;202104;2021;04;2;17,5;10,0;17,57;9,93
292;Alter do Chao;202105;2021;05;2;23,0;11,0;22,42;11,58
293;Alter do Chao;202106;2021;06;2;28,5;15,5;27,63;15,23
294;Alter do Chao;202107;2021;07;3;32,0;15,0;31,77;16,61
295;Alter do Chao;202108;2021;08;3;33,0;18,0;33,29;18,03
296;Alter do Chao;202109;2021;09;3;27,0;16,0;26,83;16,83
297;Alter do Chao;202110;2021;10;4;25,0;15,0;24,1;14,97
298;Alter do Chao;202111;2021;11;4;15,0;8,0;15,2;7,73
299;Alter do Chao;202112;2021;12;4;14,0;8,0;14,33;7,7
300;Alto Alentejo;202101;2021;01;1;10,0;1,0;9,55;2,48
301;Alto Alentejo;202102;2021;02;1;12,0;6,0;11,5;4,86
302;Alto Alentejo;202103;2021;03;1;16,0;6,0;16,9;6,16
303;Alto Alentejo;202104;2021;04;2;19,0;8,0;18,13;7,93
304;Alto Alentejo;202105;2021;05;2;21,0;9,0;20,65;9,52
305;Alto Alentejo;202106;2021;06;2;26,5;11,5;26,07;11,53
306;Alto Alentejo;202107;2021;07;3;29,0;16,0;28,71;15,61
307;Alto Alentejo;202108;2021;08;3;31,0;16,0;31,03;15,81
308;Alto Alentejo;202109;2021;09;3;27,0;12,0;26,17;12,33
309;Alto Alentejo;202110;2021;10;4;23,0;11,0;22,9;10,55
310;Alto Alentejo;202111;2021;11;4;15,0;4,0;14,5;3,4
311;Alto Alentejo;202112;2021;12;4;12,5;6,0;12,23;6,03
312;Alto Tamega;202101;2021;01;1;10,0;1,0;9,55;2,48
313;Alto Tamega;202102;2021;02;1;12,0;6,0;11,5;4,86
314;Alto Tamega;202103;2021;03;1;16,0;6,0;16,9;6,16
315;Alto Tamega;202104;2021;04;2;19,0;8,0;18,13;7,93
316;Alto Tamega;202105;2021;05;2;21,0;9,0;20,65;9,52
317;Alto Tamega;202106;2021;06;2;26,5;14,5;25,23;14,07
318;Alto Tamega;202107;2021;07;3;29,0;16,0;28,71;15,61
319;Alto Tamega;202108;2021;08;3;31,0;16,0;31,03;15,81
320;Alto Tamega;202109;2021;09;3;25,0;14,0;25,8;14,07
321;Alto Tamega;202110;2021;10;4;21,0;12,0;20,97;11,45
322;Alto Tamega;202111;2021;11;4;13,5;5,0;13,47;5,13
323;Alto Tamega;202112;2021;12;4;12,5;6,0;12,23;6,03
324;Alvaiazere;202101;2021;01;1;13,0;4,0;12,77;4,87
325;Alvaiazere;202102;2021;02;1;16,0;8,0;15,21;7,82
326;Alvaiazere;202103;2021;03;1;18,0;7,0;18,81;7,06
327;Alvaiazere;202104;2021;04;2;20,0;10,0;19,83;9,93
328;Alvaiazere;202105;2021;05;2;22,0;10,0;21,42;9,94
329;Alvaiazere;202106;2021;06;2;25,5;13,0;24,63;12,9
330;Alvaiazere;202107;2021;07;3;26,0;14,0;27,03;14,61
331;Alvaiazere;202108;2021;08;3;28,0;14,0;28,9;13,9
332;Alvaiazere;202109;2021;09;3;27,5;14,0;27,33;14,23
333;Alvaiazere;202110;2021;10;4;24,0;13,0;24,58;13,13
334;Alvaiazere;202111;2021;11;4;18,5;7,5;18,1;7,37
335;Alvaiazere;202112;2021;12;4;17,0;9,0;16,67;9,17
336;Alvito;202101;2021;01;1;11,0;2,0;10,48;3,1
337;Alvito;202102;2021;02;1;12,0;6,5;12,14;6,18
338;Alvito;202103;2021;03;1;16,0;6,0;16,87;5,94
339;Alvito;202104;2021;04;2;18,0;8,5;17,57;8,17
340;Alvito;202105;2021;05;2;19,0;9,0;19,52;9,06
341;Alvito;202106;2021;06;2;25,0;13,0;24,2;13,03
342;Alvito;202107;2021;07;3;29,0;14,0;28,06;14,32
343;Alvito;202108;2021;08;3;31,0;14,0;30,61;14,58
344;Alvito;202109;2021;09;3;25,5;14,0;25,3;13,67
345;Alvito;202110;2021;10;4;21,0;12,0;21,87;11,74
346;Alvito;202111;2021;11;4;16,0;6,0;15,3;6,03
347;Alvito;202112;2021;12;4;13,5;7,0;13,1;7,33
348;Amadora;202101;2021;01;1;12,0;3,0;11,94;3,35
349;Amadora;202102;2021;02;1;16,0;8,0;15,07;7,32
350;Amadora;202103;2021;03;1;18,0;6,0;18,39;6,74
351;Amadora;202104;2021;04;2;21,0;10,0;20,6;9,4
352;Amadora;202105;2021;05;2;27,0;10,0;26,68;10,71
353;Amadora;202106;2021;06;2;31,5;14,5;30,8;14,03
354;Amadora;202107;2021;07;3;35,0;16,0;35,29;15,81
355;Amadora;202108;2021;08;3;35,0;17,0;35,94;16,87
356;Amadora;202109;2021;09;3;30,5;16,0;30,33;16,03
357;Amadora;202110;2021;10;4;29,0;15,0;27,45;14,03
358;Amadora;202111;2021;11;4;18,0;7,0;17,3;6,47
359;Amadora;202112;2021;12;4;16,0;7,5;16,93;7,37
360;Amarante;202101;2021;01;1;12,0;2,0;11,42;2,94
361;Amarante;202102;2021;02;1;13,0;5,0;13,04;4,54
362;Amarante;202103;2021;03;1;19,0;6,0;18,74;6,26
363;Amarante;202104;2021;04;2;19,5;8,0;19,53;8,2
364;Amarante;202105;2021;05;2;21,0;8,0;21,68;7,77
365;Amarante;202106;2021;06;2;27,5;11,0;26,17;10,53
366;Amarante;202107;2021;07;3;30,0;12,0;30,0;12,35
367;Amarante;202108;2021;08;3;32,0;14,0;32,52;13,42
368;Amarante;202109;2021;09;3;28,0;12,0;27,63;12,47
369;Amarante;202110;2021;10;4;23,0;11,0;23,55;10,65
370;Amarante;202111;2021;11;4;16,5;6,0;16,27;5,7
371;Amarante;202112;2021;12;4;14,0;7,0;13,87;6,67
372;Amares;202101;2021;01;1;10,0;2,0;10,61;2,32
373;Amares;202102;2021;02;1;13,0;6,0;13,25;4,79
374;Amares;202103;2021;03;1;17,0;6,0;17,65;6,19
375;Amares;202104;2021;04;2;19,0;8,5;18,83;8,23
376;Amares;202105;2021;05;2;20,0;9,0;20,45;9,74
377;Amares;202106;2021;06;2;26,0;13,5;25,13;13,87
378;Amares;202107;2021;07;3;29,0;15,0;28,77;15,32
379;Amares;202108;2021;08;3;31,0;15,0;30,87;15,9
380;Amares;202109;2021;09;3;27,0;14,5;26,37;14,33
381;Amares;202110;2021;10;4;22,0;12,0;22,48;11,77
382;Amares;202111;2021;11;4;15,0;6,0;14,4;5,7
383;Amares;202112;2021;12;4;13,0;6,0;12,93;6,6
384;Anadia;202101;2021;01;1;13,0;5,0;12,87;5,39
385;Anadia;202102;2021;02;1;14,0;9,0;14,75;7,96
386;Anadia;202103;2021;03;1;18,0;7,0;18,65;7,94
387;Anadia;202104;2021;04;2;21,0;10,0;20,1;10,13
388;Anadia;202105;2021;05;2;22,0;10,0;21,23;10,03
389;Anadia;202106;2021;06;2;26,0;12,0;24,77;12,87
390;Anadia;202107;2021;07;3;27,0;14,0;27,71;14,74
391;Anadia;202108;2021;08;3;30,0;15,0;29,97;14,97
392;Anadia;202109;2021;09;3;28,0;15,0;27,6;14,97
393;Anadia;202110;2021;10;4;23,0;14,0;24,29;13,52
394;Anadia;202111;2021;11;4;18,5;8,5;18,13;8,43
395;Anadia;202112;2021;12;4;16,0;10,0;16,37;9,63
396;Angra do Heroismo;202101;2021;01;1;16,0;12,0;15,26;11,77
397;Angra do Heroismo;202102;2021;02;1;14,0;11,0;13,89;10,43
398;Angra do Heroismo;202103;2021;03;1;15,0;13,0;14,97;12,26
399;Angra do Heroismo;202104;2021;04;2;16,0;14,0;16,2;13,63
