date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,windspeed_10m_max,pais,municipio,latitude,longitude
2024-07-01 00:00:00+00:00,20.320997,26.546,15.945999,20.458956,29.399803,15.673624,0.0,22.427162,Portugal,Lisboa,38.7169,-9.1399
2024-07-02 00:00:00+00:00,24.233498,32.396,18.446,24.533089,35.466034,17.815054,0.0,24.821732,Portugal,Lisboa,38.7169,-9.1399
2024-07-03 00:00:00+00:00,22.485582,28.996,17.796,22.188774,31.495098,16.405949,0.0,22.007162,Portugal,Lisboa,38.7169,-9.1399
2024-07-04 00:00:00+00:00,24.085585,33.496,17.196,25.479147,37.931717,16.261898,0.0,17.106628,Portugal,Lisboa,38.7169,-9.1399
2024-07-05 00:00:00+00:00,22.6835,31.296,16.896,23.639862,34.720814,14.896433,0.0,29.601109,Portugal,Lisboa,38.7169,-9.1399
2024-07-06 00:00:00+00:00,19.154333,23.196,15.446,17.352987,22.242481,13.322529,0.0,26.27753,Portugal,Lisboa,38.7169,-9.1399
2024-07-07 00:00:00+00:00,17.931417,22.996,14.396,16.371847,22.911211,12.722776,0.0,20.316889,Portugal,Lisboa,38.7169,-9.1399
2024-07-08 00:00:00+00:00,18.731417,24.646,12.746,18.986609,25.605495,12.1989975,0.2,16.676977,Portugal,Lisboa,38.7169,-9.1399
2024-07-09 00:00:00+00:00,19.381416,22.446,16.646,20.331064,23.039743,18.075672,2.1,18.668005,Portugal,Lisboa,38.7169,-9.1399
2024-07-10 00:00:00+00:00,21.958498,26.646,18.746,24.004183,29.941998,20.410397,0.1,15.1884165,Portugal,Lisboa,38.7169,-9.1399
2024-07-11 00:00:00+00:00,22.800163,27.446,18.946,24.583801,31.062897,20.256817,0.0,17.148247,Portugal,Lisboa,38.7169,-9.1399
2024-07-12 00:00:00+00:00,21.229332,27.746,16.696,21.364103,29.52906,15.95599,0.0,21.273533,Portugal,Lisboa,38.7169,-9.1399
2024-07-13 00:00:00+00:00,19.46475,25.896,14.796,19.281921,27.208342,14.89159,0.0,16.548256,Portugal,Lisboa,38.7169,-9.1399
2024-07-14 00:00:00+00:00,19.083498,23.746,13.896,19.554827,24.673916,13.808165,0.0,17.906157,Portugal,Lisboa,38.7169,-9.1399
2024-07-15 00:00:00+00:00,21.11475,25.296,17.496,21.637083,26.636583,17.969673,0.5,16.595179,Portugal,Lisboa,38.7169,-9.1399
2024-07-16 00:00:00+00:00,20.404333,25.846,16.396,20.495077,27.189249,16.236794,0.0,19.930477,Portugal,Lisboa,38.7169,-9.1399
2024-07-17 00:00:00+00:00,21.239752,28.296,15.546,21.679052,31.01336,15.6031685,0.0,15.379206,Portugal,Lisboa,38.7169,-9.1399
2024-07-18 00:00:00+00:00,23.993917,32.846,16.446,24.011518,35.70249,16.43403,0.0,15.716793,Portugal,Lisboa,38.7169,-9.1399
2024-07-19 00:00:00+00:00,23.887665,31.446,18.596,24.524033,35.586086,17.446432,0.0,17.873556,Portugal,Lisboa,38.7169,-9.1399
2024-07-20 00:00:00+00:00,22.6335,26.846,19.246,23.519983,28.312016,20.320616,0.3,19.453327,Portugal,Lisboa,38.7169,-9.1399
2024-07-21 00:00:00+00:00,21.110584,26.346,16.896,20.141838,26.49656,16.311478,0.0,23.936617,Portugal,Lisboa,38.7169,-9.1399
