date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2024-06-01 00:00:00+00:00,17.283667,24.504501,12.254499,15.584576,23.49348,10.1409
2024-06-02 00:00:00+00:00,19.346167,26.004501,14.704499,17.946634,24.947433,12.808044
2024-06-03 00:00:00+00:00,20.614916,25.9545,16.754501,20.328804,26.186136,15.958
2024-06-04 00:00:00+00:00,19.808668,25.254501,15.8045,19.275696,25.007818,14.759651
2024-06-05 00:00:00+00:00,19.092001,25.8045,14.0545,18.227762,25.401934,12.801077
2024-06-06 00:00:00+00:00,20.787836,27.0545,16.504501,19.83066,26.51674,15.321539
2024-06-07 00:00:00+00:00,20.964918,26.8545,16.3545,20.070929,26.673437,14.801596
2024-06-08 00:00:00+00:00,20.892002,27.004501,16.154501,19.940714,26.458717,14.552963
2024-06-09 00:00:00+00:00,20.987833,27.5545,15.854499,19.919504,26.522919,14.442657
2024-06-10 00:00:00+00:00,20.892,27.754501,15.1045,20.459793,27.19198,14.443169
2024-06-11 00:00:00+00:00,21.21075,27.8545,15.5045,20.346212,27.944702,14.035297
2024-06-12 00:00:00+00:00,21.564919,27.904501,16.754501,20.250483,27.200287,14.990753
2024-06-13 00:00:00+00:00,20.721169,26.8545,15.1545,18.714653,23.899849,13.042404
2024-06-14 00:00:00+00:00,21.283667,28.1045,16.004501,19.743925,26.483053,14.051392
2024-06-15 00:00:00+00:00,22.227419,28.904501,16.8045,21.439764,27.589634,15.754831
2024-06-16 00:00:00+00:00,21.433668,27.904501,16.3545,20.52289,26.639608,15.14653
2024-06-17 00:00:00+00:00,20.800333,27.5545,15.0545,19.508839,25.646946,13.177708
2024-06-18 00:00:00+00:00,20.13992,27.0545,14.504499,18.150253,24.837006,12.033577
2024-06-19 00:00:00+00:00,20.139917,27.504501,14.454499,18.557611,25.599823,12.320255
2024-06-20 00:00:00+00:00,20.694084,27.9545,15.6545,19.086447,26.368786,13.536747
2024-06-21 00:00:00+00:00,20.871168,27.1045,15.6545,18.672495,25.53906,12.634151
2024-06-22 00:00:00+00:00,21.737837,27.8045,16.7045,19.893251,26.10633,14.686474
2024-06-23 00:00:00+00:00,22.383667,29.4545,16.9545,21.203985,27.830227,15.609283
2024-06-24 00:00:00+00:00,22.698252,29.504501,17.1045,21.456423,27.279657,15.767952
2024-06-25 00:00:00+00:00,23.187838,29.154501,18.6045,23.032602,28.998505,18.412327
2024-06-26 00:00:00+00:00,22.24617,29.4545,16.3545,21.344559,27.447664,16.009209
2024-06-27 00:00:00+00:00,21.123251,25.904501,16.3045,21.770647,26.272892,16.926504
2024-06-28 00:00:00+00:00,21.312836,27.654501,15.5045,21.083834,25.695015,15.972183
2024-06-29 00:00:00+00:00,22.394083,28.9545,15.8045,21.41291,26.958792,15.17074
2024-06-30 00:00:00+00:00,19.406584,23.404501,15.7545,19.520811,23.885914,15.472378
2024-07-01 00:00:00+00:00,16.183664,19.754501,13.3045,15.028615,18.308868,12.102451
2024-07-02 00:00:00+00:00,17.675335,25.4545,12.254499,17.052107,25.513226,10.639131
2024-07-03 00:00:00+00:00,20.023252,27.154501,13.704499,19.698812,26.434032,12.9452095
2024-07-04 00:00:00+00:00,21.635752,27.654501,16.8045,20.624723,26.634993,15.214819
2024-07-05 00:00:00+00:00,21.137833,26.8045,17.4545,19.805151,25.404673,15.9862995
2024-07-06 00:00:00+00:00,20.608667,27.754501,15.5045,19.025908,26.171602,13.391558
2024-07-07 00:00:00+00:00,20.948252,28.2045,15.3045,19.395966,26.599232,13.451551
2024-07-08 00:00:00+00:00,20.269083,24.2045,16.2045,19.68427,24.494308,14.831102
2024-07-09 00:00:00+00:00,16.335749,19.154501,13.9045,16.729574,19.463467,13.393726
2024-07-10 00:00:00+00:00,16.344084,20.254501,13.704499,16.942556,19.863777,14.641325
2024-07-11 00:00:00+00:00,18.971167,27.1045,13.3045,19.358572,27.06823,13.512053
2024-07-12 00:00:00+00:00,20.5795,25.4545,15.8045,21.03785,26.869833,15.454472
2024-07-13 00:00:00+00:00,19.081583,24.254501,14.454499,18.341005,24.071955,12.9071865
2024-07-14 00:00:00+00:00,19.65242,25.3045,14.5545,19.098406,24.65045,14.612614
2024-07-15 00:00:00+00:00,19.114916,24.9545,14.754499,19.236164,24.93238,14.911499
2024-07-16 00:00:00+00:00,18.873251,25.254501,13.754499,18.001505,24.445204,12.637911
