"IdImovel";"UrlPesquisa";"Url";"Nome";"Preco";"PrecoDesconto";"tipo";"metros";"andar";"elevador";"Detalhes";"Status";"Page"
"31422177";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31422177/";"Apartamento T1 na rua António Feliciano de Castilho, 480, Pedrouços, Maia";"550";"";"T1";"70 ";"2  ";"sem elevador";"T1 , 70 m² construídos, 2º andar  sem elevador";"OK";"66"
"31414238";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31414238/";"Apartamento T2 na rua Alexandrino Chaves Velho, 369, Freamunde, Paços de Ferreira";"550";"";"T2";"119 ";"2  ";"sem elevador";"T2 , 119 m² construídos, 2º andar  sem elevador";"OK";"66"
"31321719";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31321719/";"Duplex na rua de Fernandes Tomás, 875, Baixa, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"900";"";"T2";"180 ";"1  ";"sem elevador";"T2 , 180 m² construídos, 1º andar  sem elevador";"OK";"66"
"30747379";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/30747379/";"Apartamento T1 na rua de Santa Catarina, 888, Baixa, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"750";"";"T1";"40 ";"1  ";"com elevador";"T1 , 40 m² construídos, 1º andar  com elevador";"OK";"66"
"31465373";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31465373/";"Apartamento T2 na rua de Soares dos Reis, 689, Santo Ovídio - Cedro - Monte da Virgem, Mafamude e Vilar do Paraíso";"750";"";"T2";"102 ";"1  ";"sem elevador";"T2 , 102 m² construídos, 1º andar  sem elevador";"OK";"66"
"27231417";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/27231417/";"Apartamento T3 na avenida Fernão de Magalhães, 948, Antas - São Roque, Campanhã";"1.250";"";"T3";"135 ";"8  ";"com elevador";"T3 , 135 m² construídos, 8º andar  com elevador";"OK";"66"
"31463586";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31463586/";"Apartamento T2,  dr carlos vale, 218, Soares dos Reis - Rasa de Cima, Mafamude e Vilar do Paraíso";"1.300";"";"T2";"144 ";"2  ";"com elevador";"T2 , 144 m² construídos, 2º andar  com elevador";"OK";"66"
"31372867";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31372867/";"Duplex na rua do General Torres, 311, Centro Histórico, Santa Marinha e São Pedro da Afurada";"800";"";"T1";"80 ";"3  ";"sem elevador";"T1 , 80 m² construídos, 3º andar  sem elevador";"OK";"66"
"31302215";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31302215/";"Moradia independente na rua Dr. Carneiro Pacheco, 425, Santo Tirso - Couto - Burgães, Santo Tirso";"1.450";"";"T6";"400 ";"";"";"T6 , 400 m² construídos";"OK";"66"
"31361940";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31361940/";"Apartamento T1 na rua de Anselmo Braancamp, 27, Campo 24 de Agosto, Bonfim";"550";"";"T1";"70 ";"1  ";"sem elevador";"T1 , 70 m² construídos, 1º andar  sem elevador";"OK";"66"
"31355562";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31355562/";"Apartamento T2 na rua António Rodrigues Rocha, 421, Santo Ovídio - Cedro - Monte da Virgem, Mafamude e Vilar do Paraíso";"650";"";"T2";"100 ";"2  ";"com elevador";"T2 , 100 m² construídos, 2º andar  com elevador";"OK";"66"
"31446015";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31446015/";"Apartamento T3 na rua altino silva gomes, 195, Cidade da Maia, Maia";"950";"";"T3";"122 ";"1  ";"com elevador";"T3 , 122 m² construídos, 1º andar  com elevador";"OK";"66"
"31444507";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31444507/";"Apartamento T3 na rua Caetano de Melo, Oliveira do Douro, Vila Nova de Gaia";"900";"";"T3";"105 ";"1  ";"sem elevador";"T3 , 105 m² construídos, 1º andar  sem elevador";"OK";"66"
"31430576";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31430576/";"Apartamento T1 na rua de Monsanto, 2, Monte dos Burgos - Carvalhido, Paranhos";"600";"";"T1";"57 ";"3  ";"com elevador";"T1 , 57 m² construídos, 3º andar  com elevador";"OK";"66"
"31406068";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31406068/";"Apartamento T0 na avenida da República, Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira";"550";"";"T0";"80 ";"3  ";"com elevador";"T0 , 80 m² construídos, 3º andar  com elevador";"OK";"66"
"31406346";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31406346/";"Apartamento T3,  1ª Transversal Norte da Rua da Restauração, 99, Areosa - Forno - Triana, Rio Tinto";"750";"";"T3";"140 ";"5  ";"com elevador";"T3 , 140 m² construídos, 5º andar  com elevador";"OK";"66"
"31402324";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-66";"/imovel/31402324/";"Apartamento T1 na rua de Alexandre Herculano, 59, Batalha - Guindais, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"850";"";"T1";"65 ";"0";"com elevador";"T1 , 65 m² construídos, Rés do chão  com elevador";"OK";"66"
"31294730";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/31294730/";"Moradia independente na rua Manguela, 48, Aguiar de Sousa, Paredes";"1.000";"";"T3";"400 ";"";"";"T3 , 400 m² construídos";"OK";"65"
"31286715";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/31286715/";"Apartamento T2 na travessa da Figueirôa, 26, Praça da República, Cedofeita - Boavista, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"600";"";"T2";"85 ";"2  ";"sem elevador";"T2 , 85 m² construídos, 2º andar  sem elevador";"OK";"65"
"30046720";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/30046720/";"Apartamento T1 na rua de Santos Pousada, 855, Doze Casas - Joaquim Urbano - Santos Pousada, Bonfim";"800";"";"T1";"38 ";"3  ";"com elevador";"T1 , 38 m² construídos, 3º andar  com elevador";"OK";"65"
"31075128";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/31075128/";"Apartamento T1 na rua de Santa Catarina, 759, Baixa, Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória";"800";"";"T1";"52 ";"5  ";"com elevador";"T1 , 52 m² construídos, 5º andar  com elevador";"OK";"65"
"30920976";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/30920976/";"Apartamento T2 na avenida Grupo AEME, 97, Cete, Paredes";"500";"";"T2";"70 ";"1  ";"com elevador";"T2 , 70 m² construídos, 1º andar  com elevador";"OK";"65"
"29963436";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/29963436/";"Apartamento T2 na rua do General Torres, 339, Centro Histórico, Santa Marinha e São Pedro da Afurada";"850";"";"T2";"90 ";"1  ";"sem elevador";"T2 , 90 m² construídos, 1º andar  sem elevador";"OK";"65"
"31521946";"https://www.idealista.pt/arrendar-casas/porto-distrito/pagina-65";"/imovel/31521946/";"Apartamento T2 na rua Nova da Tapada, 250, Serzedo e Perosinho, Vila Nova de Gaia";"475";"";"T2";"80 ";"1  ";"sem elevador";"T2 , 80 m² construídos, 1º andar  sem elevador";"OK";"65"
