;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;"N.º médio de indivíduos por Km²	
	";% cidadãos estrangeiros,em relacao total da população;qtd Hospitais particulares e publicos;qtd Farmacias;Quantidade construçoes novas;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;distance_driving_Lisboa_Portugal;distance_driving_Porto_Portugal;Clima_Ranking;Ranking_Geral;Ranking_Regional
0;Município;Norte;Arcos de Valdevez;1988;12099;6770;9,5;58,0;32,5;46,6;1,4;0;6;20;10;4;3;3;23;1;891,9;4,5;68,6;29,2;6;41,8471981;-8,417882;Arcos de Valdevez, Viana do Castelo, Portugal;353,9;79,2;18,0;127,0;43,0
1;Município;Norte;Caminha;1736;9981;4115;11,0;63,0;26,0;116,0;3,2;0;5;20;11;10;2;2;40;0;920,4;4,1;79,3;29,2;8;41,8757598;-8,8388375;Caminha, Viana do Castelo, Portugal;352,7;82,9;13,0;144,0;49,0
2;Município;Norte;Melgaco;630;4505;2908;7,8;56,0;36,2;33,8;1,5;0;3;1;3;2;1;1;0;0;880,9;2,9;62,1;26,4;5;42,11290885;-8,258067279809108;Melgaço, Vila e Roussas, Melgaço, Viana do Castelo, Portugal;385,4;111,0;12,0;214,0;66,0
3;Município;Norte;Moncao;1693;10844;5262;9,5;60,9;29,6;84,2;4,1;0;6;10;6;4;2;4;18;1;891,6;3,9;71,3;17,8;6;42,0278786;-8,417328561790193;Monção, Viana do Castelo, Portugal;373,7;98,9;13,0;134,0;45,0
4;Município;Norte;Paredes de Coura;942;5186;2376;11,1;61,0;27,9;61,5;1,8;0;3;9;5;1;1;1;31;1;954,2;5,9;67,3;24,9;3;41,9133898;-8,56396258972716;Paredes de Coura, Viana do Castelo, Portugal;359,3;84,9;18,0;200,0;60,0
5;Município;Norte;Ponte da Barca;1127;7259;2754;10,1;65,2;24,7;61,2;1,1;0;3;11;4;3;1;1;0;0;854,2;3,7;65,5;22,9;4;41,8076477;-8,416428;Ponte da Barca, Viana do Castelo, Portugal;349,6;74,9;18,0;177,0;55,0
6;Município;Norte;Ponte de Lima;4914;27130;9143;11,9;65,9;22,2;128,6;1,1;1;10;39;19;14;4;7;110;0;922,3;3,3;72,2;19,9;8;41,7675021;-8,5830992;Ponte de Lima, Viana do Castelo, Portugal;343,0;68,7;18,0;69,0;27,0
7;Município;Norte;Valenca;1468;8443;3331;11,1;63,8;25,2;113,0;6,4;0;3;29;9;7;1;1;4;0;973,4;6,6;83,2;34,3;9;42,0273051;-8,6404204;Valença, Viana do Castelo, Portugal;371,0;97,5;15,0;156,0;50,0
8;Município;Norte;Viana do Castelo;10050;54487;19700;11,9;64,7;23,4;264,0;2,9;2;27;52;43;37;10;12;121;5;1114,7;4,2;93,8;26,4;24;41,8803257;-8,523255293554344;Viana do Castelo, Portugal;356,1;81,5;13,0;29,0;13,0
9;Município;Norte;Vila Nova de Cerveira;1028;5775;2103;11,5;64,8;23,6;82,1;5,2;0;3;15;4;3;1;1;80;0;1086,1;4,5;85,9;30,5;1;41,9403912;-8,7436068;Vila Nova de Cerveira, Viana do Castelo, Portugal;360,5;88,5;18,0;191,0;59,0
10;Município;Norte;Amares;2219;12408;3483;12,3;68,5;19,2;221,0;2,0;1;4;38;7;6;1;2;0;0;932,6;4,9;71,9;24,0;3;41,6309663;-8,3510599;Amares, Braga, Portugal;331,4;57,7;18,0;126,0;42,0
11;Município;Norte;Barcelos;14398;80002;21489;12,4;69,0;18,5;305,9;1,3;4;26;180;81;64;11;17;61;1;948,9;3,5;80,1;19,6;26;41,5314496;-8,6192306;Barcelos, Braga, Portugal;316,6;42,4;16,0;22,0;10,0
12;Município;Norte;Braga;25798;125276;31728;14,1;68,5;17,4;996,7;6,4;6;38;253;101;75;22;27;210;28;1145,8;5,8;108,8;25,4;62;41,5510583;-8,4280045;Braga, Portugal;321,4;47,2;21,0;7,0;3,0
13;Município;Norte;Esposende;4739;23317;6119;13,9;68,2;17,9;358,2;2,4;2;8;78;23;19;4;6;16;0;962,4;3,3;85,2;25,0;10;41,5315251;-8,7792538;Esposende, Braga, Portugal;315,0;44,7;16,0;77,0;30,0
