Regiao,municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,percentual_extremos,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,media_score,media_maxtemp,media_mintemp,media_totalSnow_cm,media_sunHour,media_uvIndex,media_FeelsLikeC,media_HeatIndexC,media_WindChillC,media_humidity,media_precipMM,media_tempC,classificacao_geral
Alentejo,Alandroal,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,35","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Alcacer do Sal,"366,00","145,00","57,00","164,00","9,00","2,46","5,00","0,00","4,00","0,00","0,00","58,02","22,02","13,43","0,00","9,50","4,35","16,75","17,42","16,68","71,64","2,51","22,02",Aceitável
Alentejo,Aljustrel,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Almeirim,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,39","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Almodovar,"366,00","119,00","61,00","186,00","8,00","2,19","2,00","0,00","6,00","0,00","1,00","54,57","22,10","14,14","0,00","10,08","4,57","17,53","18,11","17,35","68,39","2,81","22,10",Aceitável
Alentejo,Alpiarca,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,39","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Alter do Chao,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,39","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Alvito,"366,00","149,00","26,00","191,00","8,00","2,19","5,00","0,00","3,00","0,00","0,00","54,29","21,60","11,04","0,00","9,17","3,91","15,18","15,79","15,17","75,24","3,01","21,60",Aceitável
Alentejo,Arraiolos,"366,00","106,00","33,00","227,00","36,00","9,84","36,00","0,00","0,00","0,00","4,00","47,09","23,35","11,47","0,00","9,26","4,23","16,16","16,82","16,15","69,18","2,34","23,35",Marginal
Alentejo,Arronches,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,36","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Avis,"366,00","222,00","33,00","111,00","4,00","1,09","1,00","3,00","0,00","0,00","0,00","69,49","26,64","13,48","0,00","10,83","5,07","19,26","19,45","19,43","31,87","1,01","26,64",Bom
Alentejo,Azambuja,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,60","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Alentejo,Barrancos,"366,00","94,00","23,00","249,00","60,00","16,39","57,00","1,00","2,00","0,00","9,00","44,62","23,83","11,57","0,00","9,66","4,43","16,81","17,26","16,85","64,31","2,17","23,83",Marginal
Alentejo,Beja,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Benavente,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,59","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Alentejo,Borba,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,35","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Campo Maior,"366,00","95,00","27,00","244,00","68,00","18,58","66,00","2,00","0,00","0,00","23,00","45,79","24,32","12,39","0,00","9,71","4,61","17,31","17,92","17,37","61,57","1,86","24,32",Marginal
Alentejo,Cartaxo,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,39","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Castelo de Vide,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,39","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Castro Verde,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,59","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Chamusca,"366,00","71,00","31,00","264,00","46,00","12,57","4,00","33,00","7,00","9,00","0,00","37,66","17,46","7,49","0,08","9,12","3,34","11,20","12,07","11,20","70,17","4,44","17,46",Marginal
Alentejo,Coruche,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,37","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Crato,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,40","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Cuba,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Elvas,"366,00","95,00","27,00","244,00","68,00","18,58","66,00","2,00","0,00","0,00","23,00","45,79","24,32","12,39","0,00","9,71","4,61","17,31","17,92","17,37","61,57","1,86","24,32",Marginal
Alentejo,Estremoz,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,28","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Evora,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,28","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Ferreira do Alentejo,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Fronteira,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,36","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Gaviao,"366,00","132,00","70,00","164,00","5,00","1,37","1,00","0,00","4,00","0,00","0,00","57,77","22,28","14,13","0,00","10,05","4,57","17,58","18,11","17,43","69,22","2,33","22,28",Aceitável
Alentejo,Golega,"366,00","125,00","38,00","203,00","27,00","7,38","22,00","0,00","5,00","0,00","1,00","51,34","22,90","11,72","0,00","9,23","4,22","16,06","16,61","16,01","71,96","2,86","22,90",Aceitável
Alentejo,Grandola,"366,00","169,00","32,00","165,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","61,50","18,80","14,73","0,00","9,87","4,26","16,21","16,83","16,20","76,28","2,09","18,80",Bom
Alentejo,Marvao,"366,00","166,00","17,00","183,00","8,00","2,19","2,00","0,00","6,00","0,00","0,00","56,75","20,99","11,56","0,00","9,26","4,00","15,18","15,89","15,17","75,65","3,37","20,99",Aceitável
Alentejo,Mertola,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Monforte,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,35","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Montemor-o-Novo,"366,00","106,00","33,00","227,00","36,00","9,84","36,00","0,00","0,00","0,00","4,00","47,09","23,35","11,47","0,00","9,28","4,23","16,16","16,82","16,15","69,18","2,34","23,35",Marginal
Alentejo,Mora,"366,00","79,00","33,00","254,00","41,00","11,20","11,00","30,00","0,00","0,00","0,00","41,92","19,49","8,87","0,00","9,45","3,66","12,87","13,71","12,92","65,54","2,00","19,49",Marginal
Alentejo,Moura,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Mourao,"366,00","138,00","17,00","211,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","53,21","18,30","13,08","0,00","8,99","3,93","15,00","15,75","14,97","77,14","4,01","18,30",Aceitável
Alentejo,Nisa,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,41","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Odemira,"366,00","106,00","58,00","202,00","13,00","3,55","10,00","0,00","3,00","0,00","3,00","50,15","21,22","12,38","0,00","9,88","4,19","15,79","16,40","15,73","70,44","2,53","21,22",Aceitável
Alentejo,Ourique,"366,00","106,00","58,00","202,00","13,00","3,55","10,00","0,00","3,00","0,00","3,00","50,13","21,22","12,38","0,00","9,88","4,19","15,79","16,40","15,73","70,44","2,53","21,22",Aceitável
Alentejo,Ponte de Sor,"366,00","109,00","34,00","223,00","34,00","9,29","32,00","1,00","1,00","0,00","2,00","47,70","23,24","11,44","0,00","9,20","4,20","16,06","16,61","16,04","69,93","2,77","23,24",Marginal
Alentejo,Portalegre,"366,00","70,00","35,00","261,00","30,00","8,20","30,00","0,00","0,00","0,00","6,00","41,01","21,24","11,75","0,00","9,36","4,18","15,50","16,09","15,55","66,71","2,15","21,24",Marginal
Alentejo,Portel,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,28","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Redondo,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Reguengos de Monsaraz,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Rio Maior,"366,00","178,00","15,00","173,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","59,47","19,51","12,98","0,00","9,21","3,95","15,20","16,08","15,19","77,99","2,80","19,51",Aceitável
Alentejo,Salvaterra de Magos,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,59","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Alentejo,Santarem,"366,00","128,00","39,00","199,00","24,00","6,56","22,00","1,00","1,00","0,00","1,00","52,68","22,91","12,00","0,00","9,39","4,27","16,24","16,83","16,20","71,00","2,44","22,91",Aceitável
Alentejo,Santiago do Cacem,"366,00","169,00","32,00","165,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","61,50","18,80","14,73","0,00","9,88","4,26","16,21","16,83","16,20","76,28","2,09","18,80",Bom
Alentejo,Serpa,"366,00","99,00","37,00","230,00","47,00","12,84","46,00","0,00","1,00","0,00","8,00","47,32","23,85","12,76","0,00","9,58","4,51","17,17","17,77","17,17","65,46","2,01","23,85",Marginal
Alentejo,Sines,"366,00","169,00","32,00","165,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","61,50","18,80","14,73","0,00","9,88","4,26","16,21","16,83","16,20","76,28","2,09","18,80",Bom
Alentejo,Sousel,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,28","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Vendas Novas,"366,00","106,00","33,00","227,00","36,00","9,84","36,00","0,00","0,00","0,00","4,00","47,09","23,35","11,47","0,00","9,30","4,23","16,16","16,82","16,15","69,18","2,34","23,35",Marginal
Alentejo,Viana do Alentejo,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,28","23,20","11,76","0,00","9,34","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Alentejo,Vidigueira,"366,00","143,00","33,00","190,00","16,00","4,37","1,00","0,00","15,00","0,00","0,00","53,83","20,72","11,63","0,00","9,14","4,02","15,29","15,80","15,26","71,65","4,98","20,72",Aceitável
Alentejo,Vila Vicosa,"366,00","93,00","34,00","239,00","43,00","11,75","43,00","0,00","0,00","0,00","5,00","45,26","23,20","11,76","0,00","9,35","4,31","16,20","16,92","16,21","67,31","2,19","23,20",Marginal
Algarve,Albufeira,"366,00","158,00","57,00","151,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","61,66","21,76","14,66","0,00","10,02","4,61","17,82","18,37","17,61","70,03","2,27","21,76",Bom
Algarve,Alcoutim,"366,00","148,00","61,00","157,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","60,66","22,10","14,79","0,00","10,19","4,69","18,27","18,79","18,01","67,59","2,07","22,10",Bom
Algarve,Aljezur,"366,00","106,00","58,00","202,00","13,00","3,55","10,00","0,00","3,00","0,00","3,00","50,15","21,22","12,38","0,00","9,89","4,19","15,79","16,40","15,73","70,44","2,53","21,22",Aceitável
Algarve,Castro Marim,"366,00","148,00","61,00","157,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","60,71","22,10","14,79","0,00","10,19","4,69","18,27","18,79","18,01","67,59","2,07","22,10",Bom
Algarve,Faro,"366,00","179,00","32,00","155,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","64,66","21,07","15,67","0,00","10,08","4,69","18,33","18,84","18,02","70,27","2,13","21,07",Bom
Algarve,Lagoa,"366,00","142,00","12,00","212,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","54,30","18,93","16,60","0,00","6,80","4,11","17,65","18,31","17,28","78,50","4,53","18,93",Aceitável
Algarve,Lagos,"366,00","183,00","31,00","152,00","1,00","0,27","0,00","0,00","1,00","0,00","0,00","64,87","20,67","14,74","0,00","9,83","4,47","17,10","17,75","17,02","73,70","1,95","20,67",Bom
Algarve,Loule,"366,00","119,00","61,00","186,00","8,00","2,19","2,00","0,00","6,00","0,00","1,00","54,57","22,10","14,14","0,00","10,08","4,57","17,53","18,11","17,35","68,39","2,81","22,10",Aceitável
Algarve,Monchique,"366,00","106,00","58,00","202,00","13,00","3,55","10,00","0,00","3,00","0,00","3,00","50,15","21,22","12,38","0,00","9,89","4,19","15,79","16,40","15,73","70,44","2,53","21,22",Aceitável
Algarve,Olhao,"366,00","173,00","36,00","157,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","63,97","21,25","15,58","0,00","10,06","4,69","18,36","18,89","18,05","69,73","2,00","21,25",Bom
Algarve,Portimao,"366,00","161,00","51,00","154,00","4,00","1,09","0,00","0,00","4,00","0,00","0,00","61,57","21,81","14,30","0,00","9,89","4,49","17,44","18,00","17,28","72,10","2,20","21,81",Bom
Algarve,Sao Bras de Alportel,"366,00","113,00","65,00","188,00","8,00","2,19","2,00","0,00","6,00","0,00","0,00","53,71","21,88","14,04","0,00","10,20","4,55","17,37","17,96","17,20","67,99","2,82","21,88",Aceitável
Algarve,Silves,"366,00","145,00","51,00","170,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","59,03","21,69","14,29","0,00","10,08","4,50","17,42","17,98","17,24","70,93","2,15","21,69",Aceitável
Algarve,Tavira,"366,00","148,00","61,00","157,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","60,71","22,10","14,79","0,00","10,19","4,69","18,27","18,79","18,01","67,59","2,07","22,10",Bom
Algarve,Vila Real de Santo Antonio,"366,00","148,00","61,00","157,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","60,66","22,10","14,79","0,00","10,19","4,69","18,27","18,79","18,01","67,59","2,07","22,10",Bom
Algarve,Vila do Bispo,"366,00","122,00","21,00","223,00","1,00","0,27","0,00","0,00","1,00","0,00","0,00","55,41","18,17","16,24","0,00","10,08","4,37","16,95","17,30","16,94","78,70","1,60","18,17",Aceitável
Brasil,sao paulo,"366,00","199,00","93,00","74,00","14,00","3,83","9,00","0,00","5,00","0,00","0,00","71,75","28,34","17,15","0,00","9,19","5,32","22,33","22,56","21,99","64,68","3,67","28,34",Muito Bom
Centro,Abrantes,"366,00","109,00","34,00","223,00","34,00","9,29","32,00","1,00","1,00","0,00","2,00","47,70","23,24","11,44","0,00","9,22","4,20","16,06","16,61","16,04","69,93","2,77","23,24",Marginal
Centro,Agueda,"366,00","157,00","26,00","183,00","14,00","3,83","6,00","1,00","7,00","0,00","0,00","55,57","21,64","11,26","0,00","9,26","4,04","15,41","15,96","15,39","73,69","3,76","21,64",Aceitável
Centro,Aguiar da Beira,"366,00","93,00","32,00","241,00","21,00","5,74","14,00","1,00","6,00","0,00","0,00","43,06","20,54","9,92","0,00","9,19","3,87","14,03","14,64","14,03","71,06","3,29","20,54",Marginal
Centro,Albergaria-a-Velha,"366,00","179,00","18,00","169,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","59,17","19,39","12,42","0,00","9,17","3,94","14,97","15,73","14,95","76,39","3,93","19,39",Aceitável
Centro,Alcanena,"366,00","125,00","38,00","203,00","27,00","7,38","22,00","0,00","5,00","0,00","1,00","51,36","22,90","11,72","0,00","9,23","4,22","16,06","16,61","16,01","71,96","2,86","22,90",Aceitável
Centro,Alcobaca,"366,00","169,00","16,00","181,00","1,00","0,27","1,00","0,00","0,00","0,00","0,00","57,64","19,52","12,70","0,00","9,02","3,87","15,11","15,90","15,09","77,56","2,82","19,52",Aceitável
Centro,Alenquer,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,60","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Centro,Almeida,"366,00","76,00","32,00","258,00","36,00","9,84","5,00","29,00","2,00","0,00","0,00","39,04","18,09","8,24","0,00","9,13","3,46","11,64","12,73","11,67","70,34","2,37","18,09",Marginal
Centro,Alvaiazere,"366,00","149,00","26,00","191,00","8,00","2,19","5,00","0,00","3,00","0,00","0,00","54,29","21,60","11,04","0,00","9,17","3,91","15,18","15,79","15,17","75,24","3,01","21,60",Aceitável
Centro,Anadia,"366,00","157,00","26,00","183,00","14,00","3,83","6,00","1,00","7,00","0,00","0,00","55,57","21,64","11,26","0,00","9,25","4,04","15,41","15,96","15,39","73,69","3,76","21,64",Aceitável
Centro,Ansiao,"366,00","109,00","34,00","223,00","34,00","9,29","32,00","1,00","1,00","0,00","2,00","47,70","23,24","11,44","0,00","9,21","4,20","16,06","16,61","16,04","69,93","2,77","23,24",Marginal
Centro,Arganil,"366,00","133,00","39,00","194,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","51,79","21,96","10,96","0,00","9,20","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Centro,Arruda dos Vinhos,"366,00","146,00","37,00","183,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","56,76","21,87","12,71","0,00","9,61","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Aceitável
Centro,Aveiro,"366,00","179,00","18,00","169,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","59,17","19,39","12,42","0,00","9,17","3,94","14,97","15,73","14,95","76,39","3,93","19,39",Aceitável
Centro,Batalha,"366,00","168,00","23,00","175,00","2,00","0,55","1,00","0,00","1,00","0,00","0,00","57,05","20,54","11,84","0,00","8,97","3,89","15,09","15,86","15,08","77,25","2,76","20,54",Aceitável
Centro,Belmonte,"366,00","176,00","35,00","155,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","64,16","21,22","15,56","0,00","10,08","4,67","18,35","18,89","18,04","69,80","2,00","21,22",Bom
Centro,Bombarral,"366,00","178,00","15,00","173,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","59,47","19,51","12,98","0,00","9,22","3,95","15,20","16,08","15,19","77,99","2,80","19,51",Aceitável
Centro,Cadaval,"366,00","178,00","15,00","173,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","59,47","19,51","12,98","0,00","9,22","3,95","15,20","16,08","15,19","77,99","2,80","19,51",Aceitável
Centro,Caldas da Rainha,"366,00","178,00","15,00","173,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","59,47","19,51","12,98","0,00","9,22","3,95","15,20","16,08","15,19","77,99","2,80","19,51",Aceitável
Centro,Cantanhede,"366,00","166,00","17,00","183,00","8,00","2,19","2,00","0,00","6,00","0,00","0,00","56,75","20,99","11,56","0,00","9,26","4,00","15,18","15,89","15,17","75,65","3,37","20,99",Aceitável
Centro,Carregal do Sal,"366,00","93,00","32,00","241,00","21,00","5,74","14,00","1,00","6,00","0,00","0,00","43,06","20,54","9,92","0,00","9,14","3,87","14,03","14,64","14,03","71,06","3,29","20,54",Marginal
Centro,Castanheira de Pera,"366,00","133,00","39,00","194,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","51,79","21,96","10,96","0,00","9,20","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Centro,Castelo Branco,"366,00","83,00","32,00","251,00","50,00","13,66","45,00","3,00","2,00","0,00","4,00","42,58","22,42","11,19","0,00","9,46","4,22","15,78","16,31","15,82","65,43","2,79","22,42",Marginal
Centro,Castro Daire,"366,00","93,00","32,00","241,00","21,00","5,74","14,00","1,00","6,00","0,00","0,00","43,06","20,54","9,92","0,00","9,17","3,87","14,03","14,64","14,03","71,06","3,29","20,54",Marginal
Centro,Celorico da Beira,"366,00","76,00","32,00","258,00","36,00","9,84","5,00","29,00","2,00","0,00","0,00","39,02","18,09","8,24","0,00","9,15","3,46","11,64","12,73","11,67","70,34","2,37","18,09",Marginal
Centro,Coimbra,"366,00","133,00","39,00","194,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","51,79","21,96","10,96","0,00","9,21","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Centro,Condeixa-a-Nova,"366,00","133,00","39,00","194,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","51,79","21,96","10,96","0,00","9,20","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Centro,Constancia,"366,00","109,00","34,00","223,00","34,00","9,29","32,00","1,00","1,00","0,00","2,00","47,70","23,24","11,44","0,00","9,23","4,20","16,06","16,61","16,04","69,93","2,77","23,24",Marginal
Centro,Covilha,"366,00","75,00","26,00","265,00","44,00","12,02","24,00","11,00","9,00","0,00","1,00","39,81","20,53","9,21","0,00","9,09","3,83","13,71","14,33","13,74","67,95","3,63","20,53",Marginal
Centro,Entroncamento,"366,00","125,00","38,00","203,00","27,00","7,38","22,00","0,00","5,00","0,00","1,00","51,34","22,90","11,72","0,00","9,23","4,22","16,06","16,61","16,01","71,96","2,86","22,90",Aceitável
Centro,Estarreja,"366,00","143,00","33,00","190,00","16,00","4,37","1,00","0,00","15,00","0,00","0,00","53,83","20,72","11,63","0,00","9,14","4,02","15,29","15,80","15,26","71,65","4,98","20,72",Aceitável
Centro,Ferreira do Zezere,"366,00","123,00","31,00","212,00","24,00","6,56","20,00","0,00","4,00","0,00","1,00","50,66","22,62","11,80","0,00","9,26","4,20","15,99","16,56","15,93","71,81","2,68","22,62",Aceitável
Centro,Figueira da Foz,"366,00","168,00","18,00","180,00","4,00","1,09","0,00","0,00","4,00","0,00","0,00","57,56","18,99","13,07","0,00","9,30","3,96","15,13","15,98","15,12","78,13","3,37","18,99",Aceitável
Centro,Figueira de Castelo Rodrigo,"366,00","76,00","32,00","258,00","36,00","9,84","5,00","29,00","2,00","0,00","0,00","39,04","18,09","8,24","0,00","9,14","3,46","11,64","12,73","11,67","70,34","2,37","18,09",Marginal
Centro,Figueiro dos Vinhos,"366,00","149,00","26,00","191,00","8,00","2,19","5,00","0,00","3,00","0,00","0,00","54,29","21,60","11,04","0,00","9,16","3,91","15,18","15,79","15,17","75,24","3,01","21,60",Aceitável
Centro,Fornos de Algodres,"366,00","71,00","31,00","264,00","46,00","12,57","4,00","33,00","7,00","9,00","0,00","37,66","17,46","7,49","0,08","9,16","3,34","11,20","12,07","11,20","70,17","4,44","17,46",Marginal
Centro,Fundao,"366,00","75,00","26,00","265,00","44,00","12,02","24,00","11,00","9,00","0,00","1,00","39,81","20,53","9,21","0,00","9,08","3,83","13,71","14,33","13,74","67,95","3,63","20,53",Marginal
Centro,Gois,"366,00","133,00","39,00","194,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","51,79","21,96","10,96","0,00","9,20","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Centro,Gouveia,"366,00","71,00","31,00","264,00","46,00","12,57","4,00","33,00","7,00","9,00","0,00","37,66","17,46","7,49","0,08","9,13","3,34","11,20","12,07","11,20","70,17","4,44","17,46",Marginal
Centro,Guarda,"366,00","76,00","32,00","258,00","36,00","9,84","5,00","29,00","2,00","0,00","0,00","39,02","18,09","8,24","0,00","9,14","3,46","11,64","12,73","11,67","70,34","2,37","18,09",Marginal
Centro,Idanha-a-Nova,"366,00","83,00","32,00","251,00","50,00","13,66","45,00","3,00","2,00","0,00","4,00","42,58","22,42","11,19","0,00","9,45","4,22","15,78","16,31","15,82","65,43","2,79","22,42",Marginal
Centro,Ilhavo,"366,00","179,00","18,00","169,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","59,17","19,39","12,42","0,00","9,17","3,94","14,97","15,73","14,95","76,39","3,93","19,39",Aceitável
Centro,Leiria,"366,00","168,00","23,00","175,00","2,00","0,55","1,00","0,00","1,00","0,00","0,00","57,05","20,54","11,84","0,00","8,97","3,89","15,09","15,86","15,08","77,25","2,76","20,54",Aceitável
Centro,Lourinha,"366,00","180,00","14,00","172,00","4,00","1,09","2,00","0,00","2,00","0,00","0,00","59,88","20,78","12,49","0,00","9,31","3,97","15,44","16,30","15,43","76,89","2,74","20,78",Aceitável
Centro,Lousa,"366,00","133,00","39,00","194,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","51,79","21,96","10,96","0,00","9,20","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Centro,Macao,"366,00","109,00","34,00","223,00","34,00","9,29","32,00","1,00","1,00","0,00","2,00","47,70","23,24","11,44","0,00","9,21","4,20","16,06","16,61","16,04","69,93","2,77","23,24",Marginal
Centro,Mangualde,"366,00","93,00","32,00","241,00","21,00","5,74","14,00","1,00","6,00","0,00","0,00","43,06","20,54","9,92","0,00","9,14","3,87","14,03","14,64","14,03","71,06","3,29","20,54",Marginal
Centro,Manteigas,"366,00","71,00","31,00","264,00","46,00","12,57","4,00","33,00","7,00","9,00","0,00","37,66","17,46","7,49","0,08","9,12","3,34","11,20","12,07","11,20","70,17","4,44","17,46",Marginal
Centro,Marinha Grande,"366,00","168,00","23,00","175,00","2,00","0,55","1,00","0,00","1,00","0,00","0,00","57,05","20,54","11,84","0,00","8,97","3,89","15,09","15,86","15,08","77,25","2,76","20,54",Aceitável
Centro,Mealhada,"366,00","166,00","17,00","183,00","8,00","2,19","2,00","0,00","6,00","0,00","0,00","56,75","20,99","11,56","0,00","9,26","4,00","15,18","15,89","15,17","75,65","3,37","20,99",Aceitável
