location,maxtempC,mintempC,FeelsLikeC,humidity,precipMM,sunHour,uvIndex,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,score,classificacao,amplitude_termica,tci,tci_mensal,melhor_estacao,melhor_estacao_score,Inverno_maxtempC,Inverno_mintempC,Inverno_FeelsLikeC,Inverno_humidity,Inverno_precipMM,Inverno_sunHour,Inverno_uvIndex,Inverno_calor_extremo,Inverno_frio_extremo,Inverno_chuva_extrema,Inverno_neve,Inverno_uv_extremo,Inverno_score,Inverno_classificacao,Inverno_amplitude_termica,Inverno_tci,Inverno_tci_mensal,Primavera_maxtempC,Primavera_mintempC,Primavera_FeelsLikeC,Primavera_humidity,Primavera_precipMM,Primavera_sunHour,Primavera_uvIndex,Primavera_calor_extremo,Primavera_frio_extremo,Primavera_chuva_extrema,Primavera_neve,Primavera_uv_extremo,Primavera_score,Primavera_classificacao,Primavera_amplitude_termica,Primavera_tci,Primavera_tci_mensal,Verão_maxtempC,Verão_mintempC,Verão_FeelsLikeC,Verão_humidity,Verão_precipMM,Verão_sunHour,Verão_uvIndex,Verão_calor_extremo,Verão_frio_extremo,Verão_chuva_extrema,Verão_neve,Verão_uv_extremo,Verão_score,Verão_classificacao,Verão_amplitude_termica,Verão_tci,Verão_tci_mensal,Outono_maxtempC,Outono_mintempC,Outono_FeelsLikeC,Outono_humidity,Outono_precipMM,Outono_sunHour,Outono_uvIndex,Outono_calor_extremo,Outono_frio_extremo,Outono_chuva_extrema,Outono_neve,Outono_uv_extremo,Outono_score,Outono_classificacao,Outono_amplitude_termica,Outono_tci,Outono_tci_mensal
Soure,"21,59","11,01","15,19","75,29","2,15","9,32","3,90","5,00","0,00","11,00","0,00","0,00","65,44",Bom,"34,00","46,77","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  52.5
5   2024   11  45.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  43.0
10  2025    4  41.5
11  2025    5  57.5
12  2025    6  48.0",Verão,"84,28","15,60","6,91","9,59","77,28","2,25","7,15","2,91","0,00","0,00","5,00","0,00","0,00","47,28",Marginal,"20,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","19,84","9,52","13,66","77,92","3,60","8,60","3,57","0,00","0,00","5,00","0,00","0,00","62,68",Bom,"28,00","47,33","    ano  mes   tci
0  2025    3  43.0
1  2025    4  41.5
2  2025    5  57.5","28,11","14,40","20,46","71,29","0,34","13,34","4,98","4,00","0,00","0,00","0,00","0,00","84,28",Excelente,"25,00","50,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","22,51","13,01","16,78","74,81","2,46","8,09","4,10","1,00","0,00","1,00","0,00","0,00","77,57",Muito Bom,"26,00","52,00","    ano  mes   tci
0  2024    9  58.5
1  2024   10  52.5
2  2024   11  45.0"
Alvaiazere,"21,59","11,01","15,19","75,29","2,15","9,31","3,90","5,00","0,00","11,00","0,00","0,00","65,44",Bom,"34,00","46,85","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  52.5
5   2024   11  45.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  44.0
10  2025    4  41.5
11  2025    5  57.5
12  2025    6  48.0",Verão,"84,28","15,60","6,91","9,59","77,28","2,25","7,15","2,91","0,00","0,00","5,00","0,00","0,00","47,28",Marginal,"20,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","19,84","9,52","13,66","77,92","3,60","8,61","3,57","0,00","0,00","5,00","0,00","0,00","62,68",Bom,"28,00","47,67","    ano  mes   tci
0  2025    3  44.0
1  2025    4  41.5
2  2025    5  57.5","28,11","14,40","20,46","71,29","0,34","13,28","4,98","4,00","0,00","0,00","0,00","0,00","84,28",Excelente,"25,00","50,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","22,51","13,01","16,78","74,81","2,46","8,10","4,10","1,00","0,00","1,00","0,00","0,00","77,57",Muito Bom,"26,00","52,00","    ano  mes   tci
0  2024    9  58.5
1  2024   10  52.5
2  2024   11  45.0"
Alvito,"21,59","11,01","15,19","75,29","2,15","9,32","3,90","5,00","0,00","11,00","0,00","0,00","65,44",Bom,"34,00","46,77","     ano  mes   tci
0   2024    6  58.5
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  52.5
5   2024   11  45.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  43.0
10  2025    4  41.5
11  2025    5  57.5
12  2025    6  48.0",Verão,"84,28","15,60","6,91","9,59","77,28","2,25","7,15","2,91","0,00","0,00","5,00","0,00","0,00","47,28",Marginal,"20,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","19,84","9,52","13,66","77,92","3,60","8,60","3,57","0,00","0,00","5,00","0,00","0,00","62,68",Bom,"28,00","47,33","    ano  mes   tci
0  2025    3  43.0
1  2025    4  41.5
2  2025    5  57.5","28,11","14,40","20,46","71,29","0,34","13,34","4,98","4,00","0,00","0,00","0,00","0,00","84,28",Excelente,"25,00","50,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","22,51","13,01","16,78","74,81","2,46","8,09","4,10","1,00","0,00","1,00","0,00","0,00","77,57",Muito Bom,"26,00","52,00","    ano  mes   tci
0  2024    9  58.5
1  2024   10  52.5
2  2024   11  45.0"
Funchal,"17,84","11,48","13,83","77,32","2,26","8,85","3,59","0,00","0,00","15,00","0,00","0,00","65,32",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,94","2,76","0,00","0,00","6,00","0,00","0,00","48,32",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,14","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,30","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Camara de Lobos,"17,84","11,48","13,83","77,32","2,26","8,83","3,59","0,00","0,00","15,00","0,00","0,00","65,32",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,95","2,76","0,00","0,00","6,00","0,00","0,00","48,32",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,13","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,24","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Santana,"17,84","11,48","13,83","77,32","2,26","8,86","3,59","0,00","0,00","15,00","0,00","0,00","65,32",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,94","2,76","0,00","0,00","6,00","0,00","0,00","48,32",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,14","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,37","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Calheta [R.A.A.],"17,84","11,48","13,83","77,32","2,26","8,82","3,59","0,00","0,00","15,00","0,00","0,00","65,26",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,90","2,76","0,00","0,00","6,00","0,00","0,00","48,09",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,14","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,25","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Calheta [R.A.M.],"17,84","11,48","13,83","77,32","2,26","8,82","3,59","0,00","0,00","15,00","0,00","0,00","65,26",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,90","2,76","0,00","0,00","6,00","0,00","0,00","48,09",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,14","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,25","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Ribeira Brava,"17,84","11,48","13,83","77,32","2,26","8,83","3,59","0,00","0,00","15,00","0,00","0,00","65,26",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,93","2,76","0,00","0,00","6,00","0,00","0,00","48,09",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,13","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,25","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Porto Moniz,"17,84","11,48","13,83","77,32","2,26","8,83","3,59","0,00","0,00","15,00","0,00","0,00","65,26",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,90","2,76","0,00","0,00","6,00","0,00","0,00","48,09",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,14","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,26","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Ponta do Sol,"17,84","11,48","13,83","77,32","2,26","8,83","3,59","0,00","0,00","15,00","0,00","0,00","65,26",Bom,"26,00","45,85","     ano  mes   tci
0   2024    6  60.0
1   2024    7  60.0
2   2024    8  60.0
3   2024    9  57.0
4   2024   10  43.0
5   2024   11  45.0
6   2024   12  34.0
7   2025    1  37.0
8   2025    2  36.0
9   2025    3  24.5
10  2025    4  35.0
11  2025    5  44.5
12  2025    6  60.0",Verão,"94,97","13,90","8,17","9,82","78,17","2,53","6,93","2,76","0,00","0,00","6,00","0,00","0,00","48,09",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  34.0
1  2025    1  37.0
2  2025    2  36.0","14,49","8,22","10,13","78,15","4,20","8,13","2,87","0,00","0,00","5,00","0,00","0,00","55,37",Aceitável,"22,00","34,67","    ano  mes   tci
0  2025    3  24.5
1  2025    4  35.0
2  2025    5  44.5","23,38","15,81","19,28","75,76","0,20","12,25","4,83","0,00","0,00","0,00","0,00","0,00","94,97",Excelente,"18,00","60,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  60.0
2  2024    8  60.0
3  2025    6  60.0","19,06","13,31","15,56","77,34","2,24","7,70","3,79","0,00","0,00","4,00","0,00","0,00","69,13",Bom,"17,00","48,33","    ano  mes   tci
0  2024    9  57.0
1  2024   10  43.0
2  2024   11  45.0"
Oliveira do Bairro,"21,72","11,20","15,44","73,20","2,01","9,55","4,06","6,00","0,00","23,00","0,00","0,00","64,67",Bom,"35,00","49,73","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  60.0
4   2024   10  54.0
5   2024   11  57.0
6   2024   12  40.0
7   2025    1  34.0
8   2025    2  42.0
9   2025    3  43.0
10  2025    4  55.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"84,27","15,66","7,02","9,82","75,95","2,51","7,37","2,98","0,00","0,00","8,00","0,00","0,00","47,96",Marginal,"21,00","38,67","    ano  mes   tci
0  2024   12  40.0
1  2025    1  34.0
2  2025    2  42.0","20,12","9,69","13,95","76,04","3,32","8,71","3,68","0,00","0,00","8,00","0,00","0,00","64,21",Bom,"30,00","51,83","    ano  mes   tci
0  2025    3  43.0
1  2025    4  55.0
2  2025    5  57.5","27,89","14,56","20,62","68,51","0,31","13,38","5,24","6,00","0,00","0,00","0,00","0,00","84,27",Excelente,"26,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","22,85","13,29","17,05","72,55","1,98","8,55","4,29","0,00","0,00","7,00","0,00","0,00","80,41",Excelente,"27,00","57,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  54.0
2  2024   11  57.0"
Anadia,"21,72","11,20","15,44","73,20","2,01","9,55","4,06","6,00","0,00","23,00","0,00","0,00","64,67",Bom,"35,00","49,73","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  60.0
4   2024   10  54.0
5   2024   11  57.0
6   2024   12  40.0
7   2025    1  34.0
8   2025    2  42.0
9   2025    3  43.0
10  2025    4  55.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"84,27","15,66","7,02","9,82","75,95","2,51","7,37","2,98","0,00","0,00","8,00","0,00","0,00","47,96",Marginal,"21,00","38,67","    ano  mes   tci
0  2024   12  40.0
1  2025    1  34.0
2  2025    2  42.0","20,12","9,69","13,95","76,04","3,32","8,71","3,68","0,00","0,00","8,00","0,00","0,00","64,21",Bom,"30,00","51,83","    ano  mes   tci
0  2025    3  43.0
1  2025    4  55.0
2  2025    5  57.5","27,89","14,56","20,62","68,51","0,31","13,37","5,24","6,00","0,00","0,00","0,00","0,00","84,27",Excelente,"26,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","22,85","13,29","17,05","72,55","1,98","8,55","4,29","0,00","0,00","7,00","0,00","0,00","80,41",Excelente,"27,00","57,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  54.0
2  2024   11  57.0"
Agueda,"21,72","11,20","15,44","73,20","2,01","9,55","4,06","6,00","0,00","23,00","0,00","0,00","64,67",Bom,"35,00","49,73","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  60.0
4   2024   10  54.0
5   2024   11  57.0
6   2024   12  40.0
7   2025    1  34.0
8   2025    2  42.0
9   2025    3  43.0
10  2025    4  55.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"84,27","15,66","7,02","9,82","75,95","2,51","7,37","2,98","0,00","0,00","8,00","0,00","0,00","47,96",Marginal,"21,00","38,67","    ano  mes   tci
0  2024   12  40.0
1  2025    1  34.0
2  2025    2  42.0","20,12","9,69","13,95","76,04","3,32","8,71","3,68","0,00","0,00","8,00","0,00","0,00","64,21",Bom,"30,00","51,83","    ano  mes   tci
0  2025    3  43.0
1  2025    4  55.0
2  2025    5  57.5","27,89","14,56","20,62","68,51","0,31","13,39","5,24","6,00","0,00","0,00","0,00","0,00","84,27",Excelente,"26,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","22,85","13,29","17,05","72,55","1,98","8,54","4,29","0,00","0,00","7,00","0,00","0,00","80,41",Excelente,"27,00","57,00","    ano  mes   tci
0  2024    9  60.0
1  2024   10  54.0
2  2024   11  57.0"
Oliveira de Azemeis,"21,17","11,71","15,59","70,31","1,94","9,69","4,09","1,00","0,00","31,00","0,00","0,00","64,42",Bom,"32,00","46,65","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  35.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"85,43","14,96","7,39","9,76","73,61","1,97","7,41","2,95","0,00","0,00","11,00","0,00","0,00","48,18",Marginal,"17,00","36,50","    ano  mes   tci
0  2024   12  38.5
1  2025    1  35.0
2  2025    2  36.0","19,38","9,80","13,71","72,96","3,09","9,01","3,60","0,00","0,00","10,00","0,00","0,00","63,41",Bom,"28,00","45,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  57.5","27,51","15,63","21,25","65,01","0,28","13,51","5,37","1,00","0,00","1,00","0,00","0,00","85,43",Excelente,"24,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","21,91","13,41","16,82","70,34","2,62","8,35","4,27","0,00","0,00","9,00","0,00","0,00","77,76",Muito Bom,"26,00","52,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  44.0"
Sao Vicente,"21,17","11,71","15,59","70,31","1,94","9,70","4,09","1,00","0,00","31,00","0,00","0,00","64,42",Bom,"32,00","46,65","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  35.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"85,43","14,96","7,39","9,76","73,61","1,97","7,41","2,95","0,00","0,00","11,00","0,00","0,00","48,18",Marginal,"17,00","36,50","    ano  mes   tci
0  2024   12  38.5
1  2025    1  35.0
2  2025    2  36.0","19,38","9,80","13,71","72,96","3,09","9,01","3,60","0,00","0,00","10,00","0,00","0,00","63,41",Bom,"28,00","45,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  57.5","27,51","15,63","21,25","65,01","0,28","13,52","5,37","1,00","0,00","1,00","0,00","0,00","85,43",Excelente,"24,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","21,91","13,41","16,82","70,34","2,62","8,35","4,27","0,00","0,00","9,00","0,00","0,00","77,76",Muito Bom,"26,00","52,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  44.0"
Estarreja,"21,17","11,71","15,59","70,31","1,94","9,69","4,09","1,00","0,00","31,00","0,00","0,00","64,42",Bom,"32,00","46,65","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  35.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"85,43","14,96","7,39","9,76","73,61","1,97","7,41","2,95","0,00","0,00","11,00","0,00","0,00","48,18",Marginal,"17,00","36,50","    ano  mes   tci
0  2024   12  38.5
1  2025    1  35.0
2  2025    2  36.0","19,38","9,80","13,71","72,96","3,09","9,01","3,60","0,00","0,00","10,00","0,00","0,00","63,41",Bom,"28,00","45,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  57.5","27,51","15,63","21,25","65,01","0,28","13,49","5,37","1,00","0,00","1,00","0,00","0,00","85,43",Excelente,"24,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","21,91","13,41","16,82","70,34","2,62","8,35","4,27","0,00","0,00","9,00","0,00","0,00","77,76",Muito Bom,"26,00","52,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  44.0"
Vale de Cambra,"21,17","11,71","15,59","70,31","1,94","9,69","4,09","1,00","0,00","31,00","0,00","0,00","64,42",Bom,"32,00","46,65","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  35.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"85,43","14,96","7,39","9,76","73,61","1,97","7,41","2,95","0,00","0,00","11,00","0,00","0,00","48,18",Marginal,"17,00","36,50","    ano  mes   tci
0  2024   12  38.5
1  2025    1  35.0
2  2025    2  36.0","19,38","9,80","13,71","72,96","3,09","9,01","3,60","0,00","0,00","10,00","0,00","0,00","63,41",Bom,"28,00","45,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  57.5","27,51","15,63","21,25","65,01","0,28","13,51","5,37","1,00","0,00","1,00","0,00","0,00","85,43",Excelente,"24,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","21,91","13,41","16,82","70,34","2,62","8,33","4,27","0,00","0,00","9,00","0,00","0,00","77,76",Muito Bom,"26,00","52,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  44.0"
Vidigueira,"21,17","11,71","15,59","70,31","1,94","9,69","4,09","1,00","0,00","31,00","0,00","0,00","64,42",Bom,"32,00","46,65","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  35.0
8   2025    2  36.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"85,43","14,96","7,39","9,76","73,61","1,97","7,41","2,95","0,00","0,00","11,00","0,00","0,00","48,18",Marginal,"17,00","36,50","    ano  mes   tci
0  2024   12  38.5
1  2025    1  35.0
2  2025    2  36.0","19,38","9,80","13,71","72,96","3,09","9,01","3,60","0,00","0,00","10,00","0,00","0,00","63,41",Bom,"28,00","45,50","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  57.5","27,51","15,63","21,25","65,01","0,28","13,51","5,37","1,00","0,00","1,00","0,00","0,00","85,43",Excelente,"24,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","21,91","13,41","16,82","70,34","2,62","8,35","4,27","0,00","0,00","9,00","0,00","0,00","77,76",Muito Bom,"26,00","52,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  44.0"
