municipio,ano,mes,tci,tci_anual,tempC_media,humidity_media,maxtempC_media,humidity_max_media,precipMM_total,sunHour_media,windspeedKmph_media
"('Alentejo', 'Aljustrel')","2.025,00","1,00","32,50","40,88","15,19","78,52","15,19","78,52","146,80","6,26","13,29"
"('Alentejo', 'Aljustrel')","2.025,00","2,00","36,00","40,88","15,93","81,00","15,93","81,00","57,90","6,96","10,32"
"('Alentejo', 'Aljustrel')","2.025,00","3,00","32,50","40,88","15,68","85,19","15,68","85,19","232,30","5,81","14,68"
"('Alentejo', 'Aljustrel')","2.025,00","4,00","43,00","40,88","19,87","77,03","19,87","77,03","98,30","7,90","13,30"
"('Alentejo', 'Aljustrel')","2.025,00","5,00","60,00","40,88","25,55","61,42","25,55","61,42","15,70","11,65","12,87"
"('Alentejo', 'Aljustrel')","2.025,00","6,00","32,00","40,88","34,20","46,07","34,20","46,07","4,50","13,07","13,27"
"('Alentejo', 'Almeirim')","2.024,00","6,00","58,50","46,15","25,00","66,00","25,00","66,00","0,60","8,00","14,00"
"('Alentejo', 'Almeirim')","2.024,00","7,00","40,00","46,15","31,74","61,23","31,74","61,23","6,80","13,61","13,19"
"('Alentejo', 'Almeirim')","2.024,00","8,00","40,00","46,15","32,26","62,10","32,26","62,10","0,00","13,52","13,74"
"('Alentejo', 'Almeirim')","2.024,00","9,00","48,00","46,15","27,90","59,50","27,90","59,50","23,00","10,57","13,20"
"('Alentejo', 'Almeirim')","2.024,00","10,00","53,50","46,15","23,29","74,52","23,29","74,52","127,00","7,42","13,10"
"('Alentejo', 'Almeirim')","2.024,00","11,00","55,00","46,15","20,33","75,20","20,33","75,20","100,70","7,67","11,20"
"('Alentejo', 'Almeirim')","2.024,00","12,00","46,50","46,15","16,03","72,39","16,03","72,39","16,00","8,77","10,52"
"('Alentejo', 'Almeirim')","2.025,00","1,00","32,50","46,15","15,45","79,06","15,45","79,06","198,50","5,90","12,97"
"('Alentejo', 'Almeirim')","2.025,00","2,00","44,00","46,15","16,00","80,46","16,00","80,46","51,90","6,29","9,29"
"('Alentejo', 'Almeirim')","2.025,00","3,00","40,50","46,15","16,39","81,29","16,39","81,29","208,70","5,61","14,29"
"('Alentejo', 'Almeirim')","2.025,00","4,00","43,00","46,15","19,97","77,87","19,97","77,87","112,60","7,70","12,90"
"('Alentejo', 'Almeirim')","2.025,00","5,00","58,50","46,15","23,94","68,94","23,94","68,94","45,00","11,48","11,52"
"('Alentejo', 'Almeirim')","2.025,00","6,00","40,00","46,15","31,13","60,17","31,13","60,17","3,20","13,93","13,07"
"('Alentejo', 'Almodovar')","2.024,00","6,00","57,00","44,96","26,00","69,00","26,00","69,00","1,50","12,00","18,00"
"('Alentejo', 'Almodovar')","2.024,00","7,00","40,00","44,96","30,81","54,16","30,81","54,16","0,90","13,90","13,81"
"('Alentejo', 'Almodovar')","2.024,00","8,00","40,00","44,96","31,61","54,16","31,61","54,16","0,00","13,71","13,29"
"('Alentejo', 'Almodovar')","2.024,00","9,00","60,00","44,96","27,00","62,80","27,00","62,80","8,10","11,20","13,10"
"('Alentejo', 'Almodovar')","2.024,00","10,00","53,50","44,96","22,16","74,97","22,16","74,97","191,20","8,87","14,55"
"('Alentejo', 'Almodovar')","2.024,00","11,00","43,00","44,96","19,37","75,87","19,37","75,87","98,80","7,80","12,30"
"('Alentejo', 'Almodovar')","2.024,00","12,00","48,00","44,96","16,00","68,55","16,00","68,55","11,00","9,03","12,90"
"('Alentejo', 'Almodovar')","2.025,00","1,00","29,50","44,96","15,58","76,58","15,58","76,58","254,70","6,45","15,23"
"('Alentejo', 'Almodovar')","2.025,00","2,00","36,00","44,96","15,89","77,64","15,89","77,64","80,70","7,82","10,61"
"('Alentejo', 'Almodovar')","2.025,00","3,00","29,50","44,96","15,65","80,39","15,65","80,39","238,70","6,77","15,94"
"('Alentejo', 'Almodovar')","2.025,00","4,00","41,50","44,96","18,97","76,50","18,97","76,50","105,60","9,60","15,23"
"('Alentejo', 'Almodovar')","2.025,00","5,00","58,50","44,96","23,13","64,45","23,13","64,45","34,40","12,13","13,42"
"('Alentejo', 'Almodovar')","2.025,00","6,00","48,00","44,96","28,53","55,37","28,53","55,37","3,80","13,47","13,07"
"('Alentejo', 'Alpiarca')","2.024,00","6,00","58,50","46,15","25,00","66,00","25,00","66,00","0,60","8,00","14,00"
"('Alentejo', 'Alpiarca')","2.024,00","7,00","40,00","46,15","31,74","61,23","31,74","61,23","6,80","13,61","13,19"
"('Alentejo', 'Alpiarca')","2.024,00","8,00","40,00","46,15","32,26","62,10","32,26","62,10","0,00","13,52","13,74"
"('Alentejo', 'Alpiarca')","2.024,00","9,00","48,00","46,15","27,90","59,50","27,90","59,50","23,00","10,57","13,20"
"('Alentejo', 'Alpiarca')","2.024,00","10,00","53,50","46,15","23,29","74,52","23,29","74,52","127,00","7,42","13,10"
"('Alentejo', 'Alpiarca')","2.024,00","11,00","55,00","46,15","20,33","75,20","20,33","75,20","100,70","7,67","11,20"
"('Alentejo', 'Alpiarca')","2.024,00","12,00","46,50","46,15","16,03","72,39","16,03","72,39","16,00","8,77","10,52"
"('Alentejo', 'Alpiarca')","2.025,00","1,00","32,50","46,15","15,45","79,06","15,45","79,06","198,50","5,90","12,97"
"('Alentejo', 'Alpiarca')","2.025,00","2,00","44,00","46,15","16,00","80,46","16,00","80,46","51,90","6,29","9,29"
"('Alentejo', 'Alpiarca')","2.025,00","3,00","40,50","46,15","16,39","81,29","16,39","81,29","208,70","5,61","14,29"
"('Alentejo', 'Alpiarca')","2.025,00","4,00","43,00","46,15","19,97","77,87","19,97","77,87","112,60","7,70","12,90"
"('Alentejo', 'Alpiarca')","2.025,00","5,00","58,50","46,15","23,94","68,94","23,94","68,94","45,00","11,48","11,52"
"('Alentejo', 'Alpiarca')","2.025,00","6,00","40,00","46,15","31,13","60,17","31,13","60,17","3,20","13,90","13,07"
"('Alentejo', 'Alter do Chao')","2.024,00","6,00","60,00","41,46","24,00","63,00","24,00","63,00","0,70","13,00","12,00"
"('Alentejo', 'Alter do Chao')","2.024,00","7,00","32,00","41,46","33,26","43,23","33,26","43,23","2,00","13,61","9,42"
"('Alentejo', 'Alter do Chao')","2.024,00","8,00","32,00","41,46","34,26","40,87","34,26","40,87","0,30","13,90","8,71"
"('Alentejo', 'Alter do Chao')","2.024,00","9,00","60,00","41,46","26,80","49,97","26,80","49,97","17,00","10,63","9,47"
"('Alentejo', 'Alter do Chao')","2.024,00","10,00","52,50","41,46","20,06","75,13","20,06","75,13","144,90","6,90","11,71"
"('Alentejo', 'Alter do Chao')","2.024,00","11,00","45,00","41,46","17,13","77,73","17,13","77,73","58,00","7,70","9,30"
"('Alentejo', 'Alter do Chao')","2.024,00","12,00","32,00","41,46","12,90","73,90","12,90","73,90","11,40","9,13","7,48"
"('Alentejo', 'Alter do Chao')","2.025,00","1,00","24,50","41,46","11,97","81,13","11,97","81,13","171,90","5,81","11,23"
"('Alentejo', 'Alter do Chao')","2.025,00","2,00","36,00","41,46","13,07","82,89","13,07","82,89","40,20","6,86","7,29"
"('Alentejo', 'Alter do Chao')","2.025,00","3,00","23,50","41,46","12,77","85,97","12,77","85,97","160,20","4,87","12,19"
"('Alentejo', 'Alter do Chao')","2.025,00","4,00","43,00","41,46","17,30","80,17","17,30","80,17","109,80","8,03","10,47"
"('Alentejo', 'Alter do Chao')","2.025,00","5,00","58,50","41,46","22,58","64,90","22,58","64,90","54,90","11,29","8,26"
"('Alentejo', 'Alter do Chao')","2.025,00","6,00","40,00","41,46","32,20","45,90","32,20","45,90","14,70","13,60","7,77"
"('Alentejo', 'Alvito')","2.024,00","6,00","58,50","46,46","23,00","75,00","23,00","75,00","1,70","8,00","10,00"
"('Alentejo', 'Alvito')","2.024,00","7,00","48,00","46,46","28,00","70,61","28,00","70,61","20,50","13,23","11,00"
"('Alentejo', 'Alvito')","2.024,00","8,00","48,00","46,46","28,68","72,52","28,68","72,52","2,40","13,23","12,48"
"('Alentejo', 'Alvito')","2.024,00","9,00","58,50","46,46","26,13","66,20","26,13","66,20","30,70","9,90","10,87"
"('Alentejo', 'Alvito')","2.024,00","10,00","52,50","46,46","21,94","80,52","21,94","80,52","173,80","6,84","11,10"
"('Alentejo', 'Alvito')","2.024,00","11,00","45,00","46,46","19,87","76,07","19,87","76,07","55,00","7,67","11,80"
"('Alentejo', 'Alvito')","2.024,00","12,00","38,50","46,46","15,87","73,35","15,87","73,35","19,60","8,81","9,55"
"('Alentejo', 'Alvito')","2.025,00","1,00","32,50","46,46","14,97","79,84","14,97","79,84","269,30","5,81","12,94"
"('Alentejo', 'Alvito')","2.025,00","2,00","35,00","46,46","15,82","81,00","15,82","81,00","75,20","5,96","8,93"
"('Alentejo', 'Alvito')","2.025,00","3,00","40,50","46,46","16,00","81,55","16,00","81,55","206,10","6,13","12,58"
"('Alentejo', 'Alvito')","2.025,00","4,00","41,50","46,46","19,63","79,57","19,63","79,57","177,30","7,47","11,97"
"('Alentejo', 'Alvito')","2.025,00","5,00","57,50","46,46","22,81","74,58","22,81","74,58","64,30","11,06","9,81"
"('Alentejo', 'Alvito')","2.025,00","6,00","48,00","46,46","29,10","67,23","29,10","67,23","5,70","13,80","10,77"
"('Alentejo', 'Arraiolos')","2.024,00","6,00","60,00","42,73","24,00","63,00","24,00","63,00","1,90","10,00","14,00"
"('Alentejo', 'Arraiolos')","2.024,00","7,00","32,00","42,73","33,77","52,84","33,77","52,84","2,40","13,55","12,42"
"('Alentejo', 'Arraiolos')","2.024,00","8,00","32,00","42,73","34,48","53,55","34,48","53,55","0,10","13,84","13,42"
"('Alentejo', 'Arraiolos')","2.024,00","9,00","48,00","42,73","28,80","56,67","28,80","56,67","16,90","10,53","12,27"
"('Alentejo', 'Arraiolos')","2.024,00","10,00","55,00","42,73","22,77","74,06","22,77","74,06","116,50","7,13","13,13"
"('Alentejo', 'Arraiolos')","2.024,00","11,00","57,00","42,73","20,20","74,17","20,20","74,17","60,00","8,03","11,53"
"('Alentejo', 'Arraiolos')","2.024,00","12,00","38,50","42,73","15,97","71,13","15,97","71,13","6,80","8,52","10,58"
"('Alentejo', 'Arraiolos')","2.025,00","1,00","32,50","42,73","15,19","79,55","15,19","79,55","177,30","5,68","13,23"
"('Alentejo', 'Arraiolos')","2.025,00","2,00","36,00","42,73","15,89","82,14","15,89","82,14","45,20","6,61","9,18"
"('Alentejo', 'Arraiolos')","2.025,00","3,00","32,50","42,73","15,42","85,87","15,42","85,87","256,60","5,13","14,26"
"('Alentejo', 'Arraiolos')","2.025,00","4,00","41,50","42,73","19,40","80,20","19,40","80,20","126,30","7,50","12,13"
"('Alentejo', 'Arraiolos')","2.025,00","5,00","58,50","42,73","24,42","67,68","24,42","67,68","43,90","11,16","11,19"
"('Alentejo', 'Arraiolos')","2.025,00","6,00","32,00","42,73","33,40","53,37","33,40","53,37","2,00","13,20","11,93"
"('Alentejo', 'Arronches')","2.024,00","6,00","60,00","41,46","24,00","63,00","24,00","63,00","0,70","12,00","12,00"
"('Alentejo', 'Arronches')","2.024,00","7,00","32,00","41,46","33,26","43,23","33,26","43,23","2,00","13,52","9,42"
"('Alentejo', 'Arronches')","2.024,00","8,00","32,00","41,46","34,26","40,87","34,26","40,87","0,30","13,90","8,71"
"('Alentejo', 'Arronches')","2.024,00","9,00","60,00","41,46","26,80","49,97","26,80","49,97","17,00","10,67","9,47"
"('Alentejo', 'Arronches')","2.024,00","10,00","52,50","41,46","20,06","75,13","20,06","75,13","144,90","6,87","11,71"
"('Alentejo', 'Arronches')","2.024,00","11,00","45,00","41,46","17,13","77,73","17,13","77,73","58,00","7,77","9,30"
"('Alentejo', 'Arronches')","2.024,00","12,00","32,00","41,46","12,90","73,90","12,90","73,90","11,40","9,13","7,48"
"('Alentejo', 'Arronches')","2.025,00","1,00","24,50","41,46","11,97","81,13","11,97","81,13","171,90","5,81","11,23"
"('Alentejo', 'Arronches')","2.025,00","2,00","36,00","41,46","13,07","82,89","13,07","82,89","40,20","6,86","7,29"
"('Alentejo', 'Arronches')","2.025,00","3,00","23,50","41,46","12,77","85,97","12,77","85,97","160,20","4,87","12,19"
"('Alentejo', 'Arronches')","2.025,00","4,00","43,00","41,46","17,30","80,17","17,30","80,17","109,80","8,03","10,47"
"('Alentejo', 'Arronches')","2.025,00","5,00","58,50","41,46","22,58","64,90","22,58","64,90","54,90","11,29","8,26"
"('Alentejo', 'Arronches')","2.025,00","6,00","40,00","41,46","32,20","45,90","32,20","45,90","14,70","13,30","7,77"
"('Alentejo', 'Avis')","2.024,00","6,00","60,00","48,12","21,00","40,00","21,00","40,00","0,00","11,00","13,00"
"('Alentejo', 'Avis')","2.024,00","7,00","56,00","48,12","22,48","18,81","22,48","18,81","0,00","11,00","10,71"
"('Alentejo', 'Avis')","2.024,00","8,00","56,00","48,12","25,84","14,61","25,84","14,61","0,00","11,00","10,65"
"('Alentejo', 'Avis')","2.024,00","9,00","44,00","48,12","27,73","19,13","27,73","19,13","1,20","11,43","13,13"
"('Alentejo', 'Avis')","2.024,00","10,00","36,00","48,12","30,06","17,10","30,06","17,10","1,80","12,03","14,13"
"('Alentejo', 'Avis')","2.024,00","11,00","36,00","48,12","31,40","21,83","31,40","21,83","7,90","11,67","12,17"
"('Alentejo', 'Avis')","2.024,00","12,00","34,50","48,12","31,87","26,84","31,87","26,84","40,80","11,94","12,52"
"('Alentejo', 'Avis')","2.025,00","1,00","37,50","48,12","30,29","34,03","30,29","34,03","77,00","11,39","12,19"
"('Alentejo', 'Avis')","2.025,00","2,00","46,50","48,12","28,89","52,25","28,89","52,25","42,90","9,68","11,46"
"('Alentejo', 'Avis')","2.025,00","3,00","55,00","48,12","26,29","56,97","26,29","56,97","125,00","9,00","9,39"
"('Alentejo', 'Avis')","2.025,00","4,00","56,00","48,12","24,27","51,33","24,27","51,33","69,80","8,83","8,97"
"('Alentejo', 'Avis')","2.025,00","5,00","60,00","48,12","21,61","37,81","21,61","37,81","1,60","10,84","10,26"
"('Alentejo', 'Avis')","2.025,00","6,00","48,00","48,12","19,27","33,40","19,27","33,40","0,00","11,00","11,33"
"('Alentejo', 'Azambuja')","2.024,00","6,00","57,00","45,31","25,00","67,00","25,00","67,00","2,80","9,00","15,00"
"('Alentejo', 'Azambuja')","2.024,00","7,00","45,00","45,31","29,84","64,23","29,84","64,23","10,40","13,84","16,00"
"('Alentejo', 'Azambuja')","2.024,00","8,00","45,00","45,31","29,84","66,71","29,84","66,71","0,10","13,55","19,48"
"('Alentejo', 'Azambuja')","2.024,00","9,00","57,00","45,31","26,47","62,83","26,47","62,83","21,80","10,97","16,23"
"('Alentejo', 'Azambuja')","2.024,00","10,00","55,00","45,31","22,65","74,84","22,65","74,84","115,00","8,03","14,71"
"('Alentejo', 'Azambuja')","2.024,00","11,00","44,00","45,31","19,87","76,43","19,87","76,43","75,70","7,97","11,00"
"('Alentejo', 'Azambuja')","2.024,00","12,00","38,50","45,31","15,68","72,94","15,68","72,94","9,00","8,55","11,68"
"('Alentejo', 'Azambuja')","2.025,00","1,00","32,50","45,31","15,26","78,65","15,26","78,65","176,10","5,97","14,84"
"('Alentejo', 'Azambuja')","2.025,00","2,00","36,00","45,31","15,89","80,21","15,89","80,21","54,70","6,71","10,50"
"('Alentejo', 'Azambuja')","2.025,00","3,00","29,50","45,31","15,81","80,65","15,81","80,65","208,10","5,81","15,52"
"('Alentejo', 'Azambuja')","2.025,00","4,00","43,00","45,31","18,97","77,97","18,97","77,97","111,50","8,37","14,47"
"('Alentejo', 'Azambuja')","2.025,00","5,00","58,50","45,31","22,84","70,16","22,84","70,16","33,40","11,58","13,58"
"('Alentejo', 'Azambuja')","2.025,00","6,00","48,00","45,31","28,87","63,23","28,87","63,23","4,20","13,70","14,97"
"('Alentejo', 'Barrancos')","2.024,00","6,00","60,00","41,81","27,00","58,00","27,00","58,00","0,00","13,00","10,00"
"('Alentejo', 'Barrancos')","2.024,00","7,00","32,00","41,81","35,65","39,35","35,65","39,35","0,90","13,71","8,90"
"('Alentejo', 'Barrancos')","2.024,00","8,00","20,00","41,81","36,55","39,84","36,55","39,84","0,00","13,74","8,52"
"('Alentejo', 'Barrancos')","2.024,00","9,00","48,00","41,81","29,70","52,27","29,70","52,27","7,40","10,77","8,30"
"('Alentejo', 'Barrancos')","2.024,00","10,00","53,50","41,81","22,74","72,35","22,74","72,35","133,10","7,81","10,55"
"('Alentejo', 'Barrancos')","2.024,00","11,00","45,00","41,81","19,63","73,80","19,63","73,80","59,90","8,30","8,70"
"('Alentejo', 'Barrancos')","2.024,00","12,00","48,00","41,81","16,03","69,81","16,03","69,81","3,30","9,06","7,42"
"('Alentejo', 'Barrancos')","2.025,00","1,00","32,50","41,81","14,58","79,06","14,58","79,06","157,40","6,35","11,45"
"('Alentejo', 'Barrancos')","2.025,00","2,00","37,00","41,81","15,68","80,14","15,68","80,14","42,80","7,21","7,75"
"('Alentejo', 'Barrancos')","2.025,00","3,00","32,50","41,81","15,39","85,10","15,39","85,10","239,50","5,61","11,52"
"('Alentejo', 'Barrancos')","2.025,00","4,00","43,00","41,81","19,63","77,43","19,63","77,43","118,50","8,17","10,37"
"('Alentejo', 'Barrancos')","2.025,00","5,00","60,00","41,81","25,06","60,81","25,06","60,81","21,60","11,68","8,74"
"('Alentejo', 'Barrancos')","2.025,00","6,00","32,00","41,81","34,63","43,10","34,63","43,10","8,20","13,17","8,80"
"('Alentejo', 'Beja')","2.024,00","6,00","45,00","40,88","28,00","62,00","28,00","62,00","0,00","11,00","16,00"
"('Alentejo', 'Beja')","2.024,00","7,00","32,00","40,88","35,16","45,16","35,16","45,16","1,50","13,71","13,39"
"('Alentejo', 'Beja')","2.024,00","8,00","32,00","40,88","35,61","45,13","35,61","45,13","0,00","13,77","13,29"
"('Alentejo', 'Beja')","2.024,00","9,00","48,00","40,88","29,47","53,40","29,47","53,40","8,80","10,93","12,77"
"('Alentejo', 'Beja')","2.024,00","10,00","55,00","40,88","23,06","70,74","23,06","70,74","106,80","8,45","13,90"
"('Alentejo', 'Beja')","2.024,00","11,00","45,00","40,88","19,90","73,20","19,90","73,20","55,40","7,83","12,03"
"('Alentejo', 'Beja')","2.024,00","12,00","38,50","40,88","15,90","69,90","15,90","69,90","8,40","8,39","10,32"
"('Alentejo', 'Beja')","2.025,00","1,00","32,50","40,88","15,19","78,52","15,19","78,52","146,80","6,26","13,29"
"('Alentejo', 'Beja')","2.025,00","2,00","36,00","40,88","15,93","81,00","15,93","81,00","57,90","6,93","10,32"
"('Alentejo', 'Beja')","2.025,00","3,00","32,50","40,88","15,68","85,19","15,68","85,19","232,30","5,84","14,68"
"('Alentejo', 'Beja')","2.025,00","4,00","43,00","40,88","19,87","77,03","19,87","77,03","98,30","7,87","13,30"
"('Alentejo', 'Beja')","2.025,00","5,00","60,00","40,88","25,55","61,42","25,55","61,42","15,70","11,65","12,87"
"('Alentejo', 'Beja')","2.025,00","6,00","32,00","40,88","34,20","46,07","34,20","46,07","4,50","13,07","13,27"
"('Alentejo', 'Benavente')","2.024,00","6,00","57,00","45,31","25,00","67,00","25,00","67,00","2,80","9,00","15,00"
"('Alentejo', 'Benavente')","2.024,00","7,00","45,00","45,31","29,84","64,23","29,84","64,23","10,40","13,81","16,00"
"('Alentejo', 'Benavente')","2.024,00","8,00","45,00","45,31","29,84","66,71","29,84","66,71","0,10","13,55","19,48"
"('Alentejo', 'Benavente')","2.024,00","9,00","57,00","45,31","26,47","62,83","26,47","62,83","21,80","10,93","16,23"
"('Alentejo', 'Benavente')","2.024,00","10,00","55,00","45,31","22,65","74,84","22,65","74,84","115,00","8,00","14,71"
"('Alentejo', 'Benavente')","2.024,00","11,00","44,00","45,31","19,87","76,43","19,87","76,43","75,70","7,97","11,00"
"('Alentejo', 'Benavente')","2.024,00","12,00","38,50","45,31","15,68","72,94","15,68","72,94","9,00","8,55","11,68"
"('Alentejo', 'Benavente')","2.025,00","1,00","32,50","45,31","15,26","78,65","15,26","78,65","176,10","5,97","14,84"
"('Alentejo', 'Benavente')","2.025,00","2,00","36,00","45,31","15,89","80,21","15,89","80,21","54,70","6,71","10,50"
"('Alentejo', 'Benavente')","2.025,00","3,00","29,50","45,31","15,81","80,65","15,81","80,65","208,10","5,81","15,52"
"('Alentejo', 'Benavente')","2.025,00","4,00","43,00","45,31","18,97","77,97","18,97","77,97","111,50","8,37","14,47"
"('Alentejo', 'Benavente')","2.025,00","5,00","58,50","45,31","22,84","70,16","22,84","70,16","33,40","11,58","13,58"
"('Alentejo', 'Benavente')","2.025,00","6,00","48,00","45,31","28,87","63,23","28,87","63,23","4,20","13,67","14,97"
"('Alentejo', 'Borba')","2.024,00","6,00","57,00","41,38","26,00","61,00","26,00","61,00","0,60","9,00","16,00"
"('Alentejo', 'Borba')","2.024,00","7,00","32,00","41,38","34,65","46,94","34,65","46,94","1,70","13,71","13,35"
"('Alentejo', 'Borba')","2.024,00","8,00","32,00","41,38","35,42","46,61","35,42","46,61","0,00","13,97","13,94"
"('Alentejo', 'Borba')","2.024,00","9,00","48,00","41,38","28,87","53,43","28,87","53,43","13,40","10,63","13,47"
"('Alentejo', 'Borba')","2.024,00","10,00","53,50","41,38","22,61","73,19","22,61","73,19","123,30","7,48","14,23"
"('Alentejo', 'Borba')","2.024,00","11,00","45,00","41,38","19,37","74,90","19,37","74,90","57,40","7,70","11,77"
"('Alentejo', 'Borba')","2.024,00","12,00","38,50","41,38","15,26","71,77","15,26","71,77","18,60","8,71","11,48"
"('Alentejo', 'Borba')","2.025,00","1,00","32,50","41,38","14,48","80,06","14,48","80,06","158,80","5,97","14,00"
"('Alentejo', 'Borba')","2.025,00","2,00","35,00","41,38","15,21","82,04","15,21","82,04","61,50","6,71","10,32"
"('Alentejo', 'Borba')","2.025,00","3,00","29,50","41,38","15,13","86,03","15,13","86,03","221,50","5,61","15,29"
"('Alentejo', 'Borba')","2.025,00","4,00","43,00","41,38","19,13","79,73","19,13","79,73","113,70","7,47","13,37"
"('Alentejo', 'Borba')","2.025,00","5,00","60,00","41,38","24,29","65,19","24,29","65,19","28,70","11,06","12,48"
"('Alentejo', 'Borba')","2.025,00","6,00","32,00","41,38","33,43","49,00","33,43","49,00","2,80","12,93","13,13"
"('Alentejo', 'Campo Maior')","2.024,00","6,00","45,00","41,65","28,00","58,00","28,00","58,00","0,00","14,00","15,00"
"('Alentejo', 'Campo Maior')","2.024,00","7,00","20,00","41,65","37,23","37,71","37,23","37,71","0,40","13,61","12,23"
"('Alentejo', 'Campo Maior')","2.024,00","8,00","20,00","41,65","37,81","36,58","37,81","36,58","0,00","13,94","11,48"
"('Alentejo', 'Campo Maior')","2.024,00","9,00","40,00","41,65","30,13","46,47","30,13","46,47","7,20","10,97","11,53"
"('Alentejo', 'Campo Maior')","2.024,00","10,00","53,50","41,65","23,03","68,81","23,03","68,81","142,70","7,74","13,81"
"('Alentejo', 'Campo Maior')","2.024,00","11,00","57,00","41,65","20,07","70,33","20,07","70,33","59,70","8,13","10,17"
"('Alentejo', 'Campo Maior')","2.024,00","12,00","40,00","41,65","15,39","69,26","15,39","69,26","4,70","9,16","8,90"
"('Alentejo', 'Campo Maior')","2.025,00","1,00","32,50","41,65","14,61","76,61","14,61","76,61","133,60","6,55","12,29"
