municipio,ano,mes,tci,tci_anual,tempC_media,humidity_media,maxtempC_media,humidity_max_media,precipMM_total,sunHour_media,windspeedKmph_media
"('Alentejo', 'Alandroal')","2.024,00","6,00","57,00","41,38","26,00","61,00","26,00","61,00","0,60","9,00","16,00"
"('Alentejo', 'Alandroal')","2.024,00","7,00","32,00","41,38","34,65","46,94","34,65","46,94","1,70","13,71","13,35"
"('Alentejo', 'Alandroal')","2.024,00","8,00","32,00","41,38","35,42","46,61","35,42","46,61","0,00","13,97","13,94"
"('Alentejo', 'Alandroal')","2.024,00","9,00","48,00","41,38","28,87","53,43","28,87","53,43","13,40","10,63","13,47"
"('Alentejo', 'Alandroal')","2.024,00","10,00","53,50","41,38","22,61","73,19","22,61","73,19","123,30","7,48","14,23"
"('Alentejo', 'Alandroal')","2.024,00","11,00","45,00","41,38","19,37","74,90","19,37","74,90","57,40","7,70","11,77"
"('Alentejo', 'Alandroal')","2.024,00","12,00","38,50","41,38","15,26","71,77","15,26","71,77","18,60","8,71","11,48"
"('Alentejo', 'Alandroal')","2.025,00","1,00","32,50","41,38","14,48","80,06","14,48","80,06","158,80","5,97","14,00"
"('Alentejo', 'Alandroal')","2.025,00","2,00","35,00","41,38","15,21","82,04","15,21","82,04","61,50","6,71","10,32"
"('Alentejo', 'Alandroal')","2.025,00","3,00","29,50","41,38","15,13","86,03","15,13","86,03","221,50","5,61","15,29"
"('Alentejo', 'Alandroal')","2.025,00","4,00","43,00","41,38","19,13","79,73","19,13","79,73","113,70","7,47","13,37"
"('Alentejo', 'Alandroal')","2.025,00","5,00","60,00","41,38","24,29","65,19","24,29","65,19","28,70","11,06","12,48"
"('Alentejo', 'Alandroal')","2.025,00","6,00","32,00","41,38","33,43","49,00","33,43","49,00","2,80","12,93","13,13"
"('Alentejo', 'Alcacer do Sal')","2.024,00","6,00","57,00","46,77","23,00","68,00","23,00","68,00","1,80","9,00","16,00"
"('Alentejo', 'Alcacer do Sal')","2.024,00","7,00","48,00","46,77","29,23","64,35","29,23","64,35","14,10","13,65","14,68"
"('Alentejo', 'Alcacer do Sal')","2.024,00","8,00","37,00","46,77","30,45","65,10","30,45","65,10","0,00","13,58","17,39"
"('Alentejo', 'Alcacer do Sal')","2.024,00","9,00","57,00","46,77","26,20","65,07","26,20","65,07","13,90","10,87","15,53"
"('Alentejo', 'Alcacer do Sal')","2.024,00","10,00","50,50","46,77","22,39","76,16","22,39","76,16","140,00","7,84","15,29"
"('Alentejo', 'Alcacer do Sal')","2.024,00","11,00","56,00","46,77","20,33","74,83","20,33","74,83","74,20","8,10","12,67"
"('Alentejo', 'Alcacer do Sal')","2.024,00","12,00","46,50","46,77","16,58","70,32","16,58","70,32","14,00","8,35","13,19"
"('Alentejo', 'Alcacer do Sal')","2.025,00","1,00","29,50","46,77","15,84","76,74","15,84","76,74","206,50","6,16","17,19"
"('Alentejo', 'Alcacer do Sal')","2.025,00","2,00","44,00","46,77","16,18","78,64","16,18","78,64","59,20","6,18","11,54"
"('Alentejo', 'Alcacer do Sal')","2.025,00","3,00","37,50","46,77","16,19","79,55","16,19","79,55","215,40","6,13","17,35"
"('Alentejo', 'Alcacer do Sal')","2.025,00","4,00","38,50","46,77","19,50","76,80","19,50","76,80","135,50","8,03","15,33"
"('Alentejo', 'Alcacer do Sal')","2.025,00","5,00","58,50","46,77","22,68","69,13","22,68","69,13","42,00","11,13","13,77"
"('Alentejo', 'Alcacer do Sal')","2.025,00","6,00","48,00","46,77","28,23","63,57","28,23","63,57","1,40","13,80","14,07"
"('Alentejo', 'Aljustrel')","2.024,00","6,00","45,00","40,88","28,00","62,00","28,00","62,00","0,00","11,00","16,00"
"('Alentejo', 'Aljustrel')","2.024,00","7,00","32,00","40,88","35,16","45,16","35,16","45,16","1,50","13,71","13,39"
"('Alentejo', 'Aljustrel')","2.024,00","8,00","32,00","40,88","35,61","45,13","35,61","45,13","0,00","13,71","13,29"
"('Alentejo', 'Aljustrel')","2.024,00","9,00","48,00","40,88","29,47","53,40","29,47","53,40","8,80","10,97","12,77"
"('Alentejo', 'Aljustrel')","2.024,00","10,00","55,00","40,88","23,06","70,74","23,06","70,74","106,80","8,48","13,90"
"('Alentejo', 'Aljustrel')","2.024,00","11,00","45,00","40,88","19,90","73,20","19,90","73,20","55,40","7,80","12,03"
"('Alentejo', 'Aljustrel')","2.024,00","12,00","38,50","40,88","15,90","69,90","15,90","69,90","8,40","8,39","10,32"
