Regiao,municipio,ano_mes,estacao,dias_no_mes,dias_bons,dias_aceitaveis,dias_marginais,extremos,percentual_extremos,media_score,score_max,score_min,score_std,media_maxtemp,maxtemp_max,media_mintemp,mintemp_min,media_totalSnow_cm,media_sunHour,media_uvIndex,media_FeelsLikeC,media_HeatIndexC,media_WindChillC,media_humidity,media_precipMM,media_tempC,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,class_mais_comum,classificacao_mes
Alentejo,Alandroal,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","96,40","96,40","96,40",nan,"26,00","26,00","14,00","14,00","0,00","9,00","4,00","20,00","20,00","20,00","61,00","0,60","26,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alandroal,2024-07,Verão,"31,00","0,00","8,00","23,00","14,00","45,16","39,43","58,00","16,80","10,17","34,65","41,00","16,97","11,00","0,00","13,71","6,42","25,13","25,13","25,16","46,94","0,05","34,65","14,00","0,00","0,00","0,00","2,00",Marginal,Marginal
Alentejo,Alandroal,2024-08,Verão,"31,00","0,00","2,00","29,00","16,00","51,61","36,81","58,00","20,40","7,02","35,42","40,00","17,58","14,00","0,00","13,97","6,48","25,35","25,35","25,35","46,61","0,00","35,42","16,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2024-09,Outono,"30,00","13,00","8,00","9,00","1,00","3,33","66,45","100,00","20,40","25,94","28,87","36,00","15,23","11,00","0,00","10,63","5,27","21,13","21,17","21,27","53,43","0,45","28,87","1,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Alandroal,2024-10,Outono,"31,00","25,00","1,00","5,00","0,00","0,00","81,32","100,00","22,80","24,05","22,61","28,00","14,26","9,00","0,00","7,48","4,19","17,68","18,32","17,68","73,19","3,98","22,61","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alandroal,2024-11,Outono,"30,00","16,00","3,00","11,00","0,00","0,00","63,01","96,40","8,40","33,42","19,37","23,00","11,67","6,00","0,00","7,70","4,03","14,47","15,03","14,47","74,90","1,91","19,37","0,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Alandroal,2024-12,Inverno,"31,00","3,00","0,00","28,00","0,00","0,00","33,12","92,80","18,00","19,23","15,26","21,00","6,32","2,00","0,00","8,71","3,00","8,42","9,97","8,42","71,77","0,60","15,26","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-01,Inverno,"31,00","0,00","0,00","31,00","0,00","0,00","17,97","28,00","4,80","8,73","14,48","18,00","6,97","2,00","0,00","5,97","2,81","8,58","10,19","8,58","80,06","5,12","14,48","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-02,Inverno,"28,00","0,00","0,00","28,00","0,00","0,00","18,69","32,80","4,80","7,92","15,21","18,00","7,25","5,00","0,00","6,71","2,82","9,50","10,50","9,50","82,04","2,20","15,21","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-03,Primavera,"31,00","3,00","0,00","28,00","0,00","0,00","22,31","88,00","0,00","23,66","15,13","21,00","7,23","4,00","0,00","5,61","2,81","9,23","10,87","9,23","86,03","7,15","15,13","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alandroal,2025-04,Primavera,"30,00","13,00","0,00","17,00","0,00","0,00","50,47","96,40","0,00","36,83","19,13","25,00","9,53","5,00","0,00","7,47","3,50","13,00","14,10","13,00","79,73","3,79","19,13","0,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Alandroal,2025-05,Primavera,"31,00","15,00","3,00","13,00","3,00","9,68","63,98","96,40","13,80","27,94","24,29","37,00","11,58","7,00","0,00","11,06","4,39","17,23","17,68","17,23","65,19","0,93","24,29","3,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Alandroal,2025-06,Verão,"30,00","4,00","9,00","17,00","9,00","30,00","46,80","96,40","12,00","23,03","33,43","43,00","16,23","11,00","0,00","12,93","5,97","24,17","24,27","24,17","49,00","0,09","33,43","9,00","0,00","0,00","0,00","3,00",Marginal,Marginal
Alentejo,Alcacer do Sal,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","100,00","100,00","100,00",nan,"23,00","23,00","17,00","17,00","0,00","9,00","4,00","20,00","21,00","20,00","68,00","1,80","23,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alcacer do Sal,2024-07,Verão,"31,00","11,00","12,00","8,00","0,00","0,00","67,01","100,00","36,40","23,92","29,23","34,00","16,94","14,00","0,00","13,65","5,77","22,77","22,97","22,42","64,35","0,45","29,23","0,00","0,00","0,00","0,00","0,00",Aceitável,Bom
Alentejo,Alcacer do Sal,2024-08,Verão,"31,00","7,00","17,00","7,00","2,00","6,45","62,57","100,00","34,00","21,77","30,45","36,00","17,10","14,00","0,00","13,58","6,00","22,97","23,03","22,77","65,10","0,00","30,45","2,00","0,00","0,00","0,00","0,00",Aceitável,Bom
Alentejo,Alcacer do Sal,2024-09,Outono,"30,00","23,00","5,00","2,00","0,00","0,00","86,02","100,00","40,00","20,00","26,20","32,00","16,00","11,00","0,00","10,87","5,17","20,30","20,80","20,27","65,07","0,46","26,20","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alcacer do Sal,2024-10,Outono,"31,00","28,00","3,00","0,00","1,00","3,23","89,85","100,00","54,40","14,19","22,39","27,00","16,19","11,00","0,00","7,84","4,45","18,74","19,19","18,74","76,16","4,52","22,39","0,00","0,00","1,00","0,00","0,00",Excelente,Excelente
Alentejo,Alcacer do Sal,2024-11,Outono,"30,00","21,00","3,00","6,00","0,00","0,00","76,41","100,00","13,80","28,22","20,33","24,00","13,70","8,00","0,00","8,10","4,10","16,17","16,60","16,17","74,83","2,47","20,33","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alcacer do Sal,2024-12,Inverno,"31,00","4,00","1,00","26,00","0,00","0,00","37,57","96,40","18,00","21,53","16,58","21,00","9,45","6,00","0,00","8,35","3,48","11,06","12,29","11,06","70,32","0,45","16,58","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alcacer do Sal,2025-01,Inverno,"31,00","0,00","0,00","31,00","2,00","6,45","23,32","35,40","4,40","9,16","15,84","19,00","10,32","4,00","0,00","6,16","3,29","11,87","12,87","11,87","76,74","6,66","15,84","0,00","0,00","2,00","0,00","0,00",Marginal,Marginal
Alentejo,Alcacer do Sal,2025-02,Inverno,"28,00","0,00","0,00","28,00","0,00","0,00","22,41","32,80","4,80","8,64","16,18","18,00","9,82","6,00","0,00","6,18","3,21","11,82","12,75","11,82","78,64","2,11","16,18","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alcacer do Sal,2025-03,Primavera,"31,00","4,00","0,00","27,00","1,00","3,23","28,27","92,80","0,80","25,52","16,19","21,00","9,84","8,00","0,00","6,13","3,19","11,16","12,65","11,16","79,55","6,95","16,19","0,00","0,00","1,00","0,00","0,00",Marginal,Marginal
Alentejo,Alcacer do Sal,2025-04,Primavera,"30,00","12,00","2,00","16,00","0,00","0,00","53,66","96,40","8,40","34,51","19,50","26,00","11,97","9,00","0,00","8,03","3,73","14,60","15,47","14,60","76,80","4,52","19,50","0,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Alcacer do Sal,2025-05,Primavera,"31,00","17,00","6,00","8,00","0,00","0,00","70,60","96,40","17,40","28,91","22,68","33,00","13,26","10,00","0,00","11,13","4,39","17,32","17,81","17,29","69,13","1,35","22,68","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alcacer do Sal,2025-06,Verão,"30,00","17,00","8,00","5,00","3,00","10,00","75,71","100,00","26,80","25,69","28,23","38,00","16,30","14,00","0,00","13,80","5,33","21,80","22,17","21,60","63,57","0,05","28,23","3,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Aljustrel,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","96,40","96,40","96,40",nan,"28,00","28,00","15,00","15,00","0,00","11,00","5,00","20,00","21,00","20,00","62,00","0,00","28,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Aljustrel,2024-07,Verão,"31,00","0,00","4,00","27,00","15,00","48,39","36,48","58,00","16,80","9,20","35,16","42,00","18,32","12,00","0,00","13,71","6,61","25,87","25,87","25,81","45,16","0,05","35,16","15,00","0,00","0,00","0,00","3,00",Marginal,Marginal
Alentejo,Aljustrel,2024-08,Verão,"31,00","0,00","0,00","31,00","16,00","51,61","36,09","40,00","26,80","3,99","35,61","40,00","18,87","15,00","0,00","13,71","6,71","26,35","26,35","26,29","45,13","0,00","35,61","16,00","0,00","0,00","0,00","2,00",Marginal,Marginal
Alentejo,Aljustrel,2024-09,Outono,"30,00","13,00","8,00","9,00","1,00","3,33","68,29","100,00","30,40","26,12","29,47","36,00","16,37","12,00","0,00","10,97","5,57","21,93","22,10","21,93","53,40","0,29","29,47","1,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Aljustrel,2024-10,Outono,"31,00","25,00","4,00","2,00","0,00","0,00","84,51","100,00","22,80","21,99","23,06","29,00","14,94","10,00","0,00","8,48","4,39","18,32","18,97","18,32","70,74","3,45","23,06","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Aljustrel,2024-11,Outono,"30,00","18,00","4,00","8,00","0,00","0,00","70,64","96,40","9,00","31,10","19,90","24,00","12,77","7,00","0,00","7,80","4,10","15,47","15,87","15,47","73,20","1,85","19,90","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Aljustrel,2024-12,Inverno,"31,00","2,00","0,00","29,00","0,00","0,00","32,35","92,80","9,00","16,45","15,90","22,00","7,19","3,00","0,00","8,39","3,13","9,68","10,90","9,68","69,90","0,27","15,90","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Aljustrel,2025-01,Inverno,"31,00","0,00","0,00","31,00","1,00","3,23","20,88","40,80","0,80","8,54","15,19","19,00","7,48","2,00","0,00","6,26","2,90","9,58","10,90","9,58","78,52","4,74","15,19","0,00","0,00","1,00","0,00","0,00",Marginal,Marginal
Alentejo,Aljustrel,2025-02,Inverno,"28,00","0,00","1,00","27,00","0,00","0,00","20,64","50,80","4,80","10,41","15,93","19,00","7,75","5,00","0,00","6,96","2,93","10,43","11,36","10,43","81,00","2,07","15,93","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Aljustrel,2025-03,Primavera,"31,00","4,00","0,00","27,00","0,00","0,00","22,61","92,80","0,00","26,78","15,68","22,00","7,97","4,00","0,00","5,81","2,94","9,94","11,39","9,94","85,19","7,49","15,68","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Aljustrel,2025-04,Primavera,"30,00","17,00","0,00","13,00","0,00","0,00","60,43","96,40","9,00","36,12","19,87","26,00","10,47","6,00","0,00","7,90","3,60","14,07","14,87","14,07","77,03","3,28","19,87","0,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Aljustrel,2025-05,Primavera,"31,00","17,00","7,00","7,00","4,00","12,90","69,61","96,40","22,80","25,84","25,55","38,00","12,68","8,00","0,00","11,65","4,81","18,55","18,71","18,55","61,42","0,51","25,55","4,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Aljustrel,2025-06,Verão,"30,00","2,00","9,00","19,00","10,00","33,33","42,84","96,40","12,00","19,42","34,20","44,00","17,97","12,00","0,00","13,07","6,27","25,40","25,40","25,53","46,07","0,15","34,20","10,00","0,00","0,00","0,00","3,00",Marginal,Marginal
Alentejo,Almeirim,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","96,40","96,40","96,40",nan,"25,00","25,00","15,00","15,00","0,00","8,00","4,00","19,00","20,00","19,00","66,00","0,60","25,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Almeirim,2024-07,Verão,"31,00","7,00","9,00","15,00","6,00","19,35","55,87","100,00","30,40","24,34","31,74","41,00","16,10","13,00","0,00","13,61","5,77","22,84","23,03","22,68","61,23","0,22","31,74","6,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Almeirim,2024-08,Verão,"31,00","2,00","11,00","18,00","5,00","16,13","48,36","100,00","30,40","17,04","32,26","39,00","16,55","13,00","0,00","13,52","6,00","23,35","23,35","23,13","62,10","0,00","32,26","5,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almeirim,2024-09,Outono,"30,00","19,00","5,00","6,00","1,00","3,33","75,77","100,00","24,00","26,51","27,90","37,00","14,93","10,00","0,00","10,57","5,10","20,37","20,60","20,47","59,50","0,77","27,90","1,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Almeirim,2024-10,Outono,"31,00","27,00","2,00","2,00","1,00","3,23","85,30","100,00","32,80","18,28","23,29","29,00","14,74","9,00","0,00","7,42","4,45","18,39","18,87","18,39","74,52","4,10","23,29","0,00","0,00","1,00","0,00","0,00",Excelente,Excelente
Alentejo,Almeirim,2024-11,Outono,"30,00","21,00","0,00","9,00","0,00","0,00","71,89","96,40","9,00","31,59","20,33","24,00","12,27","7,00","0,00","7,67","4,03","15,23","15,77","15,23","75,20","3,36","20,33","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Almeirim,2024-12,Inverno,"31,00","2,00","1,00","28,00","0,00","0,00","32,91","96,40","19,00","16,39","16,03","21,00","6,94","2,00","0,00","8,77","3,10","9,35","10,48","9,35","72,39","0,52","16,03","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almeirim,2025-01,Inverno,"31,00","0,00","0,00","31,00","1,00","3,23","20,44","40,80","4,80","9,88","15,45","19,00","7,74","0,00","0,00","5,90","3,03","10,06","11,23","10,06","79,06","6,40","15,45","0,00","1,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almeirim,2025-02,Inverno,"28,00","0,00","0,00","28,00","0,00","0,00","19,11","32,80","9,00","7,91","16,00","18,00","7,79","4,00","0,00","6,29","3,00","10,61","11,36","10,61","80,46","1,85","16,00","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almeirim,2025-03,Primavera,"31,00","4,00","0,00","27,00","0,00","0,00","28,01","92,80","4,80","26,37","16,39","23,00","8,58","6,00","0,00","5,61","3,10","10,58","11,90","10,58","81,29","6,73","16,39","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almeirim,2025-04,Primavera,"30,00","15,00","2,00","13,00","0,00","0,00","58,05","96,40","9,00","33,71","19,97","27,00","10,67","6,00","0,00","7,70","3,63","14,20","15,00","14,20","77,87","3,75","19,97","0,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Almeirim,2025-05,Primavera,"31,00","18,00","3,00","10,00","1,00","3,23","70,72","96,40","22,80","27,82","23,94","36,00","11,90","9,00","0,00","11,48","4,32","17,16","17,39","17,16","68,94","1,45","23,94","1,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Almeirim,2025-06,Verão,"30,00","12,00","6,00","12,00","9,00","30,00","62,92","96,40","26,80","28,92","31,13","43,00","15,50","13,00","0,00","13,93","5,60","22,33","22,60","22,20","60,17","0,11","31,13","9,00","0,00","0,00","0,00","1,00",Excelente,Bom
Alentejo,Almodovar,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","100,00","100,00","100,00",nan,"26,00","26,00","16,00","16,00","0,00","12,00","5,00","20,00","21,00","20,00","69,00","1,50","26,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Almodovar,2024-07,Verão,"31,00","8,00","10,00","13,00","1,00","3,23","59,55","100,00","26,80","25,29","30,81","36,00","18,90","13,00","0,00","13,90","6,39","25,35","25,35","24,87","54,16","0,03","30,81","1,00","0,00","0,00","0,00","1,00",Marginal,Aceitável
Alentejo,Almodovar,2024-08,Verão,"31,00","2,00","12,00","17,00","1,00","3,23","49,02","100,00","30,40","16,41","31,61","36,00","20,13","16,00","0,00","13,71","6,52","26,55","26,55","25,77","54,16","0,00","31,61","1,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almodovar,2024-09,Outono,"30,00","19,00","11,00","0,00","0,00","0,00","82,85","100,00","54,40","20,43","27,00","31,00","16,90","13,00","0,00","11,20","5,57","21,53","21,70","21,30","62,80","0,27","27,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Almodovar,2024-10,Outono,"31,00","24,00","5,00","2,00","2,00","6,45","82,18","100,00","17,40","22,91","22,16","29,00","15,81","10,00","0,00","8,87","4,55","18,65","19,06","18,55","74,97","6,17","22,16","0,00","0,00","2,00","0,00","0,00",Excelente,Excelente
Alentejo,Almodovar,2024-11,Outono,"30,00","14,00","3,00","13,00","0,00","0,00","63,95","100,00","8,40","30,13","19,37","22,00","14,00","9,00","0,00","7,80","4,20","16,10","16,43","16,10","75,87","3,29","19,37","0,00","0,00","0,00","0,00","0,00",Excelente,Bom
Alentejo,Almodovar,2024-12,Inverno,"31,00","3,00","1,00","27,00","0,00","0,00","36,48","96,40","18,00","19,77","16,00","20,00","9,90","6,00","0,00","9,03","3,45","11,23","12,42","11,23","68,55","0,35","16,00","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almodovar,2025-01,Inverno,"31,00","0,00","0,00","31,00","3,00","9,68","22,36","44,40","4,40","9,35","15,58","19,00","9,77","6,00","0,00","6,45","3,26","11,35","12,48","11,35","76,58","8,22","15,58","0,00","0,00","3,00","0,00","0,00",Marginal,Marginal
Alentejo,Almodovar,2025-02,Inverno,"28,00","0,00","1,00","27,00","0,00","0,00","26,43","50,80","4,80","7,89","15,89","19,00","9,82","7,00","0,00","7,82","3,21","11,61","12,50","11,61","77,64","2,88","15,89","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Almodovar,2025-03,Primavera,"31,00","2,00","1,00","28,00","1,00","3,23","26,69","92,80","4,80","20,13","15,65","23,00","9,87","7,00","0,00","6,77","3,23","11,16","12,55","11,16","80,39","7,70","15,65","0,00","0,00","1,00","0,00","0,00",Marginal,Marginal
Alentejo,Almodovar,2025-04,Primavera,"30,00","11,00","1,00","18,00","0,00","0,00","52,29","96,40","4,80","33,84","18,97","25,00","12,13","8,00","0,00","9,60","3,77","14,63","15,37","14,63","76,50","3,52","18,97","0,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Almodovar,2025-05,Primavera,"31,00","19,00","6,00","6,00","0,00","0,00","74,88","100,00","26,40","27,61","23,13","31,00","14,06","10,00","0,00","12,13","4,71","18,03","18,55","17,94","64,45","1,11","23,13","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Almodovar,2025-06,Verão,"30,00","16,00","10,00","4,00","0,00","0,00","75,76","100,00","28,00","26,15","28,53","35,00","18,10","13,00","0,00","13,47","5,87","23,67","23,87","23,27","55,37","0,13","28,53","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alpiarca,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","96,40","96,40","96,40",nan,"25,00","25,00","15,00","15,00","0,00","8,00","4,00","19,00","20,00","19,00","66,00","0,60","25,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alpiarca,2024-07,Verão,"31,00","7,00","9,00","15,00","6,00","19,35","55,87","100,00","30,40","24,34","31,74","41,00","16,10","13,00","0,00","13,61","5,77","22,84","23,03","22,68","61,23","0,22","31,74","6,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Alpiarca,2024-08,Verão,"31,00","2,00","11,00","18,00","5,00","16,13","48,36","100,00","30,40","17,04","32,26","39,00","16,55","13,00","0,00","13,52","6,00","23,35","23,35","23,13","62,10","0,00","32,26","5,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alpiarca,2024-09,Outono,"30,00","19,00","5,00","6,00","1,00","3,33","75,77","100,00","24,00","26,51","27,90","37,00","14,93","10,00","0,00","10,57","5,10","20,37","20,60","20,47","59,50","0,77","27,90","1,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alpiarca,2024-10,Outono,"31,00","27,00","2,00","2,00","1,00","3,23","85,30","100,00","32,80","18,28","23,29","29,00","14,74","9,00","0,00","7,42","4,45","18,39","18,87","18,39","74,52","4,10","23,29","0,00","0,00","1,00","0,00","0,00",Excelente,Excelente
Alentejo,Alpiarca,2024-11,Outono,"30,00","21,00","0,00","9,00","0,00","0,00","71,89","96,40","9,00","31,59","20,33","24,00","12,27","7,00","0,00","7,67","4,03","15,23","15,77","15,23","75,20","3,36","20,33","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alpiarca,2024-12,Inverno,"31,00","2,00","1,00","28,00","0,00","0,00","32,91","96,40","19,00","16,39","16,03","21,00","6,94","2,00","0,00","8,77","3,10","9,35","10,48","9,35","72,39","0,52","16,03","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alpiarca,2025-01,Inverno,"31,00","0,00","0,00","31,00","1,00","3,23","20,44","40,80","4,80","9,88","15,45","19,00","7,74","0,00","0,00","5,90","3,03","10,06","11,23","10,06","79,06","6,40","15,45","0,00","1,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alpiarca,2025-02,Inverno,"28,00","0,00","0,00","28,00","0,00","0,00","19,11","32,80","9,00","7,91","16,00","18,00","7,79","4,00","0,00","6,29","3,00","10,61","11,36","10,61","80,46","1,85","16,00","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alpiarca,2025-03,Primavera,"31,00","4,00","0,00","27,00","0,00","0,00","28,01","92,80","4,80","26,37","16,39","23,00","8,58","6,00","0,00","5,61","3,10","10,58","11,90","10,58","81,29","6,73","16,39","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alpiarca,2025-04,Primavera,"30,00","15,00","2,00","13,00","0,00","0,00","58,05","96,40","9,00","33,71","19,97","27,00","10,67","6,00","0,00","7,70","3,63","14,20","15,00","14,20","77,87","3,75","19,97","0,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Alpiarca,2025-05,Primavera,"31,00","18,00","3,00","10,00","1,00","3,23","70,72","96,40","22,80","27,82","23,94","36,00","11,90","9,00","0,00","11,48","4,32","17,16","17,39","17,16","68,94","1,45","23,94","1,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alpiarca,2025-06,Verão,"30,00","12,00","6,00","12,00","9,00","30,00","62,92","96,40","26,80","28,92","31,13","43,00","15,50","13,00","0,00","13,90","5,60","22,33","22,60","22,20","60,17","0,11","31,13","9,00","0,00","0,00","0,00","1,00",Excelente,Bom
Alentejo,Alter do Chao,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","92,80","92,80","92,80",nan,"24,00","24,00","11,00","11,00","0,00","13,00","4,00","18,00","19,00","18,00","63,00","0,70","24,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alter do Chao,2024-07,Verão,"31,00","4,00","7,00","20,00","10,00","32,26","45,87","96,40","12,00","22,61","33,26","40,00","18,16","12,00","0,00","13,61","6,45","25,26","25,26","25,29","43,23","0,06","33,26","10,00","0,00","0,00","0,00","3,00",Marginal,Marginal
Alentejo,Alter do Chao,2024-08,Verão,"31,00","0,00","5,00","26,00","11,00","35,48","37,86","58,00","16,80","11,34","34,26","38,00","19,26","16,00","0,00","13,90","6,58","25,94","25,90","26,23","40,87","0,01","34,26","11,00","0,00","0,00","0,00","1,00",Marginal,Marginal
Alentejo,Alter do Chao,2024-09,Outono,"30,00","16,00","10,00","4,00","0,00","0,00","74,77","100,00","30,00","24,08","26,80","33,00","15,17","10,00","0,00","10,63","5,17","20,43","20,47","20,53","49,97","0,57","26,80","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alter do Chao,2024-10,Outono,"31,00","16,00","0,00","15,00","0,00","0,00","61,52","100,00","8,40","35,58","20,06","27,00","13,32","8,00","0,00","6,90","3,94","15,97","16,48","15,97","75,13","4,67","20,06","0,00","0,00","0,00","0,00","0,00",Marginal,Bom
Alentejo,Alter do Chao,2024-11,Outono,"30,00","4,00","3,00","23,00","0,00","0,00","38,45","96,40","9,00","25,09","17,13","21,00","10,93","6,00","0,00","7,70","3,50","13,00","13,40","13,00","77,73","1,93","17,13","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alter do Chao,2024-12,Inverno,"31,00","0,00","0,00","31,00","0,00","0,00","27,00","45,40","9,00","6,43","12,90","19,00","5,94","2,00","0,00","9,13","3,03","7,74","8,81","7,74","73,90","0,37","12,90","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alter do Chao,2025-01,Inverno,"31,00","0,00","0,00","31,00","0,00","0,00","17,59","28,00","0,00","10,24","11,97","16,00","5,90","1,00","0,00","5,81","2,68","7,29","8,65","7,29","81,13","5,55","11,97","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alter do Chao,2025-02,Inverno,"28,00","0,00","0,00","28,00","0,00","0,00","18,64","28,00","9,00","7,54","13,07","16,00","6,68","5,00","0,00","6,86","2,50","8,86","9,64","8,86","82,89","1,44","13,07","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alter do Chao,2025-03,Primavera,"31,00","1,00","0,00","30,00","0,00","0,00","17,84","88,00","9,00","15,87","12,77","20,00","6,35","2,00","0,00","4,87","2,58","7,71","9,39","7,71","85,97","5,17","12,77","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alter do Chao,2025-04,Primavera,"30,00","10,00","1,00","19,00","0,00","0,00","43,89","96,40","4,80","37,04","17,30","24,00","9,17","3,00","0,00","8,03","3,37","12,13","13,07","12,13","80,17","3,66","17,30","0,00","0,00","0,00","0,00","0,00",Marginal,Marginal
Alentejo,Alter do Chao,2025-05,Primavera,"31,00","11,00","2,00","18,00","0,00","0,00","54,69","100,00","4,80","32,05","22,58","35,00","12,13","6,00","0,00","11,29","4,32","16,84","17,16","16,94","64,90","1,77","22,58","0,00","0,00","0,00","0,00","0,00",Marginal,Aceitável
Alentejo,Alter do Chao,2025-06,Verão,"30,00","7,00","7,00","16,00","9,00","30,00","51,56","100,00","12,00","27,51","32,20","41,00","17,70","9,00","0,00","13,60","5,97","24,40","24,37","24,50","45,90","0,49","32,20","9,00","0,00","0,00","0,00","2,00",Marginal,Aceitável
Alentejo,Alvito,2024-06,Verão,"1,00","1,00","0,00","0,00","0,00","0,00","96,40","96,40","96,40",nan,"23,00","23,00","14,00","14,00","0,00","8,00","4,00","18,00","19,00","18,00","75,00","1,70","23,00","0,00","0,00","0,00","0,00","0,00",Excelente,Excelente
Alentejo,Alvito,2024-07,Verão,"31,00","20,00","5,00","6,00","2,00","6,45","77,71","100,00","30,40","25,38","28,00","36,00","14,74","11,00","0,00","13,23","5,16","20,84","21,23","20,74","70,61","0,66","28,00","2,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
Alentejo,Alvito,2024-08,Verão,"31,00","16,00","11,00","4,00","0,00","0,00","74,50","100,00","36,40","24,67","28,68","35,00","15,23","12,00","0,00","13,23","5,13","20,97","21,32","20,84","72,52","0,08","28,68","0,00","0,00","0,00","0,00","0,00",Excelente,Muito Bom
