municipio,municipio,maxtempC,mintempC,humidity,precipMM,windspeedKmph,temp_score,feels_like_score,humidity_score,uv_score,precip_score,wind_score,total_score,normalized_score
Madalena,Madalena,"20,592896174863387","11,292349726775956","70,91256830601093","4,5224043715847","8,368852459016393",10,0,0,10,0,10,"7,0","700,0"
Leiria,Leiria,"20,538251366120218","11,836065573770492","77,24590163934427","2,7581967213114753","12,218579234972678",10,0,0,10,0,10,"7,0","700,0"
Lisboa,Lisboa,"21,15846994535519","14,0","71,08196721311475","2,4863387978142075","14,704918032786885",10,0,0,10,0,10,"7,0","700,0"
Loule,Loule,"22,103825136612024","14,1448087431694","68,3879781420765","2,812568306010929","13,658469945355192",10,0,0,10,0,10,"7,0","700,0"
Loures,Loures,"21,15846994535519","14,0","71,08196721311475","2,4863387978142075","14,704918032786885",10,0,0,10,0,10,"7,0","700,0"
Lourinha,Lourinha,"20,778688524590162","12,486338797814208","76,89344262295081","2,7434426229508198","15,568306010928962",10,0,0,10,0,10,"7,0","700,0"
Lousa,Lousa,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Lousada,Lousada,"20,592896174863387","11,292349726775956","70,91256830601093","4,5224043715847","8,368852459016393",10,0,0,10,0,10,"7,0","700,0"
Macao,Macao,"23,240437158469945","11,439890710382514","69,92896174863388","2,7724043715846998","11,592896174863387",10,0,0,10,0,10,"7,0","700,0"
Vale de Cambra,Vale de Cambra,"20,718579234972676","11,62568306010929","71,64754098360656","4,977049180327868","9,204918032786885",10,0,0,10,0,10,"7,0","700,0"
Machico,Machico,"20,942622950819672","16,846994535519126","75,58743169398907","2,5278688524590165","13,579234972677595",10,0,0,10,0,10,"7,0","700,0"
Soure,Soure,"21,595628415300546","11,040983606557377","75,23770491803279","3,0098360655737704","11,16120218579235",10,0,0,10,0,10,"7,0","700,0"
Nelas,Nelas,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Fronteira,Fronteira,"21,243169398907103","11,748633879781421","66,7103825136612","2,1475409836065573","9,467213114754099",10,0,0,10,0,10,"7,0","700,0"
Povoa de Lanhoso,Povoa de Lanhoso,"20,84426229508197","10,612021857923498","72,6775956284153","4,594808743169399","7,909836065573771",10,0,0,10,0,10,"7,0","700,0"
Serpa,Serpa,"23,846994535519126","12,759562841530055","65,46174863387978","2,0120218579234974","12,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Sernancelhe,Sernancelhe,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Pombal,Pombal,"21,595628415300546","11,040983606557377","75,23770491803279","3,0098360655737704","11,16120218579235",10,0,0,10,0,10,"7,0","700,0"
Ponte da Barca,Ponte da Barca,"20,721311475409838","10,997267759562842","74,69672131147541","5,006830601092896","8,521857923497267",10,0,0,10,0,10,"7,0","700,0"
Ponte de Lima,Ponte de Lima,"20,721311475409838","10,997267759562842","74,69672131147541","5,006830601092896","8,521857923497267",10,0,0,10,0,10,"7,0","700,0"
Ponte de Sor,Ponte de Sor,"23,240437158469945","11,439890710382514","69,92896174863388","2,7724043715846998","11,592896174863387",10,0,0,10,0,10,"7,0","700,0"
Portalegre,Portalegre,"21,243169398907103","11,748633879781421","66,7103825136612","2,1475409836065573","9,467213114754099",10,0,0,10,0,10,"7,0","700,0"
Portel,Portel,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Portimao,Portimao,"21,811475409836067","14,30327868852459","72,10109289617486","2,199180327868852","14,756830601092895",10,0,0,10,0,10,"7,0","700,0"
Satao,Satao,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Sao Vicente,Sao Vicente,"20,718579234972676","11,62568306010929","71,64754098360656","4,977049180327868","9,204918032786885",10,0,0,10,0,10,"7,0","700,0"
Nisa,Nisa,"21,243169398907103","11,748633879781421","66,7103825136612","2,1475409836065573","9,467213114754099",10,0,0,10,0,10,"7,0","700,0"
Povoacao,Povoacao,"20,71311475409836","11,6448087431694","71,90163934426229","4,245901639344262","8,636612021857923",10,0,0,10,0,10,"7,0","700,0"
Proenca-a-Nova,Proenca-a-Nova,"22,418032786885245","11,191256830601093","65,42896174863388","2,789071038251366","9,073770491803279",10,0,0,10,0,10,"7,0","700,0"
Redondo,Redondo,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Reguengos de Monsaraz,Reguengos de Monsaraz,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Resende,Resende,"20,44808743169399","10,224043715846994","72,08743169398907","4,241803278688525","7,609289617486339",10,0,0,10,0,10,"7,0","700,0"
Sao Pedro do Sul,Sao Pedro do Sul,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Sao Bras de Alportel,Sao Bras de Alportel,"21,87704918032787","14,03825136612022","67,98907103825137","2,8218579234972676","13,53551912568306",10,0,0,10,0,10,"7,0","700,0"
Salvaterra de Magos,Salvaterra de Magos,"21,868852459016395","12,707650273224044","72,34972677595628","2,248087431693989","14,450819672131148",10,0,0,10,0,10,"7,0","700,0"
Santo Tirso,Santo Tirso,"20,71311475409836","11,6448087431694","71,90163934426229","4,245901639344262","8,636612021857923",10,0,0,10,0,10,"7,0","700,0"
Santa Cruz,Santa Cruz,"20,942622950819672","16,846994535519126","75,58743169398907","2,5278688524590165","13,579234972677595",10,0,0,10,0,10,"7,0","700,0"
Serta,Serta,"22,617486338797814","11,797814207650273","71,81147540983606","2,6765027322404373","12,153005464480874",10,0,0,10,0,10,"7,0","700,0"
