municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,media_score,media_maxtemp,media_mintemp,classificacao_geral
Penalva do Castelo,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Penamacor,"366,00","75,00","41,00","250,00","33,00","43,33","20,53","9,21",Marginal
Penedono,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Penela,"366,00","131,00","44,00","191,00","16,00","54,90","21,96","10,96",Aceitável
Peniche,"366,00","178,00","15,00","173,00","2,00","61,42","19,51","12,98",Bom
Peso da Regua,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Pinhel,"366,00","76,00","38,00","252,00","8,00","45,00","18,09","8,24",Marginal
Pombal,"366,00","148,00","31,00","187,00","8,00","58,13","21,60","11,04",Aceitável
Ponta Delgada,"366,00","176,00","6,00","184,00","5,00","58,91","19,70","17,01",Aceitável
Ponta do Sol,"366,00","128,00","19,00","219,00","9,00","55,66","17,67","11,42",Aceitável
Ponte da Barca,"366,00","124,00","42,00","200,00","17,00","52,75","20,72","11,00",Aceitável
Ponte de Lima,"366,00","124,00","42,00","200,00","17,00","52,75","20,72","11,00",Aceitável
Ponte de Sor,"366,00","109,00","38,00","219,00","33,00","49,02","23,24","11,44",Marginal
Portalegre,"366,00","70,00","39,00","257,00","30,00","42,85","21,24","11,75",Marginal
Portel,"366,00","93,00","42,00","231,00","43,00","45,51","23,20","11,76",Marginal
Portimao,"366,00","160,00","51,00","155,00","4,00","63,58","21,81","14,30",Bom
Porto,"366,00","159,00","23,00","184,00","5,00","60,34","18,87","13,05",Bom
Porto Moniz,"366,00","128,00","19,00","219,00","9,00","55,66","17,67","11,42",Aceitável
Porto Santo,"366,00","203,00","25,00","138,00","1,00","69,42","20,09","19,16",Bom
Porto de Mos,"366,00","169,00","17,00","180,00","1,00","59,70","19,52","12,70",Aceitável
Povoa de Lanhoso,"366,00","116,00","39,00","211,00","17,00","51,89","20,84","10,61",Aceitável
Povoa de Varzim,"366,00","138,00","18,00","210,00","5,00","54,78","18,30","13,08",Aceitável
Povoacao,"366,00","135,00","36,00","195,00","11,00","55,95","20,71","11,64",Aceitável
Proenca-a-Nova,"366,00","83,00","37,00","246,00","47,00","43,35","22,42","11,19",Marginal
Redondo,"366,00","93,00","42,00","231,00","43,00","45,47","23,20","11,76",Marginal
