municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,media_score,media_maxtemp,media_mintemp,classificacao_geral
Vila Nova de Cerveira,"366,00","124,00","42,00","200,00","17,00","52,95","20,72","11,00",Aceitável
Vila Nova de Famalicao,"366,00","135,00","36,00","195,00","11,00","55,95","20,71","11,64",Aceitável
Vila Nova de Foz Coa,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Vila Nova de Gaia,"366,00","159,00","23,00","184,00","5,00","60,34","18,87","13,05",Bom
Vila Nova de Paiva,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Vila Nova de Poiares,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Vila Pouca de Aguiar,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Vila Real,"366,00","90,00","40,00","236,00","12,00","48,75","19,82","10,68",Marginal
Vila Real de Santo Antonio,"366,00","148,00","61,00","157,00","2,00","63,24","22,10","14,79",Bom
Vila Velha de Rodao,"366,00","83,00","37,00","246,00","47,00","43,35","22,42","11,19",Marginal
Vila Verde,"366,00","104,00","41,00","221,00","25,00","49,19","20,74","10,55",Marginal
Vila Vicosa,"366,00","93,00","42,00","231,00","43,00","45,47","23,20","11,76",Marginal
Vila da Praia da Vitoria,"366,00","159,00","8,00","199,00","0,00","55,46","19,34","16,12",Aceitável
Vila de Rei,"366,00","145,00","38,00","183,00","10,00","59,22","21,87","12,71",Aceitável
Vila do Bispo,"366,00","122,00","21,00","223,00","1,00","53,88","18,17","16,24",Aceitável
Vila do Conde,"366,00","138,00","18,00","210,00","5,00","54,78","18,30","13,08",Aceitável
Vila do Porto,"366,00","138,00","18,00","210,00","5,00","54,78","18,30","13,08",Aceitável
Vimioso,"366,00","79,00","40,00","247,00","11,00","47,59","19,49","8,87",Marginal
Vinhais,"366,00","81,00","36,00","249,00","9,00","46,80","19,38","7,80",Marginal
Viseu,"366,00","93,00","35,00","238,00","20,00","46,87","20,54","9,92",Marginal
Vizela,"366,00","112,00","36,00","218,00","17,00","51,26","20,90","10,56",Aceitável
Vouzela,"366,00","104,00","38,00","224,00","18,00","49,41","19,47","10,08",Marginal
sao paulo,"366,00","194,00","93,00","79,00","14,00","69,42","28,34","17,15",Bom
