01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2013,Portugal,,01. Inferior ao 1.º ciclo,,,,x,
2013,Portugal,,02. Básico - 1º Ciclo,,,,x,
2013,Portugal,,03. Básico - 2º Ciclo,,,,x,
2013,Portugal,,04. Básico - 3º Ciclo,,,,x,
2013,Portugal,,05. Secundário,,,,x,
2013,Portugal,,06. Curso técnico superior profissional,,,,x,
2013,Portugal,,07. Bacharelato,,,,x,
2013,Portugal,,08. Licenciatura,,,,x,
2013,Portugal,,09. Mestrado,,,,x,
2013,Portugal,,10. Doutoramento,,,,x,
2013,Portugal,,Total,,,,x,
2014,Portugal,,01. Inferior ao 1.º ciclo,,,,x,
2014,Portugal,,02. Básico - 1º Ciclo,,,,x,
2014,Portugal,,03. Básico - 2º Ciclo,,,,x,
2014,Portugal,,04. Básico - 3º Ciclo,,,,x,
2014,Portugal,,05. Secundário,,,,x,
2014,Portugal,,06. Curso técnico superior profissional,,,,x,
2014,Portugal,,07. Bacharelato,,,,x,
2014,Portugal,,08. Licenciatura,,,,x,
2014,Portugal,,09. Mestrado,,,,x,
2014,Portugal,,10. Doutoramento,,,,x,
2014,Portugal,,Total,,,,x,
2015,Portugal,,01. Inferior ao 1.º ciclo,,,,,704.2
2015,Portugal,,02. Básico - 1º Ciclo,,,,,779.7
2015,Portugal,,03. Básico - 2º Ciclo,,,,,804.4
2015,Portugal,,04. Básico - 3º Ciclo,,,,,861.2
2015,Portugal,,05. Secundário,,,,,1072.3
2015,Portugal,,06. Curso técnico superior profissional,,,,x,
2015,Portugal,,07. Bacharelato,,,,,1803.3
2015,Portugal,,08. Licenciatura,,,,,1820.2
2015,Portugal,,09. Mestrado,,,,,1760.2
2015,Portugal,,10. Doutoramento,,,,,2487.4
2015,Portugal,,Total,,,,,1094.1
2016,Portugal,,01. Inferior ao 1.º ciclo,,,,,716.1
2016,Portugal,,02. Básico - 1º Ciclo,,,,,792.6
2016,Portugal,,03. Básico - 2º Ciclo,,,,,821.3
2016,Portugal,,04. Básico - 3º Ciclo,,,,,869.3
