01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Alcanena,Município,T3,,,, fogos,10
2011,Alcanena,Município,T4 ou mais,,,, fogos,4
2011,Alcanena,Município,Total,,,, fogos,18
2011,Alcobaça,Município,T0 ou T1,,,, fogos,6
2011,Alcobaça,Município,T2,,,, fogos,42
2011,Alcobaça,Município,T3,,,, fogos,107
2011,Alcobaça,Município,T4 ou mais,,,, fogos,17
2011,Alcobaça,Município,Total,,,, fogos,172
2011,Alcochete,Município,T0 ou T1,,,, fogos,1
2011,Alcochete,Município,T2,,,, fogos,7
2011,Alcochete,Município,T3,,,, fogos,16
2011,Alcochete,Município,T4 ou mais,,,, fogos,10
2011,Alcochete,Município,Total,,,, fogos,34
2011,Alcoutim,Município,T0 ou T1,,,, fogos,2
2011,Alcoutim,Município,T2,,,, fogos,1
2011,Alcoutim,Município,T3,,,, fogos,3
2011,Alcoutim,Município,T4 ou mais,,,, fogos,0
2011,Alcoutim,Município,Total,,,, fogos,6
2011,Alenquer,Município,T0 ou T1,,,, fogos,4
2011,Alenquer,Município,T2,,,, fogos,20
2011,Alenquer,Município,T3,,,, fogos,55
2011,Alenquer,Município,T4 ou mais,,,, fogos,26
2011,Alenquer,Município,Total,,,, fogos,105
2011,Alfândega da Fé,Município,T0 ou T1,,,, fogos,1
2011,Alfândega da Fé,Município,T2,,,, fogos,0
2011,Alfândega da Fé,Município,T3,,,, fogos,5
2011,Alfândega da Fé,Município,T4 ou mais,,,, fogos,8
2011,Alfândega da Fé,Município,Total,,,, fogos,14
2011,Alijó,Município,T0 ou T1,,,, fogos,0
2011,Alijó,Município,T2,,,, fogos,3
2011,Alijó,Município,T3,,,, fogos,2
2011,Alijó,Município,T4 ou mais,,,, fogos,5
2011,Alijó,Município,Total,,,, fogos,10
2011,Aljezur,Município,T0 ou T1,,,, fogos,9
2011,Aljezur,Município,T2,,,, fogos,10
2011,Aljezur,Município,T3,,,, fogos,23
2011,Aljezur,Município,T4 ou mais,,,, fogos,7
2011,Aljezur,Município,Total,,,, fogos,49
2011,Aljustrel,Município,T0 ou T1,,,, fogos,4
2011,Aljustrel,Município,T2,,,, fogos,4
2011,Aljustrel,Município,T3,,,, fogos,8
2011,Aljustrel,Município,T4 ou mais,,,, fogos,4
2011,Aljustrel,Município,Total,,,, fogos,20
2011,Almada,Município,T0 ou T1,,,, fogos,12
2011,Almada,Município,T2,,,, fogos,41
2011,Almada,Município,T3,,,, fogos,79
2011,Almada,Município,T4 ou mais,,,, fogos,48
2011,Almada,Município,Total,,,, fogos,180
2011,Almeida,Município,T0 ou T1,,,, fogos,0
2011,Almeida,Município,T2,,,, fogos,2
2011,Almeida,Município,T3,,,, fogos,0
2011,Almeida,Município,T4 ou mais,,,, fogos,3
2011,Almeida,Município,Total,,,, fogos,5
2011,Almeirim,Município,T0 ou T1,,,, fogos,3
2011,Almeirim,Município,T2,,,, fogos,10
2011,Almeirim,Município,T3,,,, fogos,43
2011,Almeirim,Município,T4 ou mais,,,, fogos,11
2011,Almeirim,Município,Total,,,, fogos,67
2011,Almodôvar,Município,T0 ou T1,,,, fogos,0
2011,Almodôvar,Município,T2,,,, fogos,0
2011,Almodôvar,Município,T3,,,, fogos,11
2011,Almodôvar,Município,T4 ou mais,,,, fogos,5
2011,Almodôvar,Município,Total,,,, fogos,16
2011,Alpiarça,Município,T0 ou T1,,,, fogos,2
2011,Alpiarça,Município,T2,,,, fogos,2
2011,Alpiarça,Município,T3,,,, fogos,7
2011,Alpiarça,Município,T4 ou mais,,,, fogos,1
2011,Alpiarça,Município,Total,,,, fogos,12
2011,Alter do Chão,Município,T0 ou T1,,,, fogos,0
2011,Alter do Chão,Município,T2,,,, fogos,1
2011,Alter do Chão,Município,T3,,,, fogos,0
2011,Alter do Chão,Município,T4 ou mais,,,, fogos,1
2011,Alter do Chão,Município,Total,,,, fogos,2
