;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
266;Município;Algarve;Faro;9517;37941;13570;15,6;62,2;22,2;2;17;34;24;7;9;203;6;1170,3;6,3;130,6;46,9;29;37,0162727;-7,9351771;Faro, Portugal;215,45792302979484;462,55768605352335;2,6;277,5;4,8;550,6;22,0;34;34
272;Município;Algarve;Portimao;9066;35172;11304;16,3;63,3;20,4;4;12;23;13;7;8;61;8;1049,2;11,3;105,6;35,8;18;37,19420955;-8,585577395168343;Portimão, Faro, Portugal;174,836398804448;439,1117987313429;2,6;281,6;4,8;554,6;29,0;33;34
269;Município;Algarve;Loule;10326;43662;14704;15,0;63,6;21,4;1;15;41;27;8;10;74;5;1049,6;8,7;109,3;51,3;37;37,21427465;-8,086523815250889;Loulé, Faro, Portugal;189,7194328213086;439,2189468304898;2,4;265,1;4,6;538,1;31,0;34;33
271;Município;Algarve;Olhao;6749;28444;9099;15,2;64,2;20,5;1;10;19;15;7;8;28;3;960,0;5,5;82,8;43,3;9;37,0270369;-7,8411287;Olhão, Faro, 8700-155, Portugal;218,6117048268173;462,47205975711023;2,7;285,5;4,9;558,5;25,0;29;29
262;Município;Algarve;Albufeira;6972;27585;7168;16,7;66,1;17,2;1;9;18;13;6;8;15;9;1004,5;17,2;114,1;61,6;16;37,144524;-8,214588148218034;Albufeira, Faro, Portugal;191,5095313621175;445,9361814943233;2,4;256,3;4,6;529,3;29,0;30;27
268;Município;Algarve;Lagos;4351;19432;6539;14,3;64,1;21,6;1;8;15;14;4;5;85;2;980,7;8,7;93,9;40,8;11;37,15313005;-8,74189647708612;Lagos, Faro, Portugal;176,00917454642843;443,8099912981088;2,8;301,1;5,0;574,1;24,0;31;27
274;Município;Algarve;Silves;5029;22542;8659;13,9;62,2;23,9;1;11;17;15;5;6;42;1;953,1;8,1;79,4;41,4;9;37,26398255;-8,34873166552471;Silves, Faro, Portugal;174,55845520010396;431,9556235444761;2,4;252,7;4,7;525,7;29,0;30;24
275;Município;Algarve;Tavira;3179;14748;6485;13,0;60,4;26,6;0;11;15;10;2;3;29;6;919,1;5,9;94,4;40,1;6;37,1262493;-7,6499121;Tavira, Faro, Portugal;218,85980354803544;454,299492523484;2,7;302,6;4,9;575,6;31,0;28;24
267;Município;Algarve;Lagoa;3265;14622;4866;14,4;64,3;21,4;0;8;14;8;4;5;48;0;1029,4;9,2;91,5;48,4;10;37,13258125;-8,455050948117309;Lagoa, Faro, Portugal;184,81909023022183;446,1489146913162;2,4;270,1;4,7;543,1;18,0;29;22
277;Município;Algarve;Vila Real de Santo Antonio;2705;11756;4233;14,5;62,9;22,6;0;5;8;5;3;4;7;0;941,0;7,7;93,2;41,5;6;37,194605200000005;-7,4155628;Vila Real de Santo António, Faro, Portugal;226,01752216500884;451,0334919827097;3,0;327,0;5,2;600,0;21,0;24;16
273;Município;Algarve;Sao Bras de Alportel;1435;6627;2332;13,8;63,8;22,4;0;2;5;5;1;2;5;1;972,3;4,0;87,8;36,6;6;37,152962200000005;-7,887913799999999;São Brás de Alportel, Faro, Portugal;204,5256880515869;448,0573169723657;2,6;283,2;4,8;556,2;28,0;21;15
263;Município;Algarve;Alcoutim;157;996;966;7,4;47,0;45,6;0;2;2;2;1;1;7;0;847,7;3,7;71,0;31,6;1;37,40232930000001;-7,669039394405186;Alcoutim, Faro, Portugal;193,8640021515842;423,86272553071854;2,9;268,8;5,1;541,8;31,0;15;13
264;Município;Algarve;Aljezur;705;3181;1711;12,6;56,8;30,6;0;3;3;3;1;2;1;0;855,9;6,3;67,1;56,6;2;37,3149035;-8,804785699999998;Aljezur, Faro, Portugal;157,3231149991621;426,04052785973954;3,0;318,4;5,2;591,5;23,0;15;13
265;Município;Algarve;Castro Marim;703;3808;1707;11,3;61,2;27,4;0;2;5;3;1;1;0;0;864,9;5,7;75,8;33,8;1;37,2179367;-7,4457102;Castro Marim, Faro, Portugal;222,3051351949796;447,9176061891993;2,9;323,7;5,1;596,7;31,0;14;13
270;Município;Algarve;Monchique;499;2724;1806;9,9;54,2;35,9;0;3;2;3;1;1;0;0;887,9;6,4;64,5;28,2;1;37,3179725;-8,5558655;Monchique, Faro, Portugal;162,47093350087485;425,3972874846498;2,7;256,5;4,9;529,5;23,0;14;13
276;Município;Algarve;Vila do Bispo;630;3136;1385;12,2;60,9;26,9;0;2;4;4;2;2;5;0;945,4;8,2;67,3;57,3;1;37,083166600000006;-8,9096544;Vila do Bispo, Faro, 8650-413, Portugal;181,421147363947;452,16840125730704;3,0;319,0;5,2;592,0;19,0;16;13
