;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
48;Barcelos;13,0;13,5;17,0;19,0;19,0;22,5;25,0;27,0;25,0;22,0;17,5;15,0
49;Barrancos;12,0;16,0;18,0;21,0;27,0;31,5;35,0;35,0;30,5;29,0;18,0;16,0
50;Barreiro;13,0;14,5;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;19,0;17,0
51;Batalha;12,0;15,0;16,0;19,0;20,0;22,5;24,0;26,0;26,0;23,0;18,0;16,5
52;Beira Baixa;26,0;27,0;27,0;27,0;30,0;32,5;34,0;32,0;31,0;30,0;27,0;26,0
53;Beiras e Serra da Estrela;12,0;14,5;18,0;21,0;22,0;26,5;29,0;31,0;25,0;25,0;19,0;16,0
54;Beja;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0;17,0
55;Belmonte;14,0;16,0;17,0;18,0;22,0;23,0;26,0;26,0;26,0;25,0;20,0;18,0
56;Benavente;13,0;16,0;14,0;20,0;19,0;26,0;27,0;29,0;24,0;21,0;12,5;17,0
57;Bombarral;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;18,0;17,0
58;Borba;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0;16,5
59;Boticas;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0;12,5
60;Braga;12,0;13,0;18,0;19,0;20,0;25,5;29,0;30,0;27,0;23,0;17,0;14,5
61;Braganca;8,0;10,5;15,0;16,0;20,0;25,0;30,0;32,0;24,0;20,0;13,5;11,0
62;Cabeceiras de Basto;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0;13,5
63;Cadaval;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,5;16,0
64;Caldas da Rainha;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;18,0;17,0
65;Calheta [R.A.A.];13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
66;Calheta [R.A.M.];13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
67;Camara de Lobos;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0;15,0
68;Caminha;12,0;13,0;16,0;17,5;17,0;20,0;22,0;23,0;23,0;21,0;17,0;15,0
69;Campo Maior;12,0;16,0;18,0;20,0;27,0;32,0;35,0;36,0;30,0;27,0;18,0;17,0
70;Cantanhede;13,0;15,0;17,0;20,0;21,0;24,0;25,0;27,0;27,0;23,0;18,5;17,0
71;Carrazeda de Ansiaes;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
72;Carregal do Sal;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0;13,5
73;Cartaxo;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;19,0;18,0
74;Cascais;14,0;15,0;16,0;17,0;18,0;19,0;21,0;22,0;24,0;22,0;18,0;17,0
75;Castanheira de Pera;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
76;Castelo Branco;11,0;13,5;18,0;19,0;25,0;30,5;34,0;35,0;29,0;25,0;17,0;15,0
77;Castelo de Paiva;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;13,5;12,5
78;Castelo de Vide;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;15,0;14,0
79;Castro Daire;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0;13,5
80;Castro Marim;14,0;16,0;18,0;19,0;24,0;26,0;29,0;29,0;29,0;26,0;20,0;18,0
81;Castro Verde;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0;17,0
82;Celorico da Beira;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;12,5;10,0
83;Celorico de Basto;12,0;13,0;19,0;19,5;21,0;27,5;30,0;32,0;28,0;23,0;16,5;14,0
84;Chamusca;10,0;11,0;16,0;17,5;21,0;26,5;31,0;33,0;27,0;23,0;15,0;13,0
85;Chaves;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0;12,5
86;Cinfaes;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;13,5;12,5
87;Coimbra;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
88;Condeixa-a-Nova;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0;16,0
89;Constancia;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;18,0;17,0
90;Coruche;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;19,0;18,0
91;Corvo;17,0;15,0;16,0;16,0;17,0;20,0;21,0;23,0;21,0;21,0;19,5;17,5
92;Covilha;10,0;12,0;16,0;17,0;22,0;28,0;31,0;33,0;26,0;23,0;15,5;13,0
93;Crato;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;15,0;14,0
94;Cuba;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0;17,0
95;Douro;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,5;17,0
96;Elvas;12,0;16,0;18,0;20,0;27,0;32,0;35,0;36,0;30,0;27,0;18,0;17,0
97;Entroncamento;13,0;16,0;18,0;20,5;23,0;28,0;30,0;32,0;30,0;25,0;19,0;17,0
