;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
123;Município;Centro;Penacova;1283;8413;3974;9,4;61,5;29,1;0;7;9;6;2;3;0;0;979,1;2,9;64,6;15,5;4;40,2702086;-8,2810743;Penacova, Coimbra, Portugal;188,4355536007536;101,53566182887144;2,2;229,1;1,3;131,2;31,0;18;17
128;Município;Centro;Alvaiazere;598;3913;2083;9,1;59,3;31,6;1;4;2;2;1;1;25;0;887,9;3,3;67,6;24,4;3;39,8161333;-8,402046167354706;Alvaiázere, Leiria, Portugal;138,42221761404966;149,11086089856315;1,7;168,7;1,6;172,1;28,0;16;16
151;Município;Centro;Vouzela;926;5886;2810;9,6;61,2;29,2;0;4;8;9;2;3;13;0;937,2;5,5;65,1;22,6;2;40,6754515;-8,148433712602197;Vouzela, Viseu, Portugal;234,332905830742;65,48312531368515;2,9;303,6;1,1;104,7;12,0;16;16
153;Município;Centro;Idanha-a-Nova;748;4123;3114;9,4;51,6;39,0;0;8;9;5;1;2;2;0;906,7;7,7;68,8;35,8;1;39,87697385;-7,114231633979988;Idanha-a-Nova, Castelo Branco, Portugal;217,4496491677345;189,8703231731648;2,7;264,6;3,0;306,6;27,0;17;16
109;Município;Centro;Arganil;1103;6836;3064;10,0;62,1;27,8;0;4;7;6;2;2;21;1;861,1;5,5;69,0;23,5;3;40,2202451;-7,98070022310108;Arganil, Coimbra, Portugal;195,1703569651576;116,1218654677935;2,6;258,9;1,7;161,0;34,0;17;16
182;Município;Centro;Pinhel;703;4870;2899;8,3;57,5;34,2;0;5;4;5;1;1;15;0;855,3;3,3;64,0;29,7;2;40,7794281;-7,103199344011852;Pinhel, Guarda, 6400-358 PINHEL, Portugal;288,56998122277787;133,3941345156743;3,3;346,1;2,2;215,3;14,0;16;16
139;Município;Centro;Carregal do Sal;1035;5789;2469;11,1;62,3;26,6;0;4;2;2;2;3;0;0;984,1;4,6;72,7;28,0;3;40,43340739999999;-8,0030203;Carregal do Sal, Viseu, Portugal;214,92607603629108;94,6255599482582;2,6;263,2;1,7;154,5;21,0;15;16
170;Município;Centro;Vila Nova da Barquinha;904;4685;1916;12,0;62,4;25,5;0;3;6;2;1;1;1;0;864,6;3,4;72,9;20,3;1;39,4840045;-8,429939692509734;Vila Nova da Barquinha, Santarém, Portugal;105,65754903760656;185,5700495110844;1,4;125,8;2,1;216,8;36,0;16;16
147;Município;Centro;Satao;1163;7541;2905;10,0;65,0;25,0;0;3;8;5;2;3;1;1;815,0;5,3;62,7;12,0;3;40,7426067;-7,733674099999999;Sátão, Viseu, Portugal;255,9413878436196;86,57934620076936;3,3;316,3;1,6;146,1;21,0;16;16
127;Município;Centro;Vila Nova de Poiares;813;4800;1337;11,7;69,1;19,2;0;2;5;3;1;1;0;0;956,5;4,6;71,4;19,7;2;40,2106048;-8,2562951;Vila Nova de Poiares, Coimbra, Portugal;183,24517479851207;108,4783638339622;2,3;219,9;1,5;141,7;15,0;14;15
180;Município;Centro;Manteigas;233;1829;935;7,8;61,0;31,2;0;2;2;1;1;1;16;0;852,8;4,6;67,1;15,7;1;40,4005617;-7,5408682;Manteigas, Guarda, 6260-109, Portugal;232,6551606311908;122,77644705209364;3,3;315,2;2,6;196,5;21,0;15;15
173;Município;Centro;Celorico da Beira;661;4173;2098;9,5;60,2;30,3;0;4;5;6;1;1;1;0;979,2;5,5;66,9;25,8;2;40,6358841;-7,392844599999999;Celorico da Beira, Guarda, Portugal;261,16439277049074;117,41749755150336;3,2;342,9;1,7;176,0;14,0;16;15
172;Município;Centro;Belmonte;643;3992;1756;10,1;62,5;27,5;0;2;7;2;1;1;27;0;856,0;5,6;71,7;34,3;2;40,32961285;-7,332043174506962;Belmonte, Castelo Branco, Portugal;237,69239205125825;141,2584711473509;2,8;291,2;2,2;226,8;26,0;15;15
145;Município;Centro;Santa Comba Dao;1115;6356;2979;10,7;60,8;28,5;0;4;4;3;1;1;8;0;923,5;4,8;73,9;23,4;2;40,39920165;-8,111687962553718;Santa Comba Dão, Viseu, Portugal;207,42396295522224;93,36285941206378;2,5;255,5;1,6;133,4;12,0;15;15
165;Município;Centro;Sardoal;352;2425;953;9,4;65,0;25,5;0;2;2;1;1;1;0;1;843,8;5,8;67,8;28,4;1;39,53347;-8,16034;Sardoal, Santarém, Portugal;124,62150047731949;183,4759620156576;1,6;151,2;2,3;242,4;34,0;15;15
163;Município;Centro;Macao;457;3575;2199;7,3;57,4;35,3;0;5;3;2;1;1;0;0;912,5;4,7;70,6;19,7;2;39,554608;-7,9957035;Mação, Santarém, Portugal;136,27147017811816;184,64031441022968;1,9;175,6;2,5;225,1;34,0;15;15
