01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2012,Portugal,,De emigrantes,,,, milhares de euros,6000103
2012,Portugal,,De outros clientes,,,, milhares de euros,180567702
2012,Portugal,,Total,,,, milhares de euros,186567805
2013,Portugal,,De emigrantes,,,, milhares de euros,6106781
2013,Portugal,,De outros clientes,,,, milhares de euros,188687801
2013,Portugal,,Total,,,, milhares de euros,194794581
2014,Portugal,,De emigrantes,,,, milhares de euros,6310560
2014,Portugal,,De outros clientes,,,, milhares de euros,196640861
2014,Portugal,,Total,,,, milhares de euros,202951420
2015,Portugal,,De emigrantes,,,, milhares de euros,7367052
2015,Portugal,,De outros clientes,,,, milhares de euros,192338617
2015,Portugal,,Total,,,, milhares de euros,199705668
2016,Portugal,,De emigrantes,,,, milhares de euros,6308436
2016,Portugal,,De outros clientes,,,r, milhares de euros,199049471
2016,Portugal,,Total,,,r, milhares de euros,205357907
2017,Portugal,,De emigrantes,,,, milhares de euros,6175060
2017,Portugal,,De outros clientes,,,r, milhares de euros,205843132
2017,Portugal,,Total,,,r, milhares de euros,212018191
2018,Portugal,,De emigrantes,,,r, milhares de euros,6242470
2018,Portugal,,De outros clientes,,,r, milhares de euros,216750126
2018,Portugal,,Total,,,, milhares de euros,222992596
2019,Portugal,,De emigrantes,,,, milhares de euros,6161376
2019,Portugal,,De outros clientes,,,, milhares de euros,224447224
2019,Portugal,,Total,,,, milhares de euros,230608600
2020,Portugal,,De emigrantes,,,, milhares de euros,6164066
2020,Portugal,,De outros clientes,,,, milhares de euros,239378091
2020,Portugal,,Total,,,, milhares de euros,245542157
2021,Portugal,,De emigrantes,,,, milhares de euros,6167685
2021,Portugal,,De outros clientes,,,, milhares de euros,261257635
2021,Portugal,,Total,,,, milhares de euros,267425320
2022,Portugal,,De emigrantes,,,, milhares de euros,6058984
2022,Portugal,,De outros clientes,,,, milhares de euros,272759444
2022,Portugal,,Total,,,, milhares de euros,278818428
2023,Portugal,,De emigrantes,,,, milhares de euros,5573106
2023,Portugal,,De outros clientes,,,, milhares de euros,269112654
2023,Portugal,,Total,,,, milhares de euros,274685760
2012,Abrantes,Município,De emigrantes,,,, milhares de euros,7594
2012,Abrantes,Município,De outros clientes,,,, milhares de euros,367392
2012,Abrantes,Município,Total,,,, milhares de euros,374987
2012,Águeda,Município,De emigrantes,,,, milhares de euros,25553
2012,Águeda,Município,De outros clientes,,,, milhares de euros,639531
2012,Águeda,Município,Total,,,, milhares de euros,665084
2012,Aguiar da Beira,Município,De emigrantes,,,, milhares de euros,19892
2012,Aguiar da Beira,Município,De outros clientes,,,, milhares de euros,121365
2012,Aguiar da Beira,Município,Total,,,, milhares de euros,141257
2012,Alandroal,Município,De emigrantes,,,, milhares de euros,99
2012,Alandroal,Município,De outros clientes,,,, milhares de euros,38709
2012,Alandroal,Município,Total,,,, milhares de euros,38807
2012,Albergaria-a-Velha,Município,De emigrantes,,,, milhares de euros,15157
2012,Albergaria-a-Velha,Município,De outros clientes,,,, milhares de euros,244751
2012,Albergaria-a-Velha,Município,Total,,,, milhares de euros,259907
2012,Albufeira,Município,De emigrantes,,,, milhares de euros,10238
2012,Albufeira,Município,De outros clientes,,,, milhares de euros,532322
2012,Albufeira,Município,Total,,,, milhares de euros,542560
2012,Alcácer do Sal,Município,De emigrantes,,,, milhares de euros,821
2012,Alcácer do Sal,Município,De outros clientes,,,, milhares de euros,128738
2012,Alcácer do Sal,Município,Total,,,, milhares de euros,129559
2012,Alcanena,Município,De emigrantes,,,, milhares de euros,11138
2012,Alcanena,Município,De outros clientes,,,, milhares de euros,155343
2012,Alcanena,Município,Total,,,, milhares de euros,166481
2012,Alcobaça,Município,De emigrantes,,,, milhares de euros,16706
2012,Alcobaça,Município,De outros clientes,,,, milhares de euros,612742
2012,Alcobaça,Município,Total,,,, milhares de euros,629449
2012,Alcochete,Município,De emigrantes,,,, milhares de euros,1823
2012,Alcochete,Município,De outros clientes,,,, milhares de euros,108805
2012,Alcochete,Município,Total,,,, milhares de euros,110628
2012,Alcoutim,Município,De emigrantes,,,, milhares de euros,1202
2012,Alcoutim,Município,De outros clientes,,,, milhares de euros,57790
2012,Alcoutim,Município,Total,,,, milhares de euros,58992
2012,Alenquer,Município,De emigrantes,,,, milhares de euros,5378
2012,Alenquer,Município,De outros clientes,,,, milhares de euros,316242
2012,Alenquer,Município,Total,,,, milhares de euros,321620
2012,Alfândega da Fé,Município,De emigrantes,,,, milhares de euros,8346
2012,Alfândega da Fé,Município,De outros clientes,,,, milhares de euros,65732
2012,Alfândega da Fé,Município,Total,,,, milhares de euros,74078
2012,Alijó,Município,De emigrantes,,,, milhares de euros,5588
2012,Alijó,Município,De outros clientes,,,, milhares de euros,119905
2012,Alijó,Município,Total,,,, milhares de euros,125493
2012,Aljezur,Município,De emigrantes,,,, milhares de euros,815
2012,Aljezur,Município,De outros clientes,,,, milhares de euros,82561
2012,Aljezur,Município,Total,,,, milhares de euros,83377
2012,Aljustrel,Município,De emigrantes,,,, milhares de euros,3690
2012,Aljustrel,Município,De outros clientes,,,, milhares de euros,86033
2012,Aljustrel,Município,Total,,,, milhares de euros,89723
2012,Almada,Município,De emigrantes,,,, milhares de euros,37568
2012,Almada,Município,De outros clientes,,,, milhares de euros,2003109
2012,Almada,Município,Total,,,, milhares de euros,2040677
2012,Almeida,Município,De emigrantes,,,, milhares de euros,12322
2012,Almeida,Município,De outros clientes,,,, milhares de euros,131096
2012,Almeida,Município,Total,,,, milhares de euros,143419
2012,Almeirim,Município,De emigrantes,,,, milhares de euros,6283
2012,Almeirim,Município,De outros clientes,,,, milhares de euros,226907
2012,Almeirim,Município,Total,,,, milhares de euros,233190
2012,Almodôvar,Município,De emigrantes,,,, milhares de euros,9227
2012,Almodôvar,Município,De outros clientes,,,, milhares de euros,101165
2012,Almodôvar,Município,Total,,,, milhares de euros,110392
2012,Alpiarça,Município,De emigrantes,,,, milhares de euros,1493
2012,Alpiarça,Município,De outros clientes,,,, milhares de euros,54091
2012,Alpiarça,Município,Total,,,, milhares de euros,55584
2012,Alter do Chão,Município,De emigrantes,,,..., milhares de euros,
2012,Alter do Chão,Município,De outros clientes,,,..., milhares de euros,
2012,Alter do Chão,Município,Total,,,..., milhares de euros,
2012,Alvaiázere,Município,De emigrantes,,,, milhares de euros,10733
2012,Alvaiázere,Município,De outros clientes,,,, milhares de euros,98298
2012,Alvaiázere,Município,Total,,,, milhares de euros,109030
2012,Alvito,Município,De emigrantes,,,..., milhares de euros,
2012,Alvito,Município,De outros clientes,,,..., milhares de euros,
2012,Alvito,Município,Total,,,..., milhares de euros,
2012,Amadora,Município,De emigrantes,,,, milhares de euros,15039
2012,Amadora,Município,De outros clientes,,,, milhares de euros,1527467
2012,Amadora,Município,Total,,,, milhares de euros,1542506
2012,Amarante,Município,De emigrantes,,,, milhares de euros,25289
2012,Amarante,Município,De outros clientes,,,, milhares de euros,481421
2012,Amarante,Município,Total,,,, milhares de euros,506710
2012,Amares,Município,De emigrantes,,,, milhares de euros,20433
2012,Amares,Município,De outros clientes,,,, milhares de euros,176709
2012,Amares,Município,Total,,,, milhares de euros,197142
