iter	Passed	Remaining
429	1657	2197
430	1661	2194
431	1666	2190
432	1669	2186
433	1673	2182
434	1677	2178
435	1682	2176
436	1687	2173
437	1690	2169
438	1694	2165
439	1697	2160
440	1701	2157
441	1704	2152
442	1709	2148
443	1713	2145
444	1716	2140
445	1720	2137
446	1726	2135
447	1730	2132
448	1734	2128
449	1737	2123
450	1741	2120
451	1744	2114
452	1747	2110
453	1750	2105
454	1754	2101
455	1757	2097
456	1761	2093
457	1764	2088
458	1768	2084
459	1771	2079
460	1774	2075
461	1778	2071
462	1784	2069
463	1787	2064
464	1790	2060
465	1793	2055
466	1798	2052
467	1801	2048
468	1804	2043
469	1808	2039
470	1812	2035
471	1816	2031
472	1820	2028
473	1823	2023
474	1826	2019
475	1830	2014
476	1833	2010
477	1836	2006
478	1839	2001
479	1842	1996
480	1846	1992
481	1850	1988
482	1852	1983
483	1855	1978
484	1859	1974
485	1862	1970
486	1868	1967
487	1870	1962
488	1873	1957
489	1876	1952
490	1879	1948
491	1882	1943
492	1885	1939
493	1889	1935
494	1892	1930
495	1895	1926
496	1900	1923
497	1904	1919
498	1907	1915
499	1910	1910
500	1914	1906
501	1917	1902
502	1922	1899
503	1925	1894
504	1928	1890
505	1931	1885
506	1935	1882
507	1940	1879
508	1944	1875
509	1948	1872
510	1952	1868
511	1956	1864
512	1959	1859
513	1962	1855
514	1965	1851
515	1970	1847
516	1973	1843
517	1977	1839
518	1980	1835
519	1985	1832
520	1988	1827
521	1991	1823
522	1994	1819
523	1998	1815
524	2001	1810
525	2005	1806
526	2010	1804
527	2013	1800
528	2017	1795
529	2019	1791
530	2023	1786
531	2026	1782
532	2033	1781
533	2035	1776
534	2039	1772
535	2042	1768
536	2045	1763
537	2048	1758
538	2051	1754
539	2055	1750
540	2058	1746
541	2061	1741
542	2064	1737
543	2067	1733
544	2072	1730
545	2075	1725
546	2078	1721
547	2082	1717
548	2086	1713
549	2090	1710
550	2094	1706
551	2098	1702
552	2101	1698
553	2106	1695
554	2109	1691
555	2113	1687
556	2116	1682
557	2120	1680
558	2125	1677
559	2130	1674
560	2137	1672
561	2142	1670
562	2146	1665
563	2150	1662
564	2153	1658
565	2157	1653
566	2160	1650
567	2164	1646
568	2168	1642
569	2172	1639
570	2175	1634
571	2180	1631
572	2184	1627
573	2187	1623
574	2191	1619
575	2196	1616
576	2199	1612
577	2202	1608
578	2205	1603
579	2208	1599
580	2212	1595
581	2215	1591
582	2220	1588
583	2223	1583
584	2226	1579
585	2229	1575
586	2233	1571
587	2236	1567
588	2240	1563
589	2244	1559
590	2247	1555
591	2250	1551
592	2255	1547
593	2258	1543
594	2261	1539
595	2264	1535
596	2267	1530
597	2271	1526
598	2274	1522
599	2278	1519
600	2282	1515
601	2286	1511
602	2289	1507
603	2294	1504
604	2297	1499
605	2299	1495
606	2303	1491
607	2306	1487
608	2309	1482
609	2312	1478
610	2316	1474
611	2318	1470
612	2322	1466
613	2325	1461
614	2328	1457
615	2331	1453
616	2334	1448
617	2336	1444
618	2340	1440
619	2345	1437
620	2347	1432
621	2351	1428
622	2355	1425
623	2360	1422
624	2363	1418
625	2367	1414
626	2372	1411
627	2375	1407
628	2379	1403
629	2383	1399
630	2385	1395
631	2389	1391
632	2391	1386
633	2396	1383
634	2401	1380
635	2405	1376
636	2408	1372
637	2412	1368
638	2416	1365
639	2420	1361
640	2424	1357
641	2428	1354
642	2432	1350
643	2436	1346
644	2439	1342
645	2442	1338
646	2446	1334
647	2449	1330
648	2453	1326
649	2458	1323
650	2461	1319
651	2464	1315
652	2467	1311
653	2472	1308
654	2475	1303
655	2479	1300
656	2482	1295
657	2485	1291
658	2488	1287
659	2492	1284
660	2496	1280
661	2500	1276
662	2503	1272
663	2507	1268
664	2510	1264
665	2515	1261
666	2518	1257
667	2521	1252
668	2523	1248
669	2527	1244
670	2530	1240
671	2534	1236
672	2537	1232
673	2541	1229
674	2545	1225
675	2549	1221
676	2554	1218
677	2558	1215
678	2561	1211
679	2564	1206
680	2567	1202
681	2571	1199
682	2574	1194
683	2577	1191
684	2581	1187
685	2586	1183
686	2589	1179
687	2591	1175
688	2595	1171
689	2599	1167
690	2602	1163
691	2605	1159
692	2608	1155
693	2611	1151
694	2616	1148
695	2619	1144
696	2623	1140
697	2627	1136
698	2630	1132
699	2633	1128
700	2637	1124
701	2640	1120
702	2643	1116
703	2646	1112
704	2651	1109
705	2654	1105
706	2657	1101
707	2660	1097
708	2664	1093
709	2669	1090
710	2673	1086
711	2675	1082
712	2678	1078
713	2682	1074
714	2685	1070
715	2688	1066
716	2693	1062
717	2696	1058
718	2701	1055
719	2704	1051
720	2708	1048
721	2711	1044
722	2715	1040
723	2719	1036
724	2722	1032
725	2726	1029
726	2729	1025
727	2733	1021
728	2737	1017
729	2740	1013
730	2743	1009
731	2746	1005
732	2750	1001
733	2752	997
734	2758	994
735	2762	990
736	2765	987
737	2769	983
738	2773	979
739	2779	976
740	2782	972
741	2786	968
742	2789	964
743	2793	961
744	2796	957
745	2799	953
746	2804	949
747	2808	946
748	2812	942
749	2816	938
750	2820	935
751	2825	931
752	2828	927
753	2832	924
754	2836	920
755	2840	916
756	2843	912
757	2847	909
758	2851	905
759	2856	902
760	2861	898
761	2866	895
762	2870	891
763	2874	887
764	2878	884
765	2881	880
766	2885	876
767	2888	872
768	2892	868
769	2896	865
770	2899	861
771	2902	857
772	2905	853
773	2909	849
774	2913	845
775	2916	841
776	2919	837
777	2923	834
778	2926	830
779	2929	826
780	2933	822
781	2936	818
782	2939	814
783	2942	810
784	2945	806
785	2949	803
786	2953	799
787	2957	795
788	2960	791
789	2963	787
790	2967	784
791	2970	780
792	2974	776
793	2977	772
794	2981	768
795	2984	764
796	2987	760
797	2991	757
798	2996	753
799	3001	750
800	3006	746
801	3010	743
802	3013	739
803	3017	735
804	3020	731
805	3023	727
806	3027	724
807	3031	720
808	3034	716
809	3037	712
810	3041	708
811	3043	704
812	3046	700
813	3049	696
814	3053	693
815	3056	689
816	3059	685
817	3064	681
818	3067	677
819	3071	674
820	3075	670
821	3078	666
822	3081	662
823	3085	659
824	3088	655
825	3093	651
826	3096	647
827	3100	643
828	3103	640
829	3106	636
830	3109	632
831	3113	628
832	3117	625
833	3121	621
834	3126	617
835	3129	613
836	3133	610
837	3136	606
838	3139	602
839	3143	598
840	3147	595
841	3150	591
842	3153	587
843	3156	583
844	3160	579
845	3163	575
846	3167	572
847	3170	568
848	3173	564
849	3176	560
850	3179	556
851	3182	552
852	3186	549
853	3190	545
854	3194	541
855	3197	537
856	3200	534
857	3204	530
858	3206	526
859	3210	522
860	3212	518
861	3215	514
862	3220	511
863	3222	507
864	3226	503
865	3230	499
866	3234	496
867	3238	492
868	3242	488
869	3249	485
870	3252	481
871	3256	477
872	3259	474
873	3263	470
874	3267	466
875	3271	463
876	3275	459
877	3278	455
878	3281	451
879	3285	448
880	3289	444
881	3292	440
882	3295	436
883	3298	432
884	3301	429
885	3304	425
886	3306	421
887	3309	417
888	3312	413
889	3314	409
890	3316	405
891	3319	401
892	3321	398
893	3324	394
894	3326	390
895	3329	386
896	3331	382
897	3333	378
898	3336	374
899	3348	372
900	3358	369
901	3368	366
902	3379	362
903	3389	359
904	3396	356
905	3400	352
906	3404	349
907	3407	345
908	3411	341
909	3414	337
910	3417	333
911	3420	330
912	3423	326
913	3432	323
914	3443	319
915	3453	316
916	3463	313
917	3469	309
918	3474	306
919	3478	302
920	3482	298
921	3485	294
922	3488	291
923	3491	287
924	3494	283
925	3497	279
926	3499	275
927	3502	271
928	3504	267
929	3506	263
930	3509	260
931	3511	256
932	3513	252
933	3515	248
934	3517	244
935	3519	240
936	3521	236
937	3523	232
938	3525	229
939	3527	225
940	3529	221
941	3532	217
942	3534	213
943	3536	209
944	3538	205
945	3540	202
946	3543	198
947	3545	194
948	3547	190
949	3549	186
950	3550	182
951	3552	179
952	3554	175
953	3556	171
954	3558	167
955	3559	163
956	3561	160
957	3563	156
958	3565	152
959	3567	148
960	3569	144
961	3570	141
962	3572	137
963	3574	133
964	3576	129
965	3578	125
966	3580	122
967	3582	118
968	3584	114
969	3586	110
970	3588	107
971	3590	103
972	3592	99
973	3595	95
974	3597	92
975	3599	88
976	3600	84
977	3602	81
978	3604	77
979	3606	73
980	3608	69
981	3610	66
982	3611	62
983	3613	58
984	3615	55
985	3617	51
986	3619	47
987	3620	43
988	3622	40
989	3624	36
990	3626	32
991	3628	29
992	3629	25
993	3631	21
994	3633	18
995	3635	14
996	3637	10
997	3638	7
998	3640	3
999	3642	0
