iter	RMSE
203	180.9454366
204	180.8243474
205	180.6546015
206	180.498348
207	180.2765244
208	180.0536632
209	179.793909
210	179.5214506
211	179.2898814
212	179.1794119
213	179.069192
214	178.9493473
215	178.8226428
216	178.6674635
217	178.5152274
218	178.4137314
219	178.3212611
220	178.2064496
221	178.0229693
222	177.9036412
223	177.7748465
224	177.5680123
225	177.3153862
226	177.1791971
227	176.9850466
228	176.8802216
229	176.7794838
230	176.6340075
231	176.4016944
232	176.298458
233	176.2245136
234	175.9900175
235	175.7762272
236	175.6765314
237	175.5383565
238	175.4165281
239	175.2996157
240	175.1327436
241	174.9316698
242	174.7512097
243	174.6049395
244	174.4064031
245	174.3260487
246	174.0660607
247	173.9397873
248	173.7331874
249	173.631434
250	173.5312674
251	173.4366222
252	173.3117672
253	173.1874797
254	173.0790228
255	172.9896582
256	172.7807999
257	172.6549404
258	172.5050849
259	172.3752211
260	172.2596199
261	172.1432906
262	171.9511611
263	171.8632347
264	171.6652766
265	171.5326093
266	171.440297
267	171.2331142
268	171.1205159
269	171.0324328
270	170.8682265
271	170.6975596
272	170.5030808
273	170.3416934
274	170.212576
275	170.1228994
276	169.9759946
277	169.8610195
278	169.7294728
279	169.6557288
280	169.5501601
281	169.388015
282	169.2302085
283	169.0796781
284	168.9964874
285	168.8735098
286	168.7629262
287	168.6468196
288	168.4730543
289	168.4112751
290	168.2916128
291	168.116122
292	167.9723615
293	167.8483949
294	167.7470632
295	167.5877987
296	167.4430209
297	167.3011617
298	167.1371308
299	167.0107524
300	166.9480228
301	166.8580855
302	166.7553561
303	166.6126892
304	166.4989614
305	166.3842563
306	166.2779887
307	166.1809806
308	165.8969756
309	165.7967422
310	165.7063683
311	165.5618956
312	165.3794364
313	165.2901649
314	165.1808565
315	165.0659618
316	164.9221693
317	164.8078412
318	164.7542183
319	164.6711957
320	164.5823955
321	164.4628235
322	164.3662835
323	164.2089364
324	164.1347384
325	164.0204087
326	163.9297629
327	163.8381815
328	163.7373821
329	163.630322
330	163.5336234
331	163.4349281
332	163.3540611
333	163.2290607
334	163.1347688
335	163.0564767
336	162.965503
337	162.8614665
338	162.7709594
339	162.6882232
340	162.595922
341	162.4444203
342	162.3341198
343	162.1970447
344	162.085498
345	161.9695757
346	161.8806418
347	161.8222369
348	161.7150336
349	161.622345
350	161.5124931
351	161.4250682
352	161.3527228
353	161.2722049
354	161.1136423
355	161.0292615
356	160.8663208
357	160.6556642
358	160.542868
359	160.3908753
360	160.3024272
361	160.209863
362	160.0827609
363	159.9913041
364	159.8870607
365	159.7410514
366	159.6405634
367	159.5427947
368	159.4741941
369	159.371794
370	159.1820206
371	159.0966398
372	159.0454118
373	158.9865296
374	158.9369207
375	158.7914231
376	158.6212948
377	158.4285371
378	158.3566362
379	158.2739349
380	158.1833646
381	158.1267441
382	158.0358002
383	157.9417423
384	157.8335326
385	157.7968239
386	157.6812415
387	157.6754751
388	157.5841049
389	157.4912102
390	157.4233784
391	157.2987214
392	157.1939618
393	157.1204176
394	156.9713352
395	156.8883405
396	156.8310046
397	156.7091632
398	156.6097021
399	156.5316887
400	156.4643965
401	156.322293
402	156.2420386
403	156.0516688
404	155.9610994
405	155.8676936
406	155.7501567
407	155.6844094
408	155.578589
409	155.4693359
410	155.3941646
411	155.2990707
412	155.2000098
413	155.1407884
414	155.0236464
415	154.9445777
416	154.8144957
417	154.7390729
418	154.6594425
419	154.5625646
420	154.4449586
421	154.3576228
422	154.2492605
423	154.0879221
424	153.9654057
425	153.8853508
426	153.8152035
427	153.7396004
428	153.654055
429	153.5726512
430	153.5229802
431	153.3678062
432	153.253965
433	153.1051193
434	153.0489233
435	152.9875118
436	152.8575386
437	152.7711735
438	152.6247753
439	152.540931
440	152.4652094
441	152.336716
442	152.265003
443	152.0765765
444	151.9796716
445	151.903901
446	151.7937593
447	151.7148338
448	151.6397043
449	151.5810733
450	151.4897647
451	151.3526149
452	151.2178146
453	151.1233247
454	151.0549766
455	150.9193586
456	150.8274792
457	150.7415548
458	150.6815596
459	150.6247913
460	150.5405088
461	150.4657109
462	150.4067011
463	150.3230593
464	150.2526318
465	150.0762715
466	150.0126922
467	149.9432683
468	149.8186512
469	149.7323405
470	149.6386758
471	149.5299008
472	149.4269271
473	149.3870664
474	149.2829327
475	149.2301586
476	149.1574664
477	149.0779212
478	149.0137359
479	148.883038
480	148.807623
481	148.6987687
482	148.6446971
483	148.5512723
484	148.4875303
485	148.3399799
486	148.2072616
487	148.1379409
488	148.1014202
489	147.9755881
490	147.9152689
491	147.8673885
492	147.8631306
493	147.7968709
494	147.7366642
495	147.6114146
496	147.5432578
497	147.4469838
498	147.3771885
499	147.3103826
500	147.2416187
501	147.1330921
502	147.0530432
503	146.9929743
504	146.9315772
505	146.8555468
506	146.7778815
507	146.7065432
508	146.6395966
509	146.4769015
510	146.426012
511	146.3202697
512	146.3183855
513	146.2542646
514	146.1465401
515	146.1147587
516	146.0284312
517	145.9150167
518	145.8345398
519	145.7749958
520	145.7052443
521	145.6523491
522	145.6122505
523	145.532722
524	145.4609082
525	145.3657587
526	145.2603172
527	145.1814174
528	145.0762074
529	145.0002632
530	144.8706132
531	144.793227
532	144.7416951
533	144.6913517
534	144.5948805
535	144.5514806
536	144.3885217
537	144.3396021
538	144.3051249
539	144.2570972
540	144.187156
541	144.1131528
542	143.965683
543	143.8494154
544	143.7913761
545	143.6907353
546	143.6259663
547	143.5560989
548	143.4978421
549	143.4485916
550	143.3598443
551	143.287894
552	143.1743509
553	143.1340859
554	142.9916988
555	142.8502139
556	142.8095384
557	142.6935551
558	142.6325913
559	142.5595116
560	142.461877
561	142.393154
562	142.2820512
563	142.2398761
564	142.1893248
565	142.1186271
566	142.0565234
567	141.9899443
568	141.9035571
569	141.8330108
570	141.7613595
571	141.6933478
572	141.6650424
573	141.5617351
574	141.4917892
575	141.3757139
576	141.2551814
577	141.1410415
578	141.0645434
579	140.9378884
580	140.8481765
581	140.7548245
582	140.7029566
583	140.5664716
584	140.4965736
585	140.4218611
586	140.3253311
587	140.2331835
588	140.1812516
589	140.095925
590	140.0396065
591	139.9864712
592	139.8791586
593	139.8214307
594	139.7562146
595	139.6993427
596	139.6461811
597	139.5760963
598	139.5029325
599	139.4442396
600	139.3272095
601	139.2792431
602	139.1903159
603	139.1275304
604	139.0028537
605	138.8932885
606	138.8914612
607	138.8339185
608	138.7377229
609	138.6803166
610	138.6317569
611	138.5770817
612	138.5039382
613	138.4087962
614	138.3166327
615	138.2489352
616	138.200073
617	138.1089544
618	138.0602265
619	138.0312112
620	137.9443497
621	137.9037693
622	137.8022997
623	137.7526129
624	137.6954186
625	137.6044638
626	137.5575028
627	137.5133974
628	137.4685376
629	137.4212761
630	137.362534
631	137.2670458
632	137.2213165
633	137.1600336
634	137.1168744
635	137.0565936
636	136.9699019
637	136.9252124
638	136.8158666
639	136.7158242
640	136.6778029
641	136.5844055
642	136.51207
643	136.4255868
644	136.4014186
645	136.3523275
646	136.3070051
647	136.2170043
648	136.1304455
649	136.0547783
650	135.950753
651	135.8543196
652	135.7659222
653	135.7077305
654	135.6222148
655	135.5491309
656	135.5264018
657	135.4427972
658	135.3872011
659	135.3409846
660	135.3045864
661	135.2042547
662	135.1150197
663	135.0210103
664	134.9419394
665	134.9207569
666	134.8821317
667	134.8004275
668	134.7071678
669	134.6535193
670	134.5946147
671	134.5451868
672	134.493671
673	134.4200033
674	134.3944114
675	134.3307374
676	134.2536939
677	134.2110999
678	134.1486932
679	134.1018116
680	133.9971488
681	133.9955566
682	133.9927031
683	133.9139753
684	133.8341677
685	133.7541299
686	133.7054015
687	133.7038926
688	133.6621712
689	133.6171254
690	133.5673832
691	133.5192954
692	133.4442417
693	133.3929921
694	133.3489312
695	133.269402
696	133.2382816
697	133.2356432
698	133.2342799
699	133.183501
700	133.1312
701	133.0624795
702	133.0092156
703	132.9516549
704	132.8655893
705	132.8078618
706	132.6973501
707	132.6509309
708	132.6016524
709	132.5475664
710	132.5181959
711	132.5168793
712	132.4545739
713	132.4239015
714	132.3291924
715	132.2756815
716	132.1635188
717	132.0859079
718	132.0364832
719	131.9945005
720	131.9172359
721	131.8777291
722	131.8223873
723	131.7282164
724	131.6261761
725	131.6239592
726	131.5612501
727	131.5123675
728	131.476678
729	131.47539
730	131.4741406
731	131.3927893
732	131.390632
733	131.327912
734	131.3267892
735	131.1892855
736	131.0838476
737	131.0263617
738	130.9940049
739	130.9561342
740	130.9091537
741	130.8421992
742	130.7998151
743	130.7190185
744	130.6284662
745	130.5293228
746	130.4708761
747	130.4257918
748	130.3764616
749	130.3292207
750	130.2795998
751	130.2120402
752	130.1454881
753	130.1064491
754	130.0233793
755	129.9628531
756	129.9196604
757	129.8718853
758	129.812439
759	129.7666096
760	129.6672915
761	129.5823954
762	129.4966472
763	129.4179029
764	129.3533082
765	129.2950553
766	129.2557178
767	129.215105
768	129.1514773
769	129.1079351
770	129.0329544
771	128.9652969
772	128.8946993
773	128.8639063
774	128.8113399
775	128.7533693
776	128.6861809
777	128.6539478
778	128.6181003
779	128.541342
780	128.5160568
781	128.486161
782	128.4415087
783	128.3384615
784	128.2824041
785	128.2332003
786	128.1403429
787	128.0589737
788	127.9930191
789	127.9139352
790	127.8548416
791	127.8053273
792	127.704009
793	127.6591881
794	127.6257634
795	127.5748334
796	127.5184514
797	127.4501082
798	127.405103
799	127.3391584
800	127.2883563
801	127.2244661
802	127.1734198
803	127.1234741
804	127.0828647
805	127.0380213
806	126.9919898
807	126.9175755
808	126.8698864
809	126.8427232
810	126.7902784
811	126.7435203
812	126.7137298
813	126.6817706
814	126.6401615
815	126.599382
816	126.5537509
817	126.5127393
818	126.45668
819	126.4040177
820	126.3110924
821	126.2514815
822	126.206892
823	126.1133207
824	126.0630039
825	125.9615021
826	125.9004022
827	125.8732005
828	125.8338028
829	125.8067968
830	125.7516774
831	125.7014321
832	125.6578177
833	125.6189631
834	125.5787638
835	125.50738
836	125.4560631
837	125.3998899
838	125.3111416
839	125.2646497
840	125.2156006
841	125.162975
842	125.1198227
843	125.0544327
844	125.0029508
845	124.9149065
846	124.8725744
847	124.8090378
848	124.762923
849	124.7216557
850	124.6897653
851	124.6551142
852	124.5655432
853	124.512272
854	124.459212
855	124.4211572
856	124.3832891
857	124.3392521
858	124.2811328
859	124.2423526
860	124.2067543
861	124.1448398
862	124.0363147
863	123.9357572
864	123.8814484
865	123.8474722
866	123.8024578
867	123.7140054
868	123.666982
869	123.6095337
870	123.588242
871	123.5084803
872	123.4597411
873	123.4083124
874	123.3253942
875	123.251226
876	123.2193955
877	123.1786454
878	123.107051
879	123.0784291
880	123.0311721
881	122.9764571
882	122.9312481
883	122.9009595
884	122.8555062
885	122.8184107
886	122.7791736
887	122.7176331
888	122.668635
889	122.6037124
890	122.5686552
891	122.5387992
892	122.4881527
893	122.4287369
894	122.3690788
895	122.3284131
896	122.2617754
897	122.2166677
898	122.157213
899	122.1215126
900	122.0588396
901	122.0060548
902	121.9685972
903	121.9220381
904	121.8765124
905	121.8188328
906	121.7678969
907	121.7325582
908	121.6424493
909	121.5932947
910	121.5348096
911	121.4749685
912	121.4330212
913	121.3980291
914	121.3717795
915	121.2906551
916	121.2535
917	121.2104584
918	121.1144564
919	121.0707994
920	121.0160674
921	120.9246279
922	120.9007726
923	120.7721919
924	120.7244902
925	120.6761262
926	120.608845
927	120.5423151
928	120.4658924
929	120.4083788
930	120.3845758
931	120.3488818
932	120.3241521
933	120.286743
934	120.2306646
935	120.1682152
936	120.0668215
937	119.9935835
938	119.9533527
939	119.9338303
940	119.8989735
941	119.8378479
942	119.7743615
943	119.7200997
944	119.6827232
945	119.6384211
946	119.5884627
947	119.5350175
948	119.4769622
949	119.4399104
950	119.37113
951	119.3381094
952	119.3012655
953	119.2537419
954	119.2158517
955	119.1602865
956	119.1234469
957	119.0901872
958	119.0337693
959	118.9777057
960	118.9357846
961	118.9068366
962	118.8761105
963	118.8475543
964	118.8031243
965	118.7334413
966	118.6819958
967	118.6327609
968	118.5685966
969	118.5167683
970	118.4834995
971	118.4389941
972	118.3970715
973	118.3526599
974	118.3126229
975	118.2893419
976	118.2327137
977	118.1685673
978	118.1232353
979	118.0385649
980	117.9899801
981	117.9249646
982	117.872425
983	117.8342671
984	117.753862
985	117.6814584
986	117.6487206
987	117.5782189
988	117.5318373
989	117.4729008
990	117.4340707
991	117.3934243
992	117.3242273
993	117.2641028
994	117.2051259
995	117.1734919
996	117.1162881
997	117.0762926
998	117.0432654
999	116.9943894


7
