,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address,Porto_distance,Porto_duration,Porto_transit_distance,Porto_transit_duration,Lisboa_distance,Lisboa_duration,Lisboa_transit_distance,Lisboa_transit_duration
120,Centro,Ovar,40.8596399,-8.6253313,ChIJb9QJhY6FIw0R9ldMxsEpU74,Portugal,Aveiro District,Ovar,"3880 Ovar, Portugal",39.1,00:38:00,35.4,00:44:00,282,02:49:00,350,04:54:00
121,Centro,Sever do Vouga,40.7334189,-8.371767199999999,ChIJ-W7fQOFzIw0R9pog2vp-7Iw,Portugal,Aveiro District,Sever do Vouga,"3740 Sever do Vouga, Portugal",77.9,01:00:00,Não disponível,00:00:00,275,02:49:00,Não disponível,00:00:00
122,Centro,Vagos,40.53119119999999,-8.6820636,ChIJxQD_C_u6Iw0RcC6Q5L3rAAQ,Portugal,Aveiro District,"Vagos, Portugal","Vagos, Portugal, 3840, Portugal",91.9,01:01:00,Não disponível,00:00:00,237,02:24:00,Não disponível,00:00:00
124,Centro,Arganil,40.218499,-8.0537909,ChIJK7L1epvcIg0RD9GbmeoqKUg,Portugal,Coimbra District,Arganil,"3300 Arganil, Portugal",160,01:43:00,173,03:03:00,258,02:41:00,262,04:08:00
125,Centro,Cantanhede,40.347032,-8.5934416,ChIJpe-2ivysIw0RzxtD_MRsCXQ,Portugal,Coimbra District,Cantanhede,"3060 Cantanhede, Portugal",107,01:11:00,Não disponível,00:00:00,220,02:15:00,Não disponível,00:00:00
126,Centro,Coimbra,40.2033145,-8.4102573,ChIJbdGsShT5Ig0RuaZCe0dkRWM,Portugal,Coimbra District,Coimbra,"Coimbra, Portugal",122,01:19:00,122,02:05:00,206,02:10:00,216,02:45:00
127,Centro,Condeixa-a-Nova,40.1141535,-8.498116399999999,ChIJNfSvmYlYIg0RHvcLdyfOl7o,Portugal,Coimbra District,Condeixa-a-Nova,"3150 Condeixa-a-Nova, Portugal",127,01:17:00,Não disponível,00:00:00,193,01:58:00,Não disponível,00:00:00
128,Centro,Figueira da Foz,40.1521398,-8.857583,ChIJQZzvPeA3Ig0R3vSp3Zgijoc,Portugal,Coimbra District,Figueira da Foz,"Figueira da Foz, Portugal",140,01:26:00,160,03:17:00,197,02:04:00,252,06:39:00
129,Centro,Góis,40.1572681,-8.1106277,ChIJO9qbDsPCIg0RuAVP_7me6Ik,Portugal,Coimbra,Góis,"3330 Góis, Portugal",160,01:53:00,Não disponível,00:00:00,227,02:39:00,Não disponível,00:00:00
130,Centro,Lousã,40.1125621,-8.2468738,ChIJSRZnapLuIg0RC1_Pb1ei8Pg,Portugal,Coimbra District,Lousã,"3200 Lousã, Portugal",156,01:37:00,157,05:23:00,208,02:14:00,238,06:11:00
131,Centro,Mealhada,40.3807921,-8.449581400000001,ChIJR-YCNuIAIw0RTR84g-Gs3OI,Portugal,Aveiro District,Mealhada,"3050 Mealhada Municipality, Portugal",100,01:03:00,100,01:59:00,221,02:13:00,394,05:30:00
132,Centro,Mira,40.4287977,-8.738126099999999,ChIJ48CixzGxIw0RZxIi4ZpGt9g,Portugal,Coimbra District,Mira,"3070 Mira, Portugal",98.8,01:06:00,170,02:55:00,227,02:19:00,239,03:40:00
133,Centro,Miranda do Corvo,40.09019809999999,-8.329640099999999,ChIJUYuUnQPyIg0RdUcRSEcvtC0,Portugal,Coimbra District,Miranda do Corvo,"3220 Miranda do Corvo, Portugal",145,01:28:00,148,05:04:00,197,02:05:00,228,05:52:00
134,Centro,Montemor-o-Velho,40.1748245,-8.6826636,ChIJJXc86jJOIg0RId6vdwipsas,Portugal,Coimbra District,Montemor-o-Velho,"3140 Montemor-o-Velho, Portugal",134,01:21:00,Não disponível,00:00:00,201,02:07:00,Não disponível,00:00:00
135,Centro,Mortágua,40.3971448,-8.2309134,ChIJh-w3SSMcIw0R3KA8OV7XRb8,Portugal,Viseu District,Mortágua,"3450 Mortágua, Portugal",125,01:30:00,158,02:50:00,248,02:34:00,256,03:25:00
136,Centro,Oliveira do Hospital,40.3608614,-7.862203200000001,ChIJibZBbe7VIg0RuuqGFr9jhcA,Portugal,Coimbra District,Oliveira do Hospital,"3400 Oliveira do Hospital, Portugal",179,01:59:00,193,02:50:00,277,02:57:00,282,03:55:00
137,Centro,Pampilhosa da Serra,40.0463704,-7.949715499999999,ChIJAQ_qlwzIIg0RuuzdAXACZjc,Portugal,Coimbra District,Pampilhosa da Serra,"3320 Pampilhosa da Serra, Portugal",212,02:21:00,389,06:18:00,229,02:39:00,270,04:10:00
138,Centro,Penacova,40.2704883,-8.28054,ChIJr7nFUgzjIg0Rcjhnv2dwK0E,Portugal,Coimbra District,Penacova,"3360 Penacova, Portugal",130,01:21:00,Não disponível,00:00:00,228,02:20:00,Não disponível,00:00:00
139,Centro,Penela,40.0282938,-8.390568499999999,ChIJtRCLwmfzIg0RXhR8JneJUj8,Portugal,Coimbra,Penela,"3230 Penela, Portugal",149,01:30:00,Não disponível,00:00:00,186,01:58:00,Não disponível,00:00:00
140,Centro,Soure,40.0610524,-8.6239203,ChIJ22z5DmFcIg0RNuod_RNaZgA,Portugal,Coimbra District,Soure,"3130 Soure, Portugal",143,01:27:00,150,02:03:00,182,01:55:00,186,02:16:00
141,Centro,Tábua,40.3617145,-8.028221799999999,ChIJ4_PIEmcnIw0RUWp6k_NtZro,Portugal,Coimbra,Tábua,"3420 Tábua, Portugal",163,01:45:00,173,02:25:00,261,02:43:00,262,03:20:00
142,Centro,Vila Nova de Poiares,40.2107667,-8.25907,ChIJI6K0NQPlIg0Ri5NIyy0_s74,Portugal,Coimbra District,Vila Nova de Poiares,"3350 Vila Nova de Poiares, Portugal",146,01:38:00,Não disponível,00:00:00,223,02:26:00,Não disponível,00:00:00
144,Centro,Alvaiázere,39.8237427,-8.3807264,ChIJHVWIggmGIg0RARM0PuQd5jo,Portugal,Leiria,Alvaiázere,"3250 Alvaiázere, Portugal",172,01:43:00,248,04:08:00,167,01:49:00,174,03:51:00
145,Centro,Ansião,39.9107177,-8.438509999999999,ChIJ9-O7yX-JIg0RXbcyD_14pJQ,Portugal,Leiria District,Ansião,"3240 Ansião, Portugal",168,01:41:00,260,03:20:00,183,01:58:00,196,02:30:00
146,Centro,Batalha,39.6583864,-8.8241787,ChIJSwEqzE11Ig0R7Ru_-mMeckA,Portugal,Leiria District,Batalha,"2440 Batalha, Portugal",196,01:54:00,264,04:52:00,140,01:41:00,139,02:30:00
147,Centro,Castanheira de Pêra,40.0058478,-8.2125382,ChIJhxtNhLmUIg0R2yQXb_ZKUBY,Portugal,Leiria District,Castanheira de Pera,"3280 Castanheira de Pêra, Portugal",176,01:49:00,326,05:13:00,192,02:07:00,208,03:05:00
148,Centro,Figueiró dos Vinhos,39.8993771,-8.2801574,ChIJESISmbKRIg0RyN_VUMC7Twk,Portugal,Leiria District,Figueiró dos Vinhos,"3260 Figueiró Dos Vinhos, Portugal",167,01:42:00,163,02:15:00,183,02:00:00,194,02:45:00
149,Centro,Leiria,39.74953310000001,-8.807682999999999,ChIJubLJNBVzIg0RbDzUOSeDr00,Portugal,Leiria District,Leiria,"Leiria, Portugal",186,01:48:00,193,02:15:00,144,01:37:00,143,01:45:00
150,Centro,Marinha Grande,39.7503802,-8.931805899999999,ChIJV9Vi11oOIg0R4poDG-2sLz4,Portugal,Leiria District,Marinha Grande,"2430 Marinha Grande, Portugal",192,01:54:00,205,04:00:00,137,01:36:00,177,04:45:00
151,Centro,Pedrógão Grande,39.91765609999999,-8.145618400000002,ChIJA0nh5iKWIg0RVvcBJWpNCE8,Portugal,Leiria,Pedrógão Grande,"3270 Pedrógão Grande, Portugal",176,01:47:00,178,02:30:00,192,02:04:00,208,03:00:00
152,Centro,Pombal,39.9162755,-8.628103099999999,ChIJ0wvWadRlIg0RLgu6gtLE914,Portugal,Leiria District,Pombal,"3100 Pombal, Portugal",159,01:34:00,167,01:35:00,169,01:47:00,253,04:57:00
153,Centro,Porto de Mós,39.5990855,-8.8307626,ChIJFXQaxSygGA0RgNyQ5L3rAAU,Portugal,Leiria District,Porto de Mós,"2480 Porto de Mós, Portugal",203,01:58:00,216,03:50:00,115,01:34:00,175,03:05:00
155,Centro,Aguiar da Beira,40.816453,-7.5454104,ChIJrexZ27q7PA0RaYvLYzsFTFU,Portugal,Guarda District,Aguiar da Beira,"3570 Aguiar da Beira, Portugal",164,01:57:00,196,02:40:00,336,03:40:00,336,04:30:00
156,Centro,Carregal do Sal,40.4347784,-7.9980002,ChIJQwgowQgmIw0RTg_zfFMt4oY,Portugal,Viseu District,Carregal do Sal,"3430 Carregal do Sal, Portugal",154,01:41:00,181,03:00:00,262,02:43:00,455,13:20:00
157,Centro,Castro Daire,40.8997924,-7.933502,ChIJtTbNzyZRIw0R7o9T22m8aro,Portugal,Viseu District,Castro Daire,"3600 Castro Daire, Portugal",149,01:34:00,162,02:20:00,320,03:16:00,336,04:30:00
158,Centro,Mangualde,40.604979,-7.762452099999999,ChIJ5zOMGKLMPA0R5D-dqKKLCuI,Portugal,Viseu District,Mangualde,"3530 Mangualde, Portugal",141,01:30:00,211,03:15:00,291,03:06:00,425,12:40:00
159,Centro,Nelas,40.537787,-7.8498679,ChIJr1N90BsyIw0RqoLEqPM-WUQ,Portugal,Viseu District,Nelas,"3520 Nelas, Portugal",139,01:35:00,200,02:55:00,279,02:54:00,437,13:00:00
160,Centro,Oliveira de Frades,40.7322554,-8.1737805,ChIJQ5eXLolrIw0RsE9NHm8equk,Portugal,Viseu District,Oliveira de Frades,"3680 Oliveira de Frades, Portugal",97.1,01:06:00,121,02:00:00,294,02:56:00,331,03:40:00
161,Centro,Penalva do Castelo,40.6767248,-7.6960437,ChIJv0I-36zJPA0RMk7tVet6ODI,Portugal,Viseu,Penalva do Castelo,"3550 Penalva do Castelo, Portugal",150,01:39:00,Não disponível,00:00:00,315,03:20:00,Não disponível,00:00:00
162,Centro,Santa Comba Dão,40.3966275,-8.1314525,ChIJAy-pV9YhIw0RIQf6C9EazW8,Portugal,Viseu District,Santa Comba Dão,"3440 Santa Comba Dão, Portugal",133,01:36:00,159,04:34:00,252,02:37:00,328,07:30:00
163,Centro,São Pedro do Sul,40.7597932,-8.0640758,ChIJaZaAyVhBIw0RphLT3AGIsfE,Portugal,Viseu District,São Pedro do Sul,"3660 São Pedro do Sul, Portugal",110,01:18:00,133,02:15:00,307,03:08:00,342,03:55:00
164,Centro,Sátão,40.7423572,-7.732120099999999,ChIJKVNcgvq0PA0RMnCE6S60a_M,Portugal,Viseu District,Sátão,"3560 Sátão, Portugal",145,01:42:00,175,02:20:00,317,03:25:00,315,04:10:00
165,Centro,Tondela,40.5170645,-8.0802569,ChIJjQFHMEwjIw0R7nuN2OlYxm0,Portugal,Viseu,Tondela,"3460 Tondela, Portugal",138,01:29:00,143,04:19:00,265,02:45:00,313,07:15:00
166,Centro,Vila Nova de Paiva,40.8508324,-7.7309812,ChIJ92JB-mSyPA0RzBntnfdflwo,Portugal,Viseu District,Vila Nova de Paiva,"3650 Vila Nova de Paiva, Portugal",155,01:46:00,161,03:02:00,327,03:29:00,327,04:17:00
167,Centro,Viseu,40.6565861,-7.9124712,ChIJzVzD6z42Iw0RmkTnIYjAv_Y,Portugal,Viseu District,Viseu,"Viseu, Portugal",127,01:24:00,119,01:55:00,289,03:04:00,287,03:25:00
168,Centro,Vouzela,40.7229086,-8.1122167,ChIJfWCIebdBIw0RtOR-hS9CMuk,Portugal,Viseu District,Vouzela,"3670 Vouzela, Portugal",103,01:12:00,129,02:10:00,300,03:01:00,339,03:50:00
170,Centro,Castelo Branco,39.8197117,-7.4964662,ChIJ23-QlShcPQ0RQB67VSpqcBw,Portugal,Castelo Branco District,Castelo Branco,"6000 Castelo Branco, Portugal",257,02:39:00,336,09:55:00,224,02:20:00,220,02:20:00
171,Centro,Idanha-a-Nova,39.924752,-7.2415895,ChIJ9Uv6rXNwPQ0RfpybjroInDY,Portugal,Castelo Branco District,Idanha-a-Nova,"6060 Idanha-A-Nova, Portugal",302,03:06:00,Não disponível,00:00:00,259,02:45:00,Não disponível,00:00:00
172,Centro,Oleiros,39.9201996,-7.9138535,ChIJuw1V0g6xIg0R43gkYawAq_Q,Portugal,Castelo Branco,Oleiros,"6160 Oleiros, Portugal",213,02:12:00,Não disponível,00:00:00,213,02:27:00,219,03:45:00
173,Centro,Penamacor,40.169313,-7.171492499999999,ChIJT6ry9lUJPQ0RF7dZ40KfIsU,Portugal,Castelo Branco District,Penamacor,"6090 Penamacor, Portugal",264,02:52:00,Não disponível,00:00:00,275,02:59:00,Não disponível,00:00:00
174,Centro,Proença-a-Nova,39.7494186,-7.9233898,ChIJ7_JGOlioIg0R3U5MT_AqYgA,Portugal,Castelo Branco,Proença-a-Nova,"6150 Proença-a-Nova, Portugal",209,02:09:00,304,05:25:00,214,02:15:00,275,04:00:00
175,Centro,Vila Velha de Ródão,39.6545102,-7.6712121,ChIJAT5l9mv8Fw0RnjBHWxsOBn0,Portugal,Castelo Branco District,Vila Velha de Ródão,"6030 Vila Velha de Ródão, Portugal",240,02:29:00,367,11:10:00,206,02:10:00,251,12:15:00
177,Centro,Abrantes,39.4621054,-8.1986484,ChIJ-7pMOrFtGA0RUvg6b6Flgk4,Portugal,Santarém District,Abrantes,"Abrantes, Portugal",235,02:17:00,256,03:20:00,143,01:36:00,192,03:00:00
178,Centro,Alcanena,39.4595628,-8.666868899999999,ChIJY74vzyiQGA0RLzBWElwEto4,Portugal,Santarém District,Alcanena,"2380 Alcanena, Portugal",217,02:03:00,264,09:46:00,108,01:16:00,140,08:11:00
179,Centro,Constância,39.4780719,-8.337225199999999,ChIJ1xK_5XNlGA0RxvPAcGmGpNs,Portugal,Santarém District,Constância,"2250 Constância, Portugal",221,02:08:00,245,03:41:00,129,01:26:00,148,03:04:00
180,Centro,Entroncamento,39.4729822,-8.478759199999999,ChIJrXoh2H1iGA0R5BNm0z_FjGk,Portugal,Santarém District,Entroncamento,"2330 Entroncamento, Portugal",216,02:04:00,230,02:10:00,116,01:19:00,106,01:01:00
181,Centro,Ferreira do Zêzere,39.6932144,-8.2905257,ChIJJyrInVudIg0Rw-lzar0QooE,Portugal,Santarém District,Ferreira do Zêzere,"2240 Ferreira do Zêzere, Portugal",186,01:50:00,Não disponível,00:00:00,150,01:40:00,157,02:15:00
182,Centro,Mação,39.60433140000001,-7.981084500000001,ChIJZfEogfUFGA0RMDqQ5L3rAAQ,Portugal,Santarém District,Mação,"Mação, 6120, Portugal",224,02:31:00,Não disponível,00:00:00,174,01:59:00,Não disponível,00:00:00
183,Centro,Ourém,39.6567985,-8.5796087,ChIJk1PsECSCGA0RUSQmFjtarzk,Portugal,Santarém District,Ourém,"2490 Ourém, Portugal",204,02:04:00,204,02:25:00,136,01:38:00,140,02:05:00
184,Centro,Sardoal,39.5375181,-8.1612773,ChIJ0cfRY71yGA0RlacPN0VtCGY,Portugal,Santarém District,Sardoal,"2230 Sardoal, Portugal",227,02:20:00,289,05:23:00,150,01:39:00,159,02:10:00
185,Centro,Sertã,39.801594,-8.0957844,ChIJ6x6eT8SjIg0RFjdFGgWn7cM,Portugal,Castelo Branco,Sertã,"6100 Sertã, Portugal",193,01:58:00,Não disponível,00:00:00,188,02:08:00,193,03:00:00
186,Centro,Tomar,39.6053819,-8.4043125,ChIJK8leGat-GA0R6uUjP8gMizY,Portugal,Santarém District,Tomar,"2300 Tomar, Portugal",200,01:59:00,253,03:07:00,137,01:33:00,129,02:04:00
187,Centro,Torres Novas,39.478072,-8.5404429,ChIJkSPra-2IGA0RiOboTNMH6GY,Portugal,Santarém District,Torres Novas,"2350 Torres Novas, Portugal",223,02:08:00,244,09:15:00,114,01:20:00,120,07:40:00
188,Centro,Vila de Rei,39.6758453,-8.1457625,ChIJcSrdqEl1GA0R3RXdF9eP9Gk,Portugal,Castelo Branco,Vila de Rei,"6110 Vila de Rei, Portugal",204,02:10:00,309,05:48:00,168,01:51:00,179,02:35:00
189,Centro,Vila Nova da Barquinha,39.45923880000001,-8.4313741,ChIJOe38zadjGA0RbwLMAP26cIU,Portugal,Santarém,Vila Nova da Barquinha,"2260 Vila Nova da Barquinha, Portugal",216,02:06:00,235,02:34:00,125,01:25:00,321,05:56:00
191,Centro,Almeida,40.7254048,-6.905594199999999,ChIJ135TLcFCPA0RMbPPb09bDBo,Portugal,Guarda District,Almeida,"6350 Almeida, Portugal",236,02:28:00,Não disponível,00:00:00,355,03:35:00,Não disponível,00:00:00
192,Centro,Belmonte,40.351063,-7.3408535,ChIJs83gXCMcPQ0RfFX4rCNPlCY,Portugal,Castelo Branco District,Belmonte,"Belmonte, 6250 Belmonte, Portugal",227,02:21:00,258,10:52:00,290,02:59:00,362,12:32:00
193,Centro,Celorico da Beira,40.6335005,-7.3927217,ChIJUVEnAp3pPA0RTM5GDYVB-Uk,Portugal,Guarda District,Celorico da Beira,"6360 Celorico da Beira, Portugal",175,01:49:00,184,02:35:00,341,03:24:00,347,04:55:00
194,Centro,Covilhã,40.2805633,-7.504327199999999,ChIJOXcFtrsjPQ0Ru5zEx4lIWKs,Portugal,Castelo Branco District,Covilhã,"6200 Covilhã, Portugal",250,02:37:00,279,03:15:00,278,02:54:00,276,03:05:00
195,Centro,Figueira de Castelo Rodrigo,40.8946241,-6.963561299999999,ChIJQaI8d9lkPA0RFuc2BzPPfAQ,Portugal,Guarda District,Figueira de Castelo Rodrigo,"6440 Figueira de Castelo Rodrigo, Portugal",237,02:43:00,Não disponível,00:00:00,376,03:51:00,Não disponível,00:00:00
196,Centro,Fornos de Algodres,40.6201957,-7.539550699999999,ChIJt-XRiEbEPA0RvedH4o4afjI,Portugal,Guarda District,Fornos de Algodres,"6370 Fornos de Algodres, Portugal",162,01:41:00,235,03:48:00,327,03:22:00,401,12:15:00
197,Centro,Fundão,40.1137263,-7.394882000000001,ChIJYSdE4Tc5PQ0RMDGQ5L3rAAQ,Portugal,Castelo Branco District,Fundão,"Fundão, Portugal",271,02:49:00,Não disponível,00:00:00,262,02:45:00,Não disponível,00:00:00
198,Centro,Gouveia,40.4923318,-7.5936526,ChIJ2cqOn27aPA0RV_1DC0eS1Eo,Portugal,Guarda District,Gouveia,"6290 Gouveia, Portugal",168,01:59:00,235,03:45:00,309,03:30:00,324,04:50:00
199,Centro,Guarda,40.5308408,-7.2221421,ChIJU8b2j8T6PA0RADWQ5L3rAAQ,Portugal,Guarda District,Guarda,"Guarda, 6300, Portugal",205,02:07:00,295,04:59:00,313,03:08:00,354,05:24:00
200,Centro,Manteigas,40.4022206,-7.538339300000001,ChIJm1mBj83YPA0Rajntt_psPZ4,Portugal,Guarda District,Manteigas,"6260 Manteigas, Portugal",196,02:39:00,Não disponível,00:00:00,313,03:23:00,Não disponível,00:00:00
201,Centro,Mêda,40.965806,-7.2612127,ChIJZ5ilf66EPA0RySfYH9vljCQ,Portugal,Guarda District,Mêda,"6430 Mêda, Portugal",224,02:19:00,Não disponível,00:00:00,375,03:45:00,Não disponível,00:00:00
202,Centro,Pinhel,40.7732736,-7.0685935,ChIJM6vZbUhgPA0RwD_03ouIPb4,Portugal,Distrito da Guarda,Pinhel,"6400 Pinhel, Portugal",214,02:19:00,Não disponível,00:00:00,344,03:30:00,Não disponível,00:00:00
203,Centro,Sabugal,40.3516608,-7.089524099999999,ChIJT188yYCpPQ0R0M-Q5L3rAAU,Portugal,Distrito da Guarda,Sabugal,"6320 Sabugal, Portugal",228,02:28:00,324,05:45:00,315,03:22:00,321,03:50:00
204,Centro,Seia,40.4148619,-7.707845000000001,ChIJaxhdbYjWPA0RoAjx9I6PihU,Portugal,Guarda District,Seia Municipality,"6270 Seia, Portugal",162,02:02:00,215,03:20:00,293,03:14:00,304,04:25:00
205,Centro,Trancoso,40.7787604,-7.3491442,ChIJ_V9t8IuTPA0REdqgpe56zA0,Portugal,Guarda District,Trancoso,"6420 Trancoso, Portugal",199,02:05:00,292,04:00:00,350,03:31:00,602,07:35:00
208,Área Metropolitana de Lisboa,Alcochete,38.7560205,-8.9603438,ChIJlTouDrk7GQ0Rflw-RNdd8Oc,Portugal,Setubal,Alcochete,"Alcochete, Portugal",329,03:06:00,331,04:03:00,33.5,00:39:00,40.4,01:34:00
209,Área Metropolitana de Lisboa,Almada,38.6765238,-9.1651047,ChIJNRH_CRw1GQ0RetYqZOvcpvw,Portugal,Setubal,Almada,"Almada, Portugal",324,03:07:00,322,04:06:00,12.1,00:20:00,24.2,01:01:00
210,Área Metropolitana de Lisboa,Amadora,38.7577603,-9.2245474,ChIJCdTnmgjNHg0Rvt33fIdAeq8,Portugal,Lisbon,Amadora,"Amadora, Portugal",317,02:59:00,319,03:43:00,13.1,00:20:00,20.6,00:48:00
211,Área Metropolitana de Lisboa,Barreiro,38.6608149,-9.0790724,ChIJNVChMEE2GQ0R97WUXVzARvY,Portugal,Setubal,Barreiro,"Barreiro, Portugal",347,03:20:00,354,04:50:00,40.0,00:40:00,56.5,01:30:00
212,Área Metropolitana de Lisboa,Cascais,38.6960614,-9.4303646,ChIJl5q3eXPEHg0RwrsHGH47DYc,Portugal,Lisbon,Cascais,"2750 Cascais, Portugal",344,03:14:00,341,04:45:00,32.2,00:31:00,Não disponível,00:00:00
213,Área Metropolitana de Lisboa,Lisboa,38.7222524,-9.1393366,ChIJO_PkYRozGQ0R0DaQ5L3rAAQ,Portugal,Lisbon,Lisbon,"Lisbon, Portugal",314,03:03:00,336,03:13:00,1 m,00:01:00,Não disponível,00:00:00
214,Área Metropolitana de Lisboa,Loures,38.8297603,-9.1663697,ChIJGcoPNC7THg0RzWHSw0rasJg,Portugal,Lisbon,Loures,"Loures, Portugal",308,02:51:00,322,04:18:00,17.0,00:27:00,21.1,00:57:00
215,Área Metropolitana de Lisboa,Mafra,38.9443106,-9.3320856,ChIJ5aAHEzQoHw0RQOCQ5L3rAAU,Portugal,Lisbon,Mafra,"2640 Mafra, Portugal",307,02:55:00,348,05:34:00,40.1,00:44:00,52.7,06:19:00
216,Área Metropolitana de Lisboa,Moita,38.653115,-8.993017199999999,ChIJ-cQZqIFHGQ0RQAiR5L3rAAU,Portugal,Setubal,Moita,"2860 Moita, Portugal",333,03:08:00,336,04:01:00,38.7,00:36:00,37.6,01:11:00
217,Área Metropolitana de Lisboa,Montijo,38.7065326,-8.9765351,ChIJ1y3AOus5GQ0RBuQb0aeUzEI,Portugal,Setubal,Montijo,"Montijo, Portugal",328,03:07:00,332,04:17:00,32.8,00:40:00,33.6,00:57:00
218,Área Metropolitana de Lisboa,Odivelas,38.7928952,-9.1831615,ChIJG8CGuqkyGQ0Rk6oQ9_w5PJ4,Portugal,Lisbon,Odivelas,"Odivelas, Portugal",312,02:56:00,317,03:57:00,10.0,00:24:00,19.6,00:59:00
219,Área Metropolitana de Lisboa,Oeiras,38.69686069999999,-9.3146014,ChIJEYNl2y3JHg0R9zyZw3xCJ6A,Portugal,Lisbon,Oeiras,"2780 Oeiras, Portugal",334,03:07:00,332,04:29:00,22.1,00:25:00,27.2,01:39:00
220,Área Metropolitana de Lisboa,Palmela,38.569441,-8.9016937,ChIJOyHNw5tBGQ0Rjoj5NCaEmEA,Portugal,Setubal,Palmela,"Palmela, Portugal",346,03:16:00,347,04:22:00,42.8,00:38:00,48.5,01:27:00
221,Área Metropolitana de Lisboa,Seixal,38.6410676,-9.0975,ChIJj6MCcfNJGQ0RMWYtPME8rQw,Portugal,Setubal,Seixal,"2840 Seixal, Portugal",335,03:16:00,335,04:40:00,23.5,00:29:00,36.9,01:49:00
222,Área Metropolitana de Lisboa,Sesimbra,38.44421699999999,-9.1014903,ChIJja9tSotRGQ0RiwZekB3GbdE,Portugal,Setubal,Sesimbra,"2970 Sesimbra, Portugal",352,03:40:00,371,08:34:00,40.4,00:52:00,69.6,05:49:00
223,Área Metropolitana de Lisboa,Setúbal,38.5260437,-8.8909328,ChIJNXQCq_5CGQ0RVKq1m3Y_8p8,Portugal,Setubal,Setúbal,"Setúbal, Portugal",348,03:17:00,362,05:12:00,49.3,00:42:00,61.7,01:52:00
224,Área Metropolitana de Lisboa,Sintra,38.8233416,-9.3229213,ChIJIzPS5ZvQHg0RIDeQ5L3rAAQ,Portugal,Lisbon,Sintra,"Sintra, Portugal",330,03:06:00,356,05:13:00,30.8,00:32:00,32.1,01:22:00
225,Área Metropolitana de Lisboa,Vila Franca de Xira,38.9549979,-8.9888982,ChIJzY7T3O0nGQ0RmHTGQAKoiLI,Portugal,Lisbon,Vila Franca de Xira,"2600 Vila Franca de Xira, Portugal",282,02:37:00,306,02:51:00,30.5,00:34:00,30.1,00:21:00
228,Alentejo,Alcácer do Sal,38.3706145,-8.5061998,ChIJqSKnhQh_GQ0RCnMpm2VUWVA,Portugal,Setubal,Alcácer do Sal,"7580 Alcácer do Sal, Portugal",363,03:19:00,Não disponível,00:00:00,91.5,01:02:00,Não disponível,00:00:00
229,Alentejo,Grândola,38.1770597,-8.5669509,ChIJ7a3mGwHSGw0RZ3mbOGVyFZg,Portugal,Setubal,Grândola,"7570 Grândola, Portugal",388,03:31:00,447,03:55:00,116,01:14:00,132,01:45:00
230,Alentejo,Odemira,37.6098303,-8.6270628,ChIJX3DcwBUGGw0R-rQ_kGtEg4U,Portugal,Beja District,Odemira,"7630-174 Odemira, Portugal",475,04:35:00,512,06:35:00,204,02:17:00,198,02:55:00
231,Alentejo,Santiago do Cacém,38.0162314,-8.6956768,ChIJ4fanTRXHGw0RV266cmvlEaU,Portugal,Setúbal,Santiago do Cacém,"7540 Santiago do Cacém, Portugal",417,03:53:00,476,05:03:00,145,01:36:00,159,02:15:00
232,Alentejo,Sines,37.9571555,-8.860890699999999,ChIJYfjgEgO_Gw0RHuATLf4j_WU,Portugal,Setubal,Sines,"Sines, Portugal",431,04:01:00,502,05:33:00,159,01:43:00,186,02:45:00
234,Alentejo,Aljustrel,37.8760582,-8.1649833,ChIJ0yWVecVCGg0RG2Pnv6T_SfM,Portugal,Beja District,Aljustrel,"7600 Aljustrel, Portugal",435,03:55:00,510,05:53:00,163,01:38:00,184,02:25:00
235,Alentejo,Almodôvar,37.4891809,-8.090174,ChIJ3cxwQKSTGg0RoC6Q5L3rAAQ,Portugal,Beja District,Almodôvar,"Almodôvar, 7700, Portugal",486,04:24:00,Não disponível,00:00:00,214,02:06:00,Não disponível,00:00:00
236,Alentejo,Alvito,38.2558735,-7.991930099999999,ChIJgw0iUv0aGg0RPUWalX-gb-E,Portugal,Beja,Alvito,"7920 Alvito, Portugal",448,04:11:00,Não disponível,00:00:00,176,01:54:00,Não disponível,00:00:00
237,Alentejo,Barrancos,38.1328809,-6.977312599999999,ChIJzxM3FUMiEQ0RKQ-ERyAtwoI,Portugal,Beja District,Barrancos,"7230 Barrancos, Portugal",510,05:09:00,Não disponível,00:00:00,238,02:52:00,Não disponível,00:00:00
238,Alentejo,Beja,38.0153039,-7.8627308,ChIJh83fpXFzGg0Rk1HM5nDqWmo,Portugal,Beja District,Beja,"7800 Beja, Portugal",448,04:18:00,547,07:20:00,176,02:01:00,195,04:35:00
239,Alentejo,Castro Verde,37.6991315,-8.085826299999999,ChIJMSZ-sdBhGg0RhC1KnWezgi4,Portugal,Beja District,Castro Verde,"7780 Castro Verde, Portugal",462,04:09:00,533,06:18:00,190,01:51:00,207,02:50:00
240,Alentejo,Cuba,38.156574,-7.8939317,ChIJqTDeXMQOGg0Rvhaa77RAmw4,Portugal,Beja District,Cuba,"Cuba, 7940, Portugal",448,04:13:00,477,05:57:00,176,01:56:00,177,02:37:00
