,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address,Porto_distance,Porto_duration,Porto_transit_distance,Porto_transit_duration,Lisboa_distance,Lisboa_duration,Lisboa_transit_distance,Lisboa_transit_duration
16,Norte,Barcelos,41.5569268,-8.6160674,ChIJGfCrgTNSJA0RYG-oqk0UhqU,Portugal,Braga,Barcelos,"Barcelos, Portugal",63.4,00:48:00,122,06:43:00,374,03:43:00,427,10:18:00
17,Norte,Braga,41.5454486,-8.426506999999999,ChIJZ9j1bLz-JA0RGOLRYkEFXbw,Portugal,Braga,Braga,"Braga, Portugal",57.2,00:43:00,58.8,01:05:00,363,03:34:00,370,04:45:00
18,Norte,Esposende,41.5323512,-8.7830801,ChIJJ7JQobpLJA0R0tFXlIaLB6Y,Portugal,Braga,Esposende,"4740 Esposende, Portugal",50.6,00:38:00,66.3,01:00:00,361,03:33:00,372,04:35:00
19,Norte,Terras de Bouro,41.7167409,-8.306244399999999,ChIJ41gHaLUEJQ0R3YAUsK5xlcg,Portugal,Braga,Terras de Bouro,"4840 Terras de Bouro, Portugal",84.7,01:13:00,86.3,02:35:00,390,04:04:00,397,05:55:00
20,Norte,Vila Verde,41.6507161,-8.433281299999999,ChIJXcH0A6YBJQ0RlmHUDtZue0w,Portugal,Braga,Vila Verde,"4730 Vila Verde, Portugal",71.3,00:54:00,69.4,01:35:00,377,03:46:00,380,04:55:00
22,Norte,Cabeceiras de Basto,41.5116939,-7.9979753,ChIJZzrjfJLaJA0RR2cf9hA3jiU,Portugal,Braga,Cabeceiras de Basto,"4860 Cabeceiras de Basto, Portugal",95.6,01:04:00,Não disponível,00:00:00,402,03:54:00,Não disponível,00:00:00
23,Norte,Fafe,41.4507439,-8.1754442,ChIJrSfp0V_oJA0R_iRjtO7TspU,Portugal,Braga,Fafe,"4820 Fafe, Portugal",70.7,00:50:00,66.0,01:25:00,377,03:40:00,395,04:55:00
24,Norte,Guimarães,41.44253,-8.2917857,ChIJs2vwHxnwJA0RShUcmOiE4lM,Portugal,Braga,Guimarães,"Guimaraes, Portugal",57.4,00:44:00,55.1,01:12:00,363,03:36:00,370,04:57:00
25,Norte,Mondim de Basto,41.4112348,-7.9526065,ChIJi84o9K3IJA0RMN3mozsbSdo,Portugal,Vila Real District,Mondim de Basto,"4880 Mondim de Basto, Portugal",86.7,01:08:00,153,02:05:00,386,03:54:00,482,05:35:00
26,Norte,Póvoa de Lanhoso,41.5784784,-8.2689012,ChIJibIfPAfjJA0RiTcDEvKQCGE,Portugal,Braga,Póvoa de Lanhoso,"4830 Póvoa de Lanhoso, Portugal",76.4,01:01:00,Não disponível,00:00:00,382,03:52:00,Não disponível,00:00:00
27,Norte,Vieira do Minho,41.6343218,-8.141619799999999,ChIJ5TejdALgJA0RzaHKibJX3oQ,Portugal,Braga,Vieira do Minho,"4850 Vieira do Minho, Portugal",91.2,01:16:00,Não disponível,00:00:00,397,04:08:00,Não disponível,00:00:00
28,Norte,Vila Nova de Famalicão,41.4116818,-8.5224051,ChIJf2S5E1xYJA0RM_IDcSzNiTk,Portugal,Braga,Vila Nova de Famalicão,"4760 Vila Nova de Famalicão, Portugal",41.7,00:34:00,32.8,00:56:00,347,03:25:00,349,04:00:00
29,Norte,Vizela,41.3764108,-8.309834799999999,ChIJjcywsADyJA0R7ciciZMZujY,Portugal,Braga,Vizela,"4815 São João de Caldas de Vizela, Portugal",53.6,00:45:00,47.9,01:09:00,357,03:37:00,363,04:54:00
31,Norte,Arouca,40.9312766,-8.237704899999999,ChIJS0RQwMdjIw0RB3J692DS57o,Portugal,Aveiro District,Arouca,"4540 Arouca, Portugal",62.1,00:55:00,Não disponível,00:00:00,307,03:19:00,Não disponível,00:00:00
32,Norte,Espinho,41.0071914,-8.641033199999999,ChIJm6gxzcd5JA0R-APg9bIvyHM,Portugal,Aveiro District,Espinho,"4500 Espinho, Portugal",21.9,00:25:00,19.4,00:26:00,297,02:54:00,334,04:17:00
33,Norte,Gondomar,41.13955989999999,-8.5291423,ChIJDb7NRSdjJA0RMxhrr82-k-0,Portugal,Porto District,Gondomar,"4420-317 Gondomar, Portugal",16.1,00:19:00,9.7,00:57:00,315,03:04:00,323,04:48:00
34,Norte,Maia,41.2326543,-8.622938699999999,ChIJ4zGTOfhmJA0RfmcqcLKlVKk,Portugal,Porto District,Maia,"4470 Maia, Portugal",11.1,00:14:00,17.4,00:54:00,322,03:09:00,329,04:19:00
35,Norte,Matosinhos,41.182863,-8.688951,ChIJi0gLpZ1oJA0R0DiQ5L3rAAQ,Portugal,Porto District,Matosinhos,"Matosinhos, Portugal",8.3,00:14:00,16.9,01:00:00,319,03:09:00,328,04:30:00
36,Norte,Oliveira de Azeméis,40.839305,-8.4770079,ChIJrd0H8mV4Iw0RQeWnGySjD9w,Portugal,Aveiro District,Oliveira de Azeméis,"3720 Oliveira de Azeméis, Portugal",50.4,00:39:00,52.1,02:04:00,277,02:43:00,301,04:19:00
37,Norte,Paredes,41.2051674,-8.3303867,ChIJn0DJbROOJA0RYbGJDwN8S-w,Portugal,Porto District,Paredes,"4580 Paredes, Portugal",35.4,00:29:00,34.9,00:46:00,335,03:14:00,350,05:16:00
38,Norte,Porto,41.1579438,-8.629105299999999,ChIJwVPhxKtlJA0RvBSxQFbZSKY,Portugal,Porto District,Porto District,"Porto, Portugal",1 m,00:01:00,Não disponível,00:00:00,313,03:04:00,314,03:15:00
39,Norte,Póvoa de Varzim,41.3828815,-8.759989299999999,ChIJnwa6NJBFJA0R29hwXPyZ1qY,Portugal,Porto District,Póvoa de Varzim,"4490 Povoa de Varzim, Portugal",34.1,00:30:00,44.4,00:40:00,345,03:25:00,358,04:00:00
40,Norte,Santa Maria da Feira,40.9257594,-8.5478589,ChIJWVRlid2AIw0ROqJ0gQsko44,Portugal,Aveiro District,Santa Maria da Feira,"4520 Santa Maria da Feira, Portugal",33.3,00:28:00,28.5,00:30:00,286,02:47:00,285,02:55:00
