,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address
45,Norte,Valongo,41.1977783,-8.495222799999999,ChIJJ49ZXhFiJA0RjPcWlM0SYcg,Portugal,Porto District,Valongo,"Valongo, Portugal"
46,Norte,Vila do Conde,41.33333630000001,-8.6820636,ChIJo9z9G29DJA0RUDmQ5L3rAAQ,Portugal,Porto District,Vila do Conde,"Vila do Conde, Portugal"
47,Norte,Vila Nova de Gaia,41.1238759,-8.611785099999999,ChIJ8TZAdCdlJA0Rdd2tUs9QfWc,Portugal,Porto District,Vila Nova de Gaia,"Vila Nova de Gaia, Portugal"
49,Norte,Boticas,41.6984124,-7.6710889,ChIJjzftG1rWOg0RwBuR5L3rAAU,Portugal,Vila Real District,Boticas,"Boticas, 5460 Boticas, Portugal"
50,Norte,Chaves,41.7158962,-7.4814163,ChIJrS32IGbeOg0RjShDprh4I2c,Portugal,Vila Real District,Chaves,"Chaves, Portugal"
51,Norte,Montalegre,41.7719014,-7.828636800000001,ChIJRa1GozgsJQ0RgDyQ5L3rAAQ,Portugal,Vila Real District,Montalegre,"Montalegre, 5470, Portugal"
52,Norte,Ribeira de Pena,41.5199011,-7.793851,ChIJ5TJDL8XSJA0RG-C-9TBM0Ns,Portugal,Vila Real District,Ribeira de Pena,"4870 Ribeira de Pena, Portugal"
53,Norte,Valpaços,41.608716,-7.3109056,ChIJeRu5MHsbOw0RexOPDEyGIDE,Portugal,Vila Real,Valpaços,"5430 Valpaços, Portugal"
54,Norte,Vila Pouca de Aguiar,41.5002387,-7.6432318,ChIJLeqtLhkwOw0RQq6uH5k7M7g,Portugal,Vila Real District,Vila Pouca de Aguiar,"5450 Vila Pouca de Aguiar, Portugal"
56,Norte,Amarante,41.2732068,-8.0822829,ChIJ47J5DPC-JA0R7gV_bgHmbcM,Portugal,Porto District,Amarante,"4600 Amarante, Portugal"
57,Norte,Baião,41.1447349,-7.981084500000001,ChIJv3EQZNG6JA0RcDiQ5L3rAAQ,Portugal,Porto District,Baião,"Baião, Portugal"
58,Norte,Castelo de Paiva,41.0409444,-8.2714736,ChIJyf9Hv_ScJA0RRQNrDwDJTnQ,Portugal,Aveiro District,Castelo de Paiva,"4550 Castelo de Paiva, Portugal"
59,Norte,Celorico de Basto,41.3889737,-7.999703599999999,ChIJO8PzfIrGJA0RfO98Mne4ITo,Portugal,Braga,Celorico de Basto,"4890 Celorico de Basto, Portugal"
60,Norte,Cinfães,41.071713,-8.0898477,ChIJQ-DhLoGhJA0R4yLcY88O1Js,Portugal,Viseu District,Cinfães,"4690 Cinfães, Portugal"
61,Norte,Felgueiras,41.3664104,-8.1971968,ChIJm0BffJTrJA0RFl8_szWZTaI,Portugal,Porto District,Felgueiras,"4610 Felgueiras, Portugal"
62,Norte,Lousada,41.2778714,-8.2815432,ChIJt9c2C-2SJA0RkMLWsBJARH8,Portugal,Porto District,Lousada,"4620 Lousada, Portugal"
63,Norte,Marco de Canaveses,41.1855038,-8.149687,ChIJ7ypaz8eXJA0RbwX7y1jzJV0,Portugal,Porto District,Marco de Canaveses,"Marco de Canaveses, Portugal"
64,Norte,Paços de Ferreira,41.2782274,-8.3750991,ChIJbetsW8CMJA0RYPOQ5L3rAAU,Portugal,Porto District,Paços de Ferreira,"4590 Paços de Ferreira, Portugal"
65,Norte,Penafiel,41.2070076,-8.2831551,ChIJLTiGmemRJA0RoPaQ5L3rAAU,Portugal,Porto District,Penafiel,"4560 Penafiel, Portugal"
66,Norte,Resende,41.0676876,-7.9374948,ChIJ8aKGXfWlJA0RPTBvU-PWr2M,Portugal,Viseu District,Resende,"Resende, 4660, Portugal"
68,Norte,Alijó,41.2772797,-7.477030200000001,ChIJuRR4WotBOw0RAl9sN6KwN-8,Portugal,Vila Real,Alijó,"5070 Alijó, Portugal"
69,Norte,Armamar,41.1090606,-7.693217700000001,ChIJA2u4h7JWOw0RNszftnQ9Kzs,Portugal,Viseu,Armamar,"5110 Armamar, Portugal"
70,Norte,Carrazeda de Ansiães,41.2428631,-7.307555700000001,ChIJGeCZ0a1vOw0R2KCSQEoBfEk,Portugal,Bragança District,Carrazeda de Ansiães,"5140 Carrazeda de Ansiães, Portugal"
71,Norte,Freixo de Espada à Cinta,41.0900806,-6.8087993,ChIJaf_axnKKOw0RgcIEryXSQuM,Portugal,Bragança District,Freixo de Espada à Cinta,"5180 Freixo de Espada à Cinta, Portugal"
72,Norte,Lamego,41.0953745,-7.812380500000001,ChIJdeek6GOrJA0R-3diSpAA9OY,Portugal,Viseu District,Lamego,"5100 Lamego, Portugal"
73,Norte,Mesão Frio,41.1598648,-7.889922799999999,ChIJ15VloBmuJA0RuFGDb8ozBZU,Portugal,Vila Real District,Mesão Frio,"5040 Mesão Frio, Portugal"
74,Norte,Moimenta da Beira,40.9817183,-7.613923300000001,ChIJySfQaS2mPA0RVRA5mbnmklc,Portugal,Viseu District,Moimenta da Beira,"3620 Moimenta da Beira, Portugal"
75,Norte,Murça,41.410051,-7.4489531,ChIJr0EOtTs-Ow0Rnb4PKOVANME,Portugal,Vila Real,Murça,"5090 Murça, Portugal"
76,Norte,Penedono,40.9903208,-7.3943499,ChIJy2bs7veePA0RuGcHlMavOI8,Portugal,Viseu District,Penedono,"3630 Penedono, Portugal"
77,Norte,Peso da Régua,41.1918437,-7.730807,ChIJQ92mS0RNOw0RoDyQ5L3rAAQ,Portugal,Vila Real District,Peso da Régua,"Peso da Régua, Portugal"
78,Norte,Sabrosa,41.2689661,-7.5752443,ChIJMYq-RitEOw0RGwqMu_LBnQ8,Portugal,Vila Real,Sabrosa,"5060 Sabrosa, Portugal"
79,Norte,Santa Marta de Penaguião,41.2098807,-7.784071899999999,ChIJTdnq-S1NOw0RfgHjtvOcZV0,Portugal,Vila Real District,Santa Marta de Penaguião,"5030 Santa Marta de Penaguião, Portugal"
80,Norte,São João da Pesqueira,41.14773810000001,-7.405053300000001,ChIJA_8k7BVnOw0RSkSq4yiMBTU,Portugal,Viseu District,São João da Pesqueira,"5130 São João da Pesqueira, Portugal"
81,Norte,Sernancelhe,40.8998417,-7.4900188,ChIJu8Bj8iyjPA0REm8aH_dSL2I,Portugal,Viseu District,Sernancelhe,"3640 Sernancelhe, Portugal"
82,Norte,Tabuaço,41.1162713,-7.5674579,ChIJzQfftypaOw0RQ2k2RLu6nXc,Portugal,Viseu District,Tabuaço,"5120 Tabuaço, Portugal"
83,Norte,Tarouca,41.0174461,-7.775003600000001,ChIJ4SgMelNVIw0RJKrrCGIMuwY,Portugal,Viseu District,Tarouca,"3610 Tarouca, Portugal"
84,Norte,Torre de Moncorvo,41.1742164,-7.0534405,ChIJb3ZtAE6COw0RPHYMlE8GwMs,Portugal,Bragança,Torre de Moncorvo,"5160 Torre de Moncorvo, Portugal"
85,Norte,Vila Nova de Foz Côa,41.0822466,-7.1403598,ChIJ4XDAR6p_Ow0RdeVzTlUUieQ,Portugal,Guarda District,Vila Nova de Foz Côa,"5150 Vila Nova de Foz Côa, Portugal"
86,Norte,Vila Real,41.3011532,-7.7409832,ChIJL_SzFKlLOw0RA3aSE13pF0w,Portugal,Vila Real District,Vila Real,"5000 Vila Real, Portugal"
88,Norte,Alfândega da Fé,41.344363,-6.9601807,ChIJY08MQgiZOw0RYkYM6otCv48,Portugal,Bragança District,Alfândega da Fé,"5350 Alfândega da Fé, Portugal"
89,Norte,Bragança,41.8061131,-6.756737999999999,ChIJR8I_LP1JOg0RHBm9CtWaNtc,Portugal,Bragança District,Bragança,"5300 Bragança, Portugal"
90,Norte,Macedo de Cavaleiros,41.5370005,-6.9617993,ChIJOYF9XqalOw0RyfFJLJS7zDg,Portugal,Bragança,Macedo de Cavaleiros,"5340 Macedo de Cavaleiros, Portugal"
91,Norte,Miranda do Douro,41.4995412,-6.2712311,ChIJS0UQYmNmOQ0RCUdpzDlHbqs,Portugal,Bragança District,Miranda do Douro,"5210 Miranda do Douro, Portugal"
92,Norte,Mirandela,41.4853545,-7.180871100000001,ChIJgSGFNM0OOw0RP7WRmCCEMu4,Portugal,Bragança District,Mirandela,"5370 Mirandela, Portugal"
93,Norte,Mogadouro,41.3426456,-6.7099863,ChIJg7_is3XrOw0RR5OW4oe2DwQ,Portugal,Bragança District,Mogadouro,"5200 Mogadouro, Portugal"
94,Norte,Vila Flor,41.31888560000001,-7.1574784,ChIJq3OnZSN0Ow0RcVq_qDdp_mI,Portugal,Bragança District,Vila Flor,"Vila Flor, 5360, Portugal"
95,Norte,Vimioso,41.5844451,-6.529121099999999,ChIJJfnFQI_QOw0RJNcHN9-0ecc,Portugal,Bragança District,Vimioso,"5230 Vimioso, Portugal"
96,Norte,Vinhais,41.8307225,-7.009300499999999,ChIJ6X9VQdNQOg0Rh-3d8Fg4QH4,Portugal,Bragança,Vinhais,"5320 Vinhais, Portugal"
99,Centro,Alcobaça,39.5503343,-8.9730531,ChIJDxLPS8qlGA0Rk5T5ZnW2A3w,Portugal,Leiria District,Alcobaça,"2460 Alcobaça, Portugal"
100,Centro,Alenquer,39.0927696,-9.0571089,ChIJq5CWW1_QGA0RgDaQ5L3rAAQ,Portugal,Lisbon,Alenquer,"Alenquer, 2580, Portugal"
101,Centro,Arruda dos Vinhos,38.9829298,-9.0776401,ChIJJ8_Fc0bWGA0Rtl9iRJGMVNE,Portugal,Lisbon,Arruda dos Vinhos,"2630 Arruda dos Vinhos, Portugal"
102,Centro,Bombarral,39.2680991,-9.158511299999999,ChIJ0Sp4VB3LGA0RkNeQ5L3rAAU,Portugal,Leiria District,Bombarral,"2540 Bombarral, Portugal"
103,Centro,Cadaval,39.2433402,-9.102780500000001,ChIJqSLvTdjLGA0RgxlstooFBg0,Portugal,Lisbon,Cadaval,"2550 Cadaval, Portugal"
104,Centro,Caldas da Rainha,39.4061871,-9.1348206,ChIJ0aKCoFCyGA0RnPyOjo0ZmrM,Portugal,Leiria District,Caldas da Rainha,"2500 Caldas da Rainha, Portugal"
