,Regiao,Cidades
4,Norte,Arcos de Valdevez
5,Norte,Caminha
6,Norte,Melgaço
7,Norte,Monção
8,Norte,Paredes de Coura
9,Norte,Ponte da Barca
10,Norte,Ponte de Lima
11,Norte,Valença
12,Norte,Viana do Castelo
13,Norte,Vila Nova de Cerveira
15,Norte,Amares
16,Norte,Barcelos
17,Norte,Braga
18,Norte,Esposende
19,Norte,Terras de Bouro
20,Norte,Vila Verde
22,Norte,Cabeceiras de Basto
23,Norte,Fafe
24,Norte,Guimarães
25,Norte,Mondim de Basto
26,Norte,Póvoa de Lanhoso
27,Norte,Vieira do Minho
28,Norte,Vila Nova de Famalicão
29,Norte,Vizela
31,Norte,Arouca
32,Norte,Espinho
33,Norte,Gondomar
34,Norte,Maia
35,Norte,Matosinhos
36,Norte,Oliveira de Azeméis
37,Norte,Paredes
38,Norte,Porto
39,Norte,Póvoa de Varzim
40,Norte,Santa Maria da Feira
41,Norte,Santo Tirso
42,Norte,São João da Madeira
43,Norte,Trofa
44,Norte,Vale de Cambra
45,Norte,Valongo
46,Norte,Vila do Conde
47,Norte,Vila Nova de Gaia
49,Norte,Boticas
50,Norte,Chaves
51,Norte,Montalegre
52,Norte,Ribeira de Pena
53,Norte,Valpaços
54,Norte,Vila Pouca de Aguiar
56,Norte,Amarante
57,Norte,Baião
58,Norte,Castelo de Paiva
59,Norte,Celorico de Basto
60,Norte,Cinfães
61,Norte,Felgueiras
62,Norte,Lousada
63,Norte,Marco de Canaveses
64,Norte,Paços de Ferreira
65,Norte,Penafiel
66,Norte,Resende
68,Norte,Alijó
69,Norte,Armamar
70,Norte,Carrazeda de Ansiães
71,Norte,Freixo de Espada à Cinta
72,Norte,Lamego
73,Norte,Mesão Frio
74,Norte,Moimenta da Beira
75,Norte,Murça
76,Norte,Penedono
77,Norte,Peso da Régua
78,Norte,Sabrosa
79,Norte,Santa Marta de Penaguião
80,Norte,São João da Pesqueira
81,Norte,Sernancelhe
82,Norte,Tabuaço
83,Norte,Tarouca
84,Norte,Torre de Moncorvo
85,Norte,Vila Nova de Foz Côa
86,Norte,Vila Real
88,Norte,Alfândega da Fé
89,Norte,Bragança
90,Norte,Macedo de Cavaleiros
91,Norte,Miranda do Douro
92,Norte,Mirandela
93,Norte,Mogadouro
94,Norte,Vila Flor
95,Norte,Vimioso
96,Norte,Vinhais
99,Centro,Alcobaça
100,Centro,Alenquer
101,Centro,Arruda dos Vinhos
102,Centro,Bombarral
103,Centro,Cadaval
104,Centro,Caldas da Rainha
105,Centro,Lourinhã
106,Centro,Nazaré
107,Centro,Óbidos
108,Centro,Peniche
109,Centro,Sobral de Monte Agraço
110,Centro,Torres Vedras
112,Centro,Águeda
113,Centro,Albergaria-a-Velha
114,Centro,Anadia
115,Centro,Aveiro
116,Centro,Estarreja
117,Centro,Ílhavo
118,Centro,Murtosa
119,Centro,Oliveira do Bairro
120,Centro,Ovar
121,Centro,Sever do Vouga
122,Centro,Vagos
124,Centro,Arganil
125,Centro,Cantanhede
126,Centro,Coimbra
127,Centro,Condeixa-a-Nova
128,Centro,Figueira da Foz
129,Centro,Góis
130,Centro,Lousã
131,Centro,Mealhada
132,Centro,Mira
133,Centro,Miranda do Corvo
134,Centro,Montemor-o-Velho
135,Centro,Mortágua
136,Centro,Oliveira do Hospital
137,Centro,Pampilhosa da Serra
138,Centro,Penacova
139,Centro,Penela
140,Centro,Soure
141,Centro,Tábua
142,Centro,Vila Nova de Poiares
144,Centro,Alvaiázere
145,Centro,Ansião
146,Centro,Batalha
147,Centro,Castanheira de Pêra
148,Centro,Figueiró dos Vinhos
149,Centro,Leiria
150,Centro,Marinha Grande
151,Centro,Pedrógão Grande
152,Centro,Pombal
153,Centro,Porto de Mós
155,Centro,Aguiar da Beira
156,Centro,Carregal do Sal
157,Centro,Castro Daire
158,Centro,Mangualde
159,Centro,Nelas
160,Centro,Oliveira de Frades
161,Centro,Penalva do Castelo
162,Centro,Santa Comba Dão
163,Centro,São Pedro do Sul
164,Centro,Sátão
165,Centro,Tondela
166,Centro,Vila Nova de Paiva
167,Centro,Viseu
168,Centro,Vouzela
170,Centro,Castelo Branco
171,Centro,Idanha-a-Nova
