01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
1993,Portugal,,1. Contra as pessoas,,,, crimes,68677
1993,Portugal,,2. Contra o património,,,, crimes,169031
1993,Portugal,,3. Contra a vida em sociedade,,,, crimes,23829
1993,Portugal,,4. Contra o Estado,,,, crimes,2563
1993,Portugal,,"5. Contra a identidade cultural, integridade pessoal",,,-, crimes,
1993,Portugal,,6. Contra animais companhia,,,-, crimes,
1993,Portugal,,7. Legislação Avulsa e Outros,,,, crimes,43233
1993,Portugal,,Total,,,, crimes,307333
1994,Portugal,,1. Contra as pessoas,,,, crimes,69300
1994,Portugal,,2. Contra o património,,,, crimes,186348
1994,Portugal,,3. Contra a vida em sociedade,,,, crimes,25503
1994,Portugal,,4. Contra o Estado,,,, crimes,3454
1994,Portugal,,"5. Contra a identidade cultural, integridade pessoal",,,-, crimes,
1994,Portugal,,6. Contra animais companhia,,,-, crimes,
1994,Portugal,,7. Legislação Avulsa e Outros,,,, crimes,47623
1994,Portugal,,Total,,,, crimes,332228
1995,Portugal,,1. Contra as pessoas,,,, crimes,68906
1995,Portugal,,2. Contra o património,,,, crimes,180639
1995,Portugal,,3. Contra a vida em sociedade,,,, crimes,27008
1995,Portugal,,4. Contra o Estado,,,, crimes,2500
1995,Portugal,,"5. Contra a identidade cultural, integridade pessoal",,,-, crimes,
1995,Portugal,,6. Contra animais companhia,,,-, crimes,
1995,Portugal,,7. Legislação Avulsa e Outros,,,, crimes,47776
1995,Portugal,,Total,,,, crimes,326829
1996,Portugal,,1. Contra as pessoas,,,, crimes,71026
1996,Portugal,,2. Contra o património,,,, crimes,181541
1996,Portugal,,3. Contra a vida em sociedade,,,, crimes,27633
1996,Portugal,,4. Contra o Estado,,,, crimes,2343
1996,Portugal,,"5. Contra a identidade cultural, integridade pessoal",,,-, crimes,
1996,Portugal,,6. Contra animais companhia,,,-, crimes,
1996,Portugal,,7. Legislação Avulsa e Outros,,,, crimes,39712
1996,Portugal,,Total,,,, crimes,322255
1997,Portugal,,1. Contra as pessoas,,,, crimes,75193
1997,Portugal,,2. Contra o património,,,, crimes,183441
1997,Portugal,,3. Contra a vida em sociedade,,,, crimes,27306
1997,Portugal,,4. Contra o Estado,,,, crimes,2611
1997,Portugal,,"5. Contra a identidade cultural, integridade pessoal",,,, crimes,4
1997,Portugal,,6. Contra animais companhia,,,-, crimes,
1997,Portugal,,7. Legislação Avulsa e Outros,,,, crimes,33078
1997,Portugal,,Total,,,, crimes,321644
1998,Portugal,,1. Contra as pessoas,,,, crimes,83173
1998,Portugal,,2. Contra o património,,,, crimes,193495
1998,Portugal,,3. Contra a vida em sociedade,,,, crimes,34282
1998,Portugal,,4. Contra o Estado,,,, crimes,2982
1998,Portugal,,"5. Contra a identidade cultural, integridade pessoal",,,-, crimes,
1998,Portugal,,6. Contra animais companhia,,,-, crimes,
1998,Portugal,,7. Legislação Avulsa e Outros,,,, crimes,27190
1998,Portugal,,Total,,,, crimes,341122
1999,Portugal,,1. Contra as pessoas,,,, crimes,80576
1999,Portugal,,2. Contra o património,,,, crimes,209124
