;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
213;Área Metropolitana de Lisboa;Lisboa;0.0;274.808922985862;0.0;0.0;3.0;313.4;53
224;Área Metropolitana de Lisboa;Sintra;23.504762561607503;264.6065283952276;0.5;28.7;3.0;331.8;48
212;Área Metropolitana de Lisboa;Cascais;22.69883289542494;277.73050565653176;0.5;30.9;3.1;342.4;47
209;Área Metropolitana de Lisboa;Almada;4.265673667298392;278.6437325289732;0.3;12.5;3.0;325.2;47
219;Área Metropolitana de Lisboa;Oeiras;11.728615992360593;276.4082319021488;0.4;19.1;3.0;330.6;45
210;Área Metropolitana de Lisboa;Amadora;9.505716124807087;270.47984883972;0.3;12.6;2.8;317.3;42
214;Área Metropolitana de Lisboa;Loures;13.945685379609309;261.8087295865717;0.4;17.2;2.7;308.0;42
218;Área Metropolitana de Lisboa;Odivelas;10.69906469521289;265.9875895343795;0.4;17.6;2.8;313.1;35
223;Área Metropolitana de Lisboa;Setúbal;29.40200652688134;292.4884344147848;0.7;48.9;3.2;349.7;32
221;Área Metropolitana de Lisboa;Seixal;7.708674352009371;281.60198293722414;0.5;24.4;3.1;337.2;32
208;Área Metropolitana de Lisboa;Alcochete;16.195025187973094;267.42581748766935;0.6;36.0;3.0;330.8;27
217;Área Metropolitana de Lisboa;Montijo;44.34542473002379;266.9766399323211;0.6;33.1;3.0;328.0;25
215;Área Metropolitana de Lisboa;Mafra;30.4062335043973;253.17504152540351;0.7;40.1;2.8;306.2;25
220;Área Metropolitana de Lisboa;Palmela;25.599465762299193;287.52092302475177;0.6;43.1;3.2;347.5;24
211;Área Metropolitana de Lisboa;Barreiro;11.249063854082916;281.77911621823984;0.7;40.9;3.2;346.9;24
225;Área Metropolitana de Lisboa;Vila Franca de Xira;26.090249649262184;250.48127787137886;0.6;36.4;2.5;283.2;24
222;Área Metropolitana de Lisboa;Sesimbra;29.4903411062471;303.326399686444;0.7;39.3;3.4;352.0;23
216;Área Metropolitana de Lisboa;Moita;13.882300919665276;279.17893967121444;0.6;40.4;3.0;334.0;20
