;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
302;Algarve;Portimão;174.83639880444804;439.1117987313429;2.6;281.6;4.8;554.6;51
296;Algarve;Faro;215.45792302979484;462.5576860535233;2.6;277.5;4.8;550.6;49
299;Algarve;Loulé;189.7194328213086;439.2189468304899;2.4;265.1;4.6;538.1;49
301;Algarve;Olhão;218.61170482681732;462.4720597571102;2.7;285.5;4.9;558.5;46
292;Algarve;Albufeira;191.5095313621175;445.93618149432325;2.4;256.3;4.6;529.3;43
298;Algarve;Lagos;176.0091745464284;443.80999129810874;2.8;301.1;5.0;574.1;42
297;Algarve;Lagoa;184.81909023022183;446.14891469131624;2.4;270.1;4.7;543.1;35
304;Algarve;Silves;174.55845520010394;431.9556235444761;2.4;252.7;4.7;525.7;35
305;Algarve;Tavira;218.85980354803544;454.29949252348393;2.7;302.6;4.9;575.6;34
307;Algarve;Vila Real de Santo António;226.01752216500884;451.0334919827096;3.0;327.0;5.2;600.0;27
294;Algarve;Aljezur;157.3231149991621;426.0405278597395;3.0;318.4;5.2;591.5;24
303;Algarve;São Brás de Alportel;204.52568805158694;448.0573169723657;2.6;283.2;4.8;556.2;23
306;Algarve;Vila do Bispo;181.421147363947;452.16840125730704;3.0;319.0;5.2;592.0;23
293;Algarve;Alcoutim;193.8640021515842;423.8627255307185;2.9;268.8;5.1;541.8;22
295;Algarve;Castro Marim;222.30513519497953;447.9176061891993;2.9;323.7;5.1;596.7;22
300;Algarve;Monchique;162.47093350087485;425.3972874846498;2.7;256.5;4.9;529.5;22
