;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
315;Região Autónoma dos Açores;Ponta Delgada;1449.6155751451092;1513.6021254551247;0.1;2.3;0.1;2.3;54
317;Região Autónoma dos Açores;Ribeira Grande;1435.198891076746;1498.1485040074679;0.4;22.7;0.4;22.7;49
320;Região Autónoma dos Açores;Angra do Heroísmo;1570.8599605066765;1611.8944483437645;;;;;49
321;Região Autónoma dos Açores;Vila da Praia da Vitória;;;;;;;47
332;Região Autónoma dos Açores;Horta;1694.4882853661766;1733.8104851434966;;;;;46
313;Região Autónoma dos Açores;Lagoa [R.A.A.];;;0.2;13.1;0.2;13.1;45
329;Região Autónoma dos Açores;Madalena;1685.3372630890015;1724.9603337833585;2.9;312.1;0.3;9.6;40
311;Região Autónoma dos Açores;Vila do Porto;1416.6565615137288;1498.063555557755;;;;;38
318;Região Autónoma dos Açores;Vila Franca do Campo;1429.5955282373538;1494.9785770699993;0.4;27.8;0.4;27.8;38
316;Região Autónoma dos Açores;Povoação;1412.6746677226813;1478.2462278144478;1.1;58.3;1.1;58.3;34
326;Região Autónoma dos Açores;Velas;1655.9422074949728;1693.8904962023842;;;;;33
314;Região Autónoma dos Açores;Nordeste;1409.2579556561623;1473.501249691252;0.9;61.0;0.9;61.0;31
335;Região Autónoma dos Açores;Santa Cruz das Flores;1905.8252084909957;1923.5954722346253;;;;;31
328;Região Autónoma dos Açores;Lajes do Pico;1663.6674031472364;1706.5669556950834;;;;;31
330;Região Autónoma dos Açores;São Roque do Pico;1667.95218606415;1708.5492008536817;;;;;31
323;Região Autónoma dos Açores;Santa Cruz da Graciosa;1635.4497829499267;1667.124050752717;;;;;30
325;Região Autónoma dos Açores;Calheta [R.A.A.];;;;;;;30
337;Região Autónoma dos Açores;Corvo;1896.0577293303807;1910.4201634716126;;;;;29
334;Região Autónoma dos Açores;Lajes das Flores;1908.3898138401357;1926.8176288057093;;;;;28
