;location;RANKING
272;Portugal,+Seia;40
87;Portugal,+Cinfaes;40
200;Portugal,+Oleiros;40
26;Portugal,+Alto+Alentejo;40
85;Portugal,+Chamusca;40
246;Portugal,+Resende;40
78;Portugal,+Castelo+de+Paiva;40
326;Portugal,+Vila+Vicosa;40
13;Portugal,+Alentejo+Central;40
298;Portugal,+Trancoso;40
112;Portugal,+Fornos+de+Algodres;40
160;Portugal,+Manteigas;40
161;Portugal,+Marco+de+Canaveses;40
48;Portugal,+Baixo+Alentejo;40
205;Portugal,+Oliveira+do+Hospital;40
14;Portugal,+Alentejo+Litoral;40
288;Portugal,+Tamega+e+Sousa;40
258;Portugal,+Santa+Maria+da+Feira;40
27;Portugal,+Alto+Tamega;40
121;Portugal,+Gouveia;40
207;Portugal,+Ourique;39
262;Portugal,+Santiago+do+Cacem;39
47;Portugal,+Baiao;39
316;Portugal,+Vila+Nova+de+Famalicao;39
235;Portugal,+Porto+Santo;39
263;Portugal,+Santo+Tirso;39
18;Portugal,+Aljezur;39
122;Portugal,+Grandola;39
196;Portugal,+Odemira;39
179;Portugal,+Monchique;39
281;Portugal,+Sines;39
115;Portugal,+Funchal;38
244;Portugal,+Regiao+de+Leiria;38
145;Portugal,+Leiria;38
151;Portugal,+Lousa;38
237;Portugal,+Povoa+de+Lanhoso;38
157;Portugal,+Mafra;38
61;Portugal,+Braga;38
162;Portugal,+Marinha+Grande;38
163;Portugal,+Marvao;38
291;Portugal,+Terras+de+Bouro;38
52;Portugal,+Batalha;38
32;Portugal,+Amares;38
273;Portugal,+Seixal;38
241;Portugal,+Redondo;38
213;Portugal,+Paredes+de+Coura;37
35;Portugal,+Arcos+de+Valdevez;37
227;Portugal,+Ponte+da+Barca;37
228;Portugal,+Ponte+de+Lima;37
315;Portugal,+Vila+Nova+de+Cerveira;37
249;Portugal,+Ribeira+de+Pena;36
329;Portugal,+Vila+do+Bispo;36
320;Portugal,+Vila+Nova+de+Poiares;36
250;Portugal,+Rio+Maior;36
295;Portugal,+Torre+de+Moncorvo;36
15;Portugal,+Alfandega+da+Fe;36
321;Portugal,+Vila+Pouca+de+Aguiar;36
317;Portugal,+Vila+Nova+de+Foz+Coa;36
259;Portugal,+Santa+Marta+de+Penaguiao;36
287;Portugal,+Tabuaco;36
300;Portugal,+Vagos;36
