;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
17;Norte;Braga;321.4338491770448;47.15290856156268;3.4;363.5;0.7;54.5;55
38;Norte;Porto;274.808922985862;0.0;2.9;313.9;0.0;0.0;55
39;Norte;Póvoa de Varzim;298.3860428332166;28.431602842806253;3.3;347.6;0.5;35.1;54
34;Norte;Maia;284.18429643231974;9.893475196597757;3.0;322.7;0.2;9.0;54
28;Norte;Vila Nova de Famalicão;304.8718778913462;30.428287220400236;3.3;349.9;0.6;40.9;54
47;Norte;Vila Nova de Gaia;272.75025740841494;2.1986252719831914;2.9;307.6;0.2;10.4;54
46;Norte;Vila do Conde;296.1484504182676;25.85250947052483;3.3;340.0;0.5;27.5;54
35;Norte;Matosinhos;277.3096170015015;6.924431881088418;3.0;321.6;0.2;9.1;53
24;Norte;Guimarães;311.9311159554205;41.845050513269726;3.4;364.2;0.7;55.2;53
40;Norte;Santa Maria da Feira;251.42447951198298;25.53078869717896;2.6;286.4;0.4;33.8;52
33;Norte;Gondomar;274.92991996914935;6.6483427159616895;3.0;317.3;0.3;15.0;52
45;Norte;Valongo;281.067291890106;10.525016851993175;3.1;325.2;0.3;16.3;51
12;Norte;Viana do Castelo;356.11974453242124;81.50195246145461;3.7;387.0;0.9;74.5;51
16;Norte;Barcelos;316.6195737471094;42.43081546846664;3.5;377.5;0.8;62.0;50
37;Norte;Paredes;286.1477676609402;23.163276134470955;3.1;335.6;0.5;33.4;48
36;Norte;Oliveira de Azeméis;243.27082464337164;36.24650690309738;2.6;279.4;0.6;52.1;48
41;Norte;Santo Tirso;298.07661451702177;24.33597951533941;3.2;341.1;0.5;32.1;47
65;Norte;Penafiel;286.3914084611195;27.405267562268424;3.2;340.7;0.5;38.5;46
61;Norte;Felgueiras;305.6788847647591;41.99085693941827;3.4;362.2;0.7;56.9;46
86;Norte;Vila Real;340.69057479088224;98.26420211994993;3.7;397.1;1.1;95.0;45
56;Norte;Amarante;298.4407363460257;46.446805973084686;3.4;361.3;0.7;59.2;45
32;Norte;Espinho;258.95874372827734;15.852013140055439;2.8;299.9;0.4;21.4;43
63;Norte;Marco de Canaveses;285.7776888027015;40.56389602589597;3.4;356.8;0.7;54.6;43
42;Norte;São João da Madeira;249.36437140626623;29.72518408903446;2.8;288.4;0.6;44.1;43
