
Quadro extraído em 28 de Julho de 2025 (19:21:17)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de criminalidade (?) por Localização geográfica (NUTS - 2024) e Categoria de crime -  Anual;;;;;;;
;Período de referência dos dados (1) ;;;;;;;
;2024;;;;;;;
;Categoria de crime;;;;;;;
;Total;Crimes contra a integridade física;Furto/roubo por esticão e na via pública;Furto de veículo e em veículo motorizado;Condução de veículo com taxa de álcool igual ou superior a 1,2g/l;Condução sem habilitação legal;Crimes contra o património;
;? ;? ;? ;? ;? ;? ;? ;
11C1309: Paços de Ferreira;22,4;3,6;0,2;1,8;2,3;0,7;9,7;
11C1311: Penafiel;22,8;5;0,1;1,4;2,6;1;7,8;
11C1813: Resende;22,1;4,2;0;0,9;3,9;0,5;7,9;
11D: Douro;23,3;5,3;0,1;0,8;1,4;0,6;9,2;
11D1701: Alijó;22,2;4,4;? ?;1;1,7;0,7;9,3;
11D1801: Armamar;20,8;5,5;0;0,5;1,6;1,8;7,3;
11D0403: Carrazeda de Ansiães;21,6;4,1;? ?;0,6;1,1;0,7;8,6;
11D0404: Freixo de Espada à Cinta;41,2;10,8;0;1,3;? ?;? ?;15,4;
11D1805: Lamego;21,7;4,3;0,2;0,6;1,1;0,3;9,5;
11D1704: Mesão Frio;27,8;5,8;0;1,7;1,4;? ?;11,9;
11D1807: Moimenta da Beira;30,1;5,5;0;? ?;3,4;1;8,9;
11D1707: Murça;21,4;5,4;? ?;0;1,5;? ?;7,1;
11D1812: Penedono;16;3,9;0;? ?;? ?;0;8,2;
11D1708: Peso da Régua;21,6;5,3;? ?;1,1;0,8;0,6;8,5;
11D1710: Sabrosa;18,1;4,1;0;? ?;2,5;? ?;6,6;
11D1711: Santa Marta de Penaguião;16;4,4;0;0,8;1;0,5;4,5;
11D1815: São João da Pesqueira;21,2;4,4;0;? ?;2,7;0,6;9;
11D1818: Sernancelhe;13,9;3,4;0;? ?;1;? ?;5,5;
11D1819: Tabuaço;17,7;5,8;0;0,6;1,2;0;7,8;
11D1820: Tarouca;16,5;5,2;? ?;? ?;1,2;0,6;4,8;
11D0409: Torre de Moncorvo;34,6;8;0;0;1,5;0,6;12,4;
11D0914: Vila Nova de Foz Côa;37,4;9,4;0;? ?;4,1;1,9;12,8;
11D1714: Vila Real;24,1;5,6;0,3;1,5;1;0,6;10,6;
11E: Terras de Trás-os-Montes;26;5,4;0,2;0,8;1,3;0,7;10,9;
11E0401: Alfândega da Fé;26,3;4,8;0;? ?;4,1;? ?;10,5;
11E0402: Bragança;28,4;6;? ?;1,2;1,2;0,5;13,2;
11E0405: Macedo de Cavaleiros;25,5;7,1;? ?;0,5;0,5;0,5;10,5;
11E0406: Miranda do Douro;30,1;4,7;0;0,8;2,7;0,8;10,8;
11E0407: Mirandela;27,8;6,1;0,5;1;1,3;0,8;10,4;
11E0408: Mogadouro;14,4;3,2;0;0,6;0,6;? ?;6,6;
11E0410: Vila Flor;25,4;4,5;0;0,8;2,7;1,7;10;
11E0411: Vimioso;25,9;2,6;0;? ?;1;1;12,9;
11E0412: Vinhais;19,2;3,3;0;0;0,7;0,5;6,8;
19: Centro;27,1;5;0,3;1,7;2,3;0,8;12,8;
191: Região de Aveiro;29,7;5;0,3;2,5;3,5;1,1;13,9;
1910101: Águeda;29,8;4,8;0,2;2,1;4,8;1,2;12,2;
