01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Castro Marim,Município,,,,, sessões,0
2011,Castro Verde,Município,,,,, sessões,39
2011,Celorico da Beira,Município,,,,, sessões,0
2011,Celorico de Basto,Município,,,,..., sessões,
2011,Chamusca,Município,,,,, sessões,0
2011,Chaves,Município,,,,, sessões,105
2011,Cinfães,Município,,,,..., sessões,
2011,Coimbra,Município,,,,, sessões,477
2011,Condeixa-a-Nova,Município,,,,, sessões,0
2011,Constância,Município,,,,, sessões,26
2011,Coruche,Município,,,,, sessões,49
2011,Corvo,Município,,,,, sessões,0
2011,Covilhã,Município,,,,, sessões,50
2011,Crato,Município,,,,, sessões,16
2011,Cuba,Município,,,,, sessões,0
2011,Elvas,Município,,,,, sessões,63
2011,Entroncamento,Município,,,,, sessões,20
2011,Espinho,Município,,,,, sessões,74
2011,Esposende,Município,,,,..., sessões,
2011,Estarreja,Município,,,,, sessões,112
2011,Estremoz,Município,,,,, sessões,62
2011,Évora,Município,,,,, sessões,201
2011,Fafe,Município,,,,, sessões,39
2011,Faro,Município,,,,, sessões,34
2011,Felgueiras,Município,,,,, sessões,59
2011,Ferreira do Alentejo,Município,,,,..., sessões,
2011,Ferreira do Zêzere,Município,,,,, sessões,18
2011,Figueira da Foz,Município,,,,, sessões,180
2011,Figueira de Castelo Rodrigo,Município,,,,, sessões,0
2011,Figueiró dos Vinhos,Município,,,,, sessões,32
2011,Fornos de Algodres,Município,,,,..., sessões,
2011,Freixo de Espada à Cinta,Município,,,,, sessões,0
2011,Fronteira,Município,,,,, sessões,0
2011,Funchal,Município,,,,, sessões,523
2011,Fundão,Município,,,,, sessões,172
2011,Gavião,Município,,,,..., sessões,
2011,Góis,Município,,,,..., sessões,
2011,Golegã,Município,,,,, sessões,0
2011,Gondomar,Município,,,,..., sessões,
2011,Gouveia,Município,,,,, sessões,63
2011,Grândola,Município,,,,, sessões,60
2011,Guarda,Município,,,,, sessões,104
2011,Guimarães,Município,,,,, sessões,147
2011,Horta,Município,,,,, sessões,0
2011,Idanha-a-Nova,Município,,,,, sessões,0
2011,Ílhavo,Município,,,,, sessões,11
2011,Lagoa,Município,,,,, sessões,150
2011,Lagoa [R.A.A.],Município,,,,, sessões,0
2011,Lagos,Município,,,,, sessões,259
2011,Lajes das Flores,Município,,,,, sessões,0
2011,Lajes do Pico,Município,,,,..., sessões,
2011,Lamego,Município,,,,, sessões,28
2011,Leiria,Município,,,,, sessões,335
2011,Lisboa,Município,,,,, sessões,6857
2011,Loulé,Município,,,,, sessões,124
2011,Loures,Município,,,,, sessões,12
2011,Lourinhã,Município,,,,, sessões,0
2011,Lousã,Município,,,,, sessões,6
2011,Lousada,Município,,,,, sessões,96
2011,Mação,Município,,,,, sessões,0
2011,Macedo de Cavaleiros,Município,,,,, sessões,0
2011,Machico,Município,,,,, sessões,53
2011,Madalena,Município,,,,, sessões,0
2011,Mafra,Município,,,,, sessões,18
2011,Maia,Município,,,,, sessões,29
2011,Mangualde,Município,,,,, sessões,0
2011,Manteigas,Município,,,,, sessões,50
2011,Marco de Canaveses,Município,,,,, sessões,89
2011,Marinha Grande,Município,,,,..., sessões,
2011,Marvão,Município,,,,..., sessões,
2011,Matosinhos,Município,,,,, sessões,170
2011,Mealhada,Município,,,,..., sessões,
2011,Mêda,Município,,,,..., sessões,
2011,Melgaço,Município,,,,, sessões,0
2011,Mértola,Município,,,,, sessões,83
2011,Mesão Frio,Município,,,,, sessões,54
2011,Mira,Município,,,,..., sessões,
2011,Miranda do Corvo,Município,,,,..., sessões,
2011,Miranda do Douro,Município,,,,, sessões,22
2011,Mirandela,Município,,,,, sessões,0
2011,Mogadouro,Município,,,,, sessões,0
2011,Moimenta da Beira,Município,,,,..., sessões,
2011,Moita,Município,,,,, sessões,56
2011,Monção,Município,,,,, sessões,31
2011,Monchique,Município,,,,..., sessões,
2011,Mondim de Basto,Município,,,,, sessões,0
2011,Monforte,Município,,,,..., sessões,
2011,Montalegre,Município,,,,, sessões,0
2011,Montemor-o-Novo,Município,,,,, sessões,81
2011,Montemor-o-Velho,Município,,,,, sessões,403
2011,Montijo,Município,,,,, sessões,0
2011,Mora,Município,,,,..., sessões,
2011,Mortágua,Município,,,,, sessões,17
2011,Moura,Município,,,,..., sessões,
2011,Mourão,Município,,,,..., sessões,
2011,Murça,Município,,,,, sessões,0
2011,Murtosa,Município,,,,, sessões,0
2011,Nazaré,Município,,,,..., sessões,
2011,Nelas,Município,,,,, sessões,32
2011,Nisa,Município,,,,, sessões,14
2011,Nordeste,Município,,,,, sessões,0
2011,Óbidos,Município,,,,, sessões,113
2011,Odemira,Município,,,,, sessões,11
2011,Odivelas,Município,,,,, sessões,585
2011,Oeiras,Município,,,,, sessões,567
2011,Oleiros,Município,,,,, sessões,0
2011,Olhão,Município,,,,, sessões,5
2011,Oliveira de Azeméis,Município,,,,..., sessões,
2011,Oliveira de Frades,Município,,,,, sessões,0
2011,Oliveira do Bairro,Município,,,,, sessões,5
2011,Oliveira do Hospital,Município,,,,, sessões,33
2011,Ourém,Município,,,,, sessões,55
2011,Ourique,Município,,,,..., sessões,
2011,Ovar,Município,,,,..., sessões,
2011,Paços de Ferreira,Município,,,,..., sessões,
2011,Palmela,Município,,,,, sessões,115
2011,Pampilhosa da Serra,Município,,,,, sessões,0
2011,Paredes,Município,,,,..., sessões,
2011,Paredes de Coura,Município,,,,, sessões,62
2011,Pedrógão Grande,Município,,,,, sessões,0
2011,Penacova,Município,,,,, sessões,0
2011,Penafiel,Município,,,,..., sessões,
2011,Penalva do Castelo,Município,,,,, sessões,0
2011,Penamacor,Município,,,,, sessões,0
2011,Penedono,Município,,,,, sessões,0
2011,Penela,Município,,,,..., sessões,
2011,Peniche,Município,,,,, sessões,0
2011,Peso da Régua,Município,,,,..., sessões,
2011,Pinhel,Município,,,,, sessões,24
2011,Pombal,Município,,,,, sessões,65
2011,Ponta Delgada,Município,,,,, sessões,116
2011,Ponta do Sol,Município,,,,, sessões,25
2011,Ponte da Barca,Município,,,,..., sessões,
2011,Ponte de Lima,Município,,,,, sessões,105
2011,Ponte de Sor,Município,,,,, sessões,39
2011,Portalegre,Município,,,,, sessões,178
2011,Portel,Município,,,,, sessões,0
2011,Portimão,Município,,,,, sessões,460
2011,Porto,Município,,,,, sessões,2560
2011,Porto de Mós,Município,,,,, sessões,12
2011,Porto Moniz,Município,,,,..., sessões,
2011,Porto Santo,Município,,,,, sessões,7
