01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2004,Portugal,,Privado,,,,,150
2004,Portugal,,Público,,,,,175
2004,Portugal,,Total,,,,,325
2005,Portugal,,Privado,,,,,150
2005,Portugal,,Público,,,,,178
2005,Portugal,,Total,,,,,328
2006,Portugal,,Privado,,,,,147
2006,Portugal,,Público,,,,,179
2006,Portugal,,Total,,,,,326
2007,Portugal,,Privado,,,,,141
2007,Portugal,,Público,,,,,178
2007,Portugal,,Total,,,,,319
2008,Portugal,,Privado,,,,,133
2008,Portugal,,Público,,,,,172
2008,Portugal,,Total,,,,,305
2009,Portugal,,Privado,,,,,130
2009,Portugal,,Público,,,,,171
2009,Portugal,,Total,,,,,301
2010,Portugal,,Privado,,,,,126
2010,Portugal,,Público,,,,,170
2010,Portugal,,Total,,,,,296
2011,Portugal,,Privado,,,,,123
2011,Portugal,,Público,,,,,177
2011,Portugal,,Total,,,,,300
2012,Portugal,,Privado,,,,,122
2012,Portugal,,Público,,,,,178
2012,Portugal,,Total,,,,,300
2013,Portugal,,Privado,,,,,121
2013,Portugal,,Público,,,,,177
2013,Portugal,,Total,,,,,298
2014,Portugal,,Privado,,,,,119
2014,Portugal,,Público,,,,,176
2014,Portugal,,Total,,,,,295
2015,Portugal,,Privado,,,,,117
2015,Portugal,,Público,,,,,176
2015,Portugal,,Total,,,,,293
2016,Portugal,,Privado,,,,,115
2016,Portugal,,Público,,,,,179
2016,Portugal,,Total,,,,,294
2017,Portugal,,Privado,,,,,106
2017,Portugal,,Público,,,,,180
2017,Portugal,,Total,,,,,286
2018,Portugal,,Privado,,,,,106
2018,Portugal,,Público,,,,,184
2018,Portugal,,Total,,,,,290
2019,Portugal,,Privado,,,,,104
2019,Portugal,,Público,,,,,183
2019,Portugal,,Total,,,,,287
2020,Portugal,,Privado,,,,,100
2020,Portugal,,Público,,,,,184
2020,Portugal,,Total,,,,,284
2021,Portugal,,Privado,,,,,101
2021,Portugal,,Público,,,,,187
2021,Portugal,,Total,,,,,288
2022,Portugal,,Privado,,,,,100
2022,Portugal,,Público,,,,,188
2022,Portugal,,Total,,,,,288
2023,Portugal,,Privado,,,,,97
2023,Portugal,,Público,,,,,190
2023,Portugal,,Total,,,,,287
2024,Portugal,,Privado,,,,,97
2024,Portugal,,Público,,,,,191
2024,Portugal,,Total,,,,,288
2004,Abrantes,Município,Privado,,,,-,
2004,Abrantes,Município,Público,,,,,1
2004,Abrantes,Município,Total,,,,,1
2004,Águeda,Município,Privado,,,,-,
2004,Águeda,Município,Público,,,,,1
2004,Águeda,Município,Total,,,,,1
2004,Aguiar da Beira,Município,Privado,,,,-,
2004,Aguiar da Beira,Município,Público,,,,-,
2004,Aguiar da Beira,Município,Total,,,,-,
2004,Alandroal,Município,Privado,,,,-,
2004,Alandroal,Município,Público,,,,-,
2004,Alandroal,Município,Total,,,,-,
2004,Albergaria-a-Velha,Município,Privado,,,,-,
2004,Albergaria-a-Velha,Município,Público,,,,-,
2004,Albergaria-a-Velha,Município,Total,,,,-,
2004,Albufeira,Município,Privado,,,,-,
2004,Albufeira,Município,Público,,,,-,
2004,Albufeira,Município,Total,,,,-,
2004,Alcácer do Sal,Município,Privado,,,,-,
2004,Alcácer do Sal,Município,Público,,,,-,
2004,Alcácer do Sal,Município,Total,,,,-,
2004,Alcanena,Município,Privado,,,,-,
2004,Alcanena,Município,Público,,,,-,
2004,Alcanena,Município,Total,,,,-,
2004,Alcobaça,Município,Privado,,,,-,
2004,Alcobaça,Município,Público,,,,-,
2004,Alcobaça,Município,Total,,,,-,
2004,Alcochete,Município,Privado,,,,-,
2004,Alcochete,Município,Público,,,,-,
2004,Alcochete,Município,Total,,,,-,
2004,Alcoutim,Município,Privado,,,,-,
2004,Alcoutim,Município,Público,,,,-,
2004,Alcoutim,Município,Total,,,,-,
2004,Alenquer,Município,Privado,,,,-,
2004,Alenquer,Município,Público,,,,-,
2004,Alenquer,Município,Total,,,,-,
2004,Alfândega da Fé,Município,Privado,,,,-,
2004,Alfândega da Fé,Município,Público,,,,-,
2004,Alfândega da Fé,Município,Total,,,,-,
2004,Alijó,Município,Privado,,,,-,
2004,Alijó,Município,Público,,,,-,
2004,Alijó,Município,Total,,,,-,
2004,Aljezur,Município,Privado,,,,-,
2004,Aljezur,Município,Público,,,,-,
2004,Aljezur,Município,Total,,,,-,
2004,Aljustrel,Município,Privado,,,,-,
2004,Aljustrel,Município,Público,,,,-,
2004,Aljustrel,Município,Total,,,,-,
2004,Almada,Município,Privado,,,,,4
2004,Almada,Município,Público,,,,,2
2004,Almada,Município,Total,,,,,6
2004,Almeida,Município,Privado,,,,-,
2004,Almeida,Município,Público,,,,-,
2004,Almeida,Município,Total,,,,-,
2004,Almeirim,Município,Privado,,,,-,
2004,Almeirim,Município,Público,,,,-,
2004,Almeirim,Município,Total,,,,-,
2004,Almodôvar,Município,Privado,,,,-,
2004,Almodôvar,Município,Público,,,,-,
2004,Almodôvar,Município,Total,,,,-,
2004,Alpiarça,Município,Privado,,,,-,
2004,Alpiarça,Município,Público,,,,-,
2004,Alpiarça,Município,Total,,,,-,
2004,Alter do Chão,Município,Privado,,,,-,
2004,Alter do Chão,Município,Público,,,,-,
2004,Alter do Chão,Município,Total,,,,-,
2004,Alvaiázere,Município,Privado,,,,-,
2004,Alvaiázere,Município,Público,,,,-,
2004,Alvaiázere,Município,Total,,,,-,
2004,Alvito,Município,Privado,,,,-,
2004,Alvito,Município,Público,,,,-,
2004,Alvito,Município,Total,,,,-,
2004,Amadora,Município,Privado,,,,-,
2004,Amadora,Município,Público,,,,,1
2004,Amadora,Município,Total,,,,,1
2004,Amarante,Município,Privado,,,,-,
2004,Amarante,Município,Público,,,,-,
2004,Amarante,Município,Total,,,,-,
2004,Amares,Município,Privado,,,,-,
2004,Amares,Município,Público,,,,-,
2004,Amares,Município,Total,,,,-,
2004,Anadia,Município,Privado,,,,-,
2004,Anadia,Município,Público,,,,-,
2004,Anadia,Município,Total,,,,-,
2004,Angra do Heroísmo,Município,Privado,,,,-,
2004,Angra do Heroísmo,Município,Público,,,,,2
2004,Angra do Heroísmo,Município,Total,,,,,2
2004,Ansião,Município,Privado,,,,-,
2004,Ansião,Município,Público,,,,-,
2004,Ansião,Município,Total,,,,-,
2004,Arcos de Valdevez,Município,Privado,,,,-,
2004,Arcos de Valdevez,Município,Público,,,,-,
2004,Arcos de Valdevez,Município,Total,,,,-,
2004,Arganil,Município,Privado,,,,-,
2004,Arganil,Município,Público,,,,-,
2004,Arganil,Município,Total,,,,-,
2004,Armamar,Município,Privado,,,,-,
2004,Armamar,Município,Público,,,,-,
2004,Armamar,Município,Total,,,,-,
2004,Arouca,Município,Privado,,,,-,
2004,Arouca,Município,Público,,,,-,
2004,Arouca,Município,Total,,,,-,
2004,Arraiolos,Município,Privado,,,,-,
2004,Arraiolos,Município,Público,,,,-,
2004,Arraiolos,Município,Total,,,,-,
2004,Arronches,Município,Privado,,,,-,
2004,Arronches,Município,Público,,,,-,
2004,Arronches,Município,Total,,,,-,
2004,Arruda dos Vinhos,Município,Privado,,,,-,
2004,Arruda dos Vinhos,Município,Público,,,,-,
2004,Arruda dos Vinhos,Município,Total,,,,-,
2004,Aveiro,Município,Privado,,,,,2
2004,Aveiro,Município,Público,,,,,3
2004,Aveiro,Município,Total,,,,,5
2004,Avis,Município,Privado,,,,-,
2004,Avis,Município,Público,,,,-,
2004,Avis,Município,Total,,,,-,
