date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,windspeed_10m_max,pais,municipio,latitude,longitude
2024-07-01 00:00:00+00:00,16.183664,19.754501,13.3045,15.028615,18.308868,12.102451,2.3,11.983188,Brasil,Marilia,-22.2139,-49.9458
2024-07-02 00:00:00+00:00,17.675335,25.4545,12.254499,17.052107,25.513226,10.639131,0.0,10.703569,Brasil,Marilia,-22.2139,-49.9458
2024-07-03 00:00:00+00:00,20.023252,27.154501,13.704499,19.698812,26.434032,12.9452095,0.0,13.5515,Brasil,Marilia,-22.2139,-49.9458
2024-07-04 00:00:00+00:00,21.635752,27.654501,16.8045,20.624723,26.634993,15.214819,0.0,11.212135,Brasil,Marilia,-22.2139,-49.9458
2024-07-05 00:00:00+00:00,21.137833,26.8045,17.4545,19.805151,25.404673,15.9862995,0.0,12.984975,Brasil,Marilia,-22.2139,-49.9458
2024-07-06 00:00:00+00:00,20.608667,27.754501,15.5045,19.025908,26.171602,13.391558,0.0,15.077082,Brasil,Marilia,-22.2139,-49.9458
2024-07-07 00:00:00+00:00,20.948252,28.2045,15.3045,19.395966,26.599232,13.451551,0.0,16.203999,Brasil,Marilia,-22.2139,-49.9458
2024-07-08 00:00:00+00:00,20.269083,24.2045,16.2045,19.68427,24.494308,14.831102,0.5,13.910169,Brasil,Marilia,-22.2139,-49.9458
2024-07-09 00:00:00+00:00,16.335749,19.154501,13.9045,16.729574,19.463467,13.393726,6.9,10.24578,Brasil,Marilia,-22.2139,-49.9458
2024-07-10 00:00:00+00:00,16.344084,20.254501,13.704499,16.942556,19.863777,14.641325,1.6000001,12.599998,Brasil,Marilia,-22.2139,-49.9458
2024-07-11 00:00:00+00:00,18.971167,27.1045,13.3045,19.358572,27.06823,13.512053,0.0,14.081478,Brasil,Marilia,-22.2139,-49.9458
2024-07-12 00:00:00+00:00,20.5795,25.4545,15.8045,21.03785,26.869833,15.454472,0.4,15.546833,Brasil,Marilia,-22.2139,-49.9458
2024-07-13 00:00:00+00:00,19.081583,24.254501,14.454499,18.341005,24.071955,12.9071865,0.0,17.81909,Brasil,Marilia,-22.2139,-49.9458
2024-07-14 00:00:00+00:00,19.65242,25.3045,14.5545,19.098406,24.65045,14.612614,0.0,16.78156,Brasil,Marilia,-22.2139,-49.9458
2024-07-15 00:00:00+00:00,19.114916,24.9545,14.754499,19.236164,24.93238,14.911499,0.0,13.441071,Brasil,Marilia,-22.2139,-49.9458
2024-07-16 00:00:00+00:00,18.873251,25.254501,13.754499,18.001505,24.445204,12.637911,0.0,14.77755,Brasil,Marilia,-22.2139,-49.9458
2024-07-17 00:00:00+00:00,19.567003,26.254501,14.1045,18.94199,26.160067,13.178034,0.0,15.141414,Brasil,Marilia,-22.2139,-49.9458
2024-07-18 00:00:00+00:00,20.133669,26.4545,15.1545,19.078985,25.452484,13.887213,0.0,13.237039,Brasil,Marilia,-22.2139,-49.9458
2024-07-19 00:00:00+00:00,19.76075,26.7045,14.1545,18.274086,26.21405,12.695543,0.0,14.689589,Brasil,Marilia,-22.2139,-49.9458
2024-07-20 00:00:00+00:00,19.106583,26.254501,13.254499,17.306227,25.139578,10.905858,0.0,11.720751,Brasil,Marilia,-22.2139,-49.9458
2024-07-21 00:00:00+00:00,19.5795,27.3045,13.504499,17.379572,25.993914,11.286999,0.0,14.007655,Brasil,Marilia,-22.2139,-49.9458
2024-07-22 00:00:00+00:00,20.710749,27.8545,14.504499,19.050814,27.193083,12.607006,0.0,12.4811535,Brasil,Marilia,-22.2139,-49.9458
2024-07-23 00:00:00+00:00,20.608667,27.3045,15.0545,18.548931,25.78078,12.6428795,0.0,13.910169,Brasil,Marilia,-22.2139,-49.9458
